"4.1. Vaalikartta-aineisto äänestysalueittain eduskuntavaaleissa 2019, pääkaupunkiseutu muuttujina Äänestysalue ja Lukumäärätiedot",Äänestysprosentti,Eniten ääniä saanut puolue,KESK-kannatus,PS-kannatus,KOK-kannatus,SDP-kannatus,VIHR-kannatus,VAS-kannatus,RKP-kannatus,KD-kannatus,Muut-kannatus
091 001A Kruununhaka A,87.5,3,2.5,5.9,34.1,6.3,26.8,8.3,9.1,0.9,6.2
091 002A Kruununhaka B,86.8,3,3.0,6.9,31.1,7.4,28.1,9.0,6.8,1.3,6.4
091 003A Kaartinkaupunki,86.0,3,2.0,5.9,47.2,4.0,15.4,3.9,16.4,0.7,4.5
091 004A Kamppi,83.2,3,2.3,7.3,35.8,5.4,25.1,7.0,8.4,1.1,7.6
091 004B Hietalahti,81.4,3,1.9,8.2,34.1,6.4,26.6,6.4,8.4,1.1,6.9
091 004C Lapinlahti,84.5,5,2.1,7.4,28.5,9.0,29.2,7.8,5.8,1.2,9.1
091 005A Punavuori A,83.5,3,2.2,6.7,31.8,8.0,26.9,7.9,8.7,0.6,7.3
091 005B Punavuori B,84.9,3,1.9,6.2,29.5,6.0,26.5,8.8,12.9,1.1,7.0
091 005C Eira,83.5,3,1.4,7.8,36.4,5.6,22.8,6.5,11.1,1.0,7.5
091 006A Ruoholahti,80.1,5,2.6,11.4,20.4,14.6,25.7,12.4,2.9,1.4,8.7
091 006B Jätkäsaari A,82.0,5,2.1,9.3,25.4,11.5,27.6,9.5,5.0,1.4,8.3
091 006C Jätkäsaari B,84.1,5,1.7,6.7,26.4,7.4,28.2,6.3,12.6,1.1,9.6
091 006D Jätkäsaari C,84.1,5,1.6,9.8,24.3,7.7,29.4,10.5,5.1,1.5,10.0
091 007A Ullanlinna A,86.0,3,1.9,5.6,34.8,5.9,23.3,6.2,14.6,1.0,6.7
091 007B Ullanlinna B,86.5,3,1.9,6.5,36.5,5.5,23.2,5.6,14.7,1.0,5.1
091 007C Ullanlinna C,85.2,3,1.7,5.3,37.8,5.5,19.6,5.9,17.9,0.6,5.6
091 008A Katajanokka,86.1,3,2.3,7.4,32.9,10.0,23.5,9.5,7.0,1.3,6.1
