alue,SDP,PS,KOK,KESK,VIHR,VAS,RKP,KD,SIN,Piraattip.,STL,KP,FP,LIBE,SKP,EOP,IP,SKE,KTP,Muut
049 001  Muurala,17.7,17.1,19,5.2,13.6,3.7,10.2,4.7,2,0.9,0.4,0,0.1,0.3,0.1,0.2,0.2,0,-,4.4
049 002  Jouppi-Kirstinsyrjä,24.5,19.8,10.1,3,15.4,8.1,4.7,3.5,2.1,1.8,0.9,-,0.4,0.5,0.5,0.4,-,0.2,0.2,3.9
049 003  Tuomarila,15.5,11.4,25.8,5,19.6,4.4,6.3,3,1.7,0.8,0.5,-,0,0.5,0.4,0.3,0.1,0,0.1,4.2
049 004  Nuuksio-Nupuri,15.7,17.4,23.4,5.3,13.2,5.1,9.2,2.1,1.7,0.3,0.4,0.1,0.1,0.4,0.4,0.4,-,0.1,0.1,4.6
049 005  Bemböle-Kunnarla,12.5,15.9,24.6,5.8,15.4,3.1,8.3,3.7,2,1,0.8,0,0.1,0.3,0.4,0.1,0.3,0.1,-,5.6
049 006  Kuurinniitty-Ymmersta,10.6,11.7,35.5,3.3,16.1,2.5,8.2,3.1,1.3,0.9,0.3,0.1,0.2,0.2,0,0,0.2,-,0.1,5.6
049 007  Sokinvuori-Kirstinmäki,25.1,18.3,12.7,4.7,16.6,5.6,3.7,3.8,1.5,2,1,-,0.4,0.8,0.3,0.2,0.3,0.5,-,2.5
049 008  Suna,22.4,14.9,17.4,4.6,18.2,5,5.2,4.4,1.5,0.9,0.2,0.1,0.2,0.6,0.1,-,0.1,0.1,-,4.1
049 009  Kirkkojärvi,18.1,17.2,17.2,5,15.8,5,5.9,4,2.3,1.9,0.5,0.1,0.5,0.3,0.1,0.3,0.1,0.2,-,5.4
049 010  Kauklahti-Espoonkartano,14.3,15.3,22.8,4.8,17.9,4.3,8.1,2.8,1.4,1,0.4,0.1,0.1,0.3,0.3,0.2,0.4,0.2,0.1,5
049 011  Kurttila,10.6,12,31.4,4.2,16.5,2.7,11.2,2.4,1.8,0.6,0.3,-,0.1,0.3,0.2,-,0,0.1,-,5.4
049 012  Saunalahti,13.2,14,29.7,4.3,15.2,4.2,7.5,2.6,2.2,0.9,0.5,-,0.2,0.4,0.2,0.1,0.2,0.1,0,4.9
049 013  Kaupunginkallio,17.3,14,22.5,3.1,17.7,4.9,7.1,4.1,1.6,1.6,0.5,0.1,0.3,0.4,0.4,0.1,0.1,0.2,0.1,4
049 020  Kalajärvi,15.8,19.6,21.3,7.1,13.7,4.2,4.8,2.7,2.8,0.5,0.7,-,-,0.4,0.3,0.4,0.1,0.2,0,5.3
049 022  Niipperi,15.4,17.1,26.8,7.2,13,2.8,4.1,2.1,2.8,0.8,0.3,0,0,0.3,0.2,0.3,0.1,0.2,0.1,6.3
049 023  Järvenperä,14.1,13.8,28.3,5.2,16.2,3.4,7.2,2.6,2,0.4,0.6,-,0.1,0.6,0.2,0.2,0,0.2,0,4.8
049 030  Laajalahti,9.1,8,39.2,3.5,22.6,3,5,2.6,1.4,0.8,0.3,-,0.3,0.8,0.1,0.1,0.1,-,-,3.4
049 031  Pohjois-Leppävaara,15.4,15.9,20.5,4.1,21.8,5.7,3.3,3,1.6,1.9,0.4,-,0.2,0.7,0.4,0.1,0.2,0.4,0,4.4
049 032  Mäkkylä,13.6,10.3,29.8,4.9,22.1,3.3,4.4,2.1,1.4,1.3,0.3,0,0.3,0.5,0.1,0.2,0,0.1,0,5.2
049 033  Lintuvaara,12.3,11.5,34.5,4.7,19.6,3.2,3.8,2.7,1.7,0.7,0.3,-,0.2,0.2,0,0.2,0.2,0.1,-,4.2
049 034  Vallikallio,15.6,13.6,24.3,5.3,19.5,4.2,3.6,3.9,2.4,1.9,0.4,-,0.3,0.9,0.1,0.1,0.1,0.1,-,3.7
049 035  Perkkaa,15.8,14.5,20.5,4.3,22.4,6.1,3.3,2.6,2,1.8,0.4,-,0.5,1,0.2,0,0.1,0.1,-,4.3
049 036  Kilonpuisto,18.6,15.5,20.3,3.7,20.8,5.3,4.3,3.9,1.4,1.3,0.1,0.1,0.5,0.4,0.2,0.2,0.1,0.1,-,3.1
049 037  Lansa-Sepänkylä,14.5,12,27.6,3.9,17.5,3.7,10.5,2.9,1.5,0.5,0.2,0,0.2,0.4,0.1,0.3,0,0.2,-,4
049 038  Karakallio,18.3,14,25.8,4.4,14.1,5.1,5.2,4.4,2.1,0.7,0.3,0,0.3,0.6,0.1,0.1,0.2,0.2,0,3.8
049 039  Rastaspuisto,14.7,14.1,29.2,4,17.4,3.5,4.9,4.8,1.2,0.8,0.3,0.1,0.4,0.5,0.3,0.1,0.1,0.2,-,3.4
049 040  Jupperi,8.5,9.1,44.3,5.4,14.7,2.2,5.5,2.7,1.9,0.4,0.2,-,0.2,0.3,-,0.2,0.1,-,-,4
049 041  Lähderanta,13.3,13.7,30.7,4.4,16,3.2,7.2,2.8,1.7,0.8,0.1,-,0.2,0.4,0.2,0.3,-,0.1,-,5
049 042  Etelä-Leppävaara,13.2,13.4,25.1,3.7,22.1,5.3,3.4,2,2,2.3,0.3,-,0.4,0.9,0.1,0.6,0,0.2,-,4.9
049 043  Viherlaakso,17,12.4,25.5,4.5,16.3,3.8,8.2,4.2,2.1,0.7,0.3,0,0.1,0.4,0.1,0.2,0.2,0.1,0.1,3.8
049 044  Säteri,15.6,12.2,26.3,2.7,23,4.5,3.4,2.6,1.7,1.2,0.7,-,0.2,0.4,0.2,0.2,0.4,-,-,4.8
049 045  Lippajärvi,13.3,12,27.9,5.1,17.6,2.9,10.2,3.3,2.2,0.7,0.3,-,0.1,0.2,0.2,0.1,0.1,0.1,-,3.8
049 047  Kilo-Kuninkainen,11.2,12.2,29.9,4.7,20.4,3.4,8.4,2.2,0.7,1.5,0.3,0.1,0.3,0.4,-,0.3,-,-,0.1,4
049 050  Tapiolan keskus,7.5,7.2,46,3.1,17.3,2.7,6.9,2.3,1.6,0.8,0.2,0.1,0.4,0.6,0.2,0.1,0.1,0.1,0,2.7
049 051  Otsolahti,9.6,6.3,33.3,2.4,29.4,3.3,6.5,2.4,1.4,0.9,0.3,-,0.3,0.9,0.1,0.3,0.1,0.1,0.1,2.4
049 054  Westend,3.4,5.7,57.1,2.4,11.3,1,12.5,1.9,0.9,0.2,0.2,-,0,0.2,0,0,0,0.1,0,3
049 055  Jousenkaari-Hakalehto,9.2,7.5,37.8,2.7,23.9,3.2,8.3,1.6,1.1,0.4,0.3,0,0.2,0.8,0,0.1,-,0,0,2.9
049 057  Koivu-Mankkaa,9.9,6.3,40.2,3.4,22.8,2.9,5.2,2.8,1.7,0.9,0.1,-,0.3,0.2,0.2,0.3,0,-,0,2.8
049 058  Pohjois-Tapiola,8,5.9,44,3.9,21.3,3.1,5.2,2.1,1.3,0.9,0.4,-,0.1,0.4,0.1,0,0,0,0,3.2
049 059  Otaniemi,5.1,8.5,31.7,2.1,30.1,1.6,5.8,1.1,0.8,4.8,0.3,0,0.3,3.6,0.2,0.1,-,0.2,-,3.7
049 060  Haukilahti,6,6.7,44.8,2.1,13.2,1.9,16.9,1.8,1.5,0.5,0.3,-,0,0.4,0.1,0.1,0.1,0.1,0,3.4
049 063  Niittykumpu-Tontunmäki,8.4,8.1,38.3,3.1,22.6,3.4,7.2,1.4,1.1,1,0,0,0.3,0.7,0.2,0.3,0.1,0.1,0.1,3.5
049 064  Vanha-Mankkaa,7.5,8.4,44.6,3.3,18.3,1.3,7.3,2.6,1.2,0.6,0.3,-,0.1,0.4,0.1,0,0,0.1,0.1,3.7
049 065  Taavinkylä,8.3,8.2,44.6,3.3,16.2,1.5,8.6,2.5,1.3,0.4,0.4,-,-,0.5,0.2,0.1,0.1,0.2,-,3.7
049 068  Tiistilä,18.2,13.4,23.1,3.3,16.6,5.6,7.3,3.2,2.1,1.4,0.7,0.1,0.1,0.7,0.5,0.3,0.2,0.2,0.1,3
049 070  Suurpelto-Henttaa,13,12.3,26.4,3.8,20.3,3.8,5.2,2.6,1.6,1.5,0.6,-,0.4,0.6,0.2,0.4,0.3,0.1,-,7
049 071  Kuitinkallio-Olarinmäki,15.7,9.7,25.2,3.9,20.7,4.5,7.8,2.6,2.4,1.1,0.6,-,0.3,0.6,0.1,0.2,0.3,0.2,0.1,3.9
049 072  Olarinpuisto-Päivänkehrä,10.1,7.8,38.7,3.1,19.9,2.8,8.6,2.4,1.5,0.5,0.3,-,0.1,0.3,0.2,0.1,0.1,0.1,-,3.6
049 073  Friisilä,11.8,9.2,40.6,3.7,14.4,2.6,8.4,2.3,1.4,0.8,0.4,0,0.2,0.3,0.1,0.1,0,0,-,3.4
049 074  Piispansilta,11.5,11.1,31.3,3.3,18.2,3.5,8.8,2.3,1.4,1.3,0.6,-,0.4,0.6,0.1,0.3,0.1,0.1,0,5
049 075  Matinlahti,9.1,7.2,38.8,3,14.8,2,16,2.4,1,0.7,0.3,0.1,0.1,0.5,0.1,0.3,0,0,-,3.6
049 076  Nuottaniemi-Kalastajanmäki,13.3,11,34.5,2.6,14.8,3.6,10.2,1.7,1.9,0.9,0.4,-,0.2,0.4,0.3,0.2,0,0.3,-,3.7
