,Date,ROI,GCC_90p,GCC_mean
0,2025-03-04,ROI_5,0.3450363,0.34201112
1,2025-03-04,ROI_4,0.33644333,0.33444607
2,2025-03-04,ROI_3,0.38230303,0.36772475
3,2025-03-04,ROI_2,0.34404656,0.3411439
4,2025-03-04,ROI_1,0.34377646,0.3328067
5,2025-03-07,ROI_5,0.34603274,0.34383768
6,2025-03-07,ROI_4,0.33371648,0.3316124
7,2025-03-07,ROI_3,0.38587233,0.3762694
8,2025-03-07,ROI_2,0.34446386,0.34201774
9,2025-03-07,ROI_1,0.33264768,0.3291678
10,2025-03-10,ROI_5,0.3450697,0.34301084
11,2025-03-10,ROI_4,0.33286586,0.33096844
12,2025-03-10,ROI_3,0.38604304,0.37686387
13,2025-03-10,ROI_2,0.34366468,0.34087518
14,2025-03-10,ROI_1,0.33188704,0.32999566
15,2025-03-13,ROI_5,0.34663075,0.34321493
16,2025-03-13,ROI_4,0.33591565,0.33295944
17,2025-03-13,ROI_3,0.41988927,0.3788511
18,2025-03-13,ROI_2,0.35664457,0.34773386
19,2025-03-13,ROI_1,0.33620396,0.3329831
20,2025-03-16,ROI_5,0.34940407,0.34613204
21,2025-03-16,ROI_4,0.3353931,0.33217475
22,2025-03-16,ROI_3,0.4323399,0.3938909
23,2025-03-16,ROI_2,0.3563833,0.34930998
24,2025-03-16,ROI_1,0.3345762,0.32994625
25,2025-03-19,ROI_5,0.34609774,0.34303933
26,2025-03-19,ROI_4,0.33382338,0.33182186
27,2025-03-19,ROI_3,0.39268598,0.37409744
28,2025-03-19,ROI_2,0.3481574,0.3427073
29,2025-03-19,ROI_1,0.3329849,0.33064264
30,2025-03-22,ROI_5,0.343727,0.33986908
31,2025-03-22,ROI_4,0.3337847,0.33089194
32,2025-03-22,ROI_3,0.37353522,0.36136746
33,2025-03-22,ROI_2,0.34040046,0.33881092
34,2025-03-22,ROI_1,0.33261436,0.3303196
35,2025-03-25,ROI_5,0.3450627,0.3424949
36,2025-03-25,ROI_4,0.33312136,0.33123097
37,2025-03-25,ROI_3,0.38113543,0.37151456
38,2025-03-25,ROI_2,0.34308383,0.34124953
39,2025-03-25,ROI_1,0.3326948,0.33109248
40,2025-03-28,ROI_5,0.34356883,0.3420108
41,2025-03-28,ROI_4,0.3348488,0.33219483
42,2025-03-28,ROI_3,0.37380484,0.36203784
43,2025-03-28,ROI_2,0.34498435,0.34197837
44,2025-03-28,ROI_1,0.33389837,0.33218902
45,2025-03-31,ROI_5,0.34396693,0.3417809
46,2025-03-31,ROI_4,0.33371848,0.33077097
47,2025-03-31,ROI_3,0.37730664,0.36629608
48,2025-03-31,ROI_2,0.34255275,0.34095374
49,2025-03-31,ROI_1,0.33424717,0.33031443
50,2025-04-03,ROI_5,0.34523582,0.34217831
51,2025-04-03,ROI_4,0.3353911,0.3321566
52,2025-04-03,ROI_3,0.37945038,0.3659459
53,2025-04-03,ROI_2,0.34260967,0.340237
54,2025-04-03,ROI_1,0.33593738,0.3320528
55,2025-04-06,ROI_5,0.3453572,0.34251758
56,2025-04-06,ROI_4,0.33447433,0.3318068
57,2025-04-06,ROI_3,0.37999818,0.36753035
58,2025-04-06,ROI_2,0.34218594,0.3403229
59,2025-04-06,ROI_1,0.33378476,0.33175892
60,2025-04-09,ROI_5,0.34399995,0.34217834
61,2025-04-09,ROI_4,0.33526978,0.33280817
62,2025-04-09,ROI_3,0.37932938,0.36616433
63,2025-04-09,ROI_2,0.34137946,0.33962196
64,2025-04-09,ROI_1,0.3344649,0.33247748
65,2025-04-12,ROI_5,0.34832737,0.34492928
66,2025-04-12,ROI_4,0.33526972,0.33208063
67,2025-04-12,ROI_3,0.4214149,0.38952723
68,2025-04-12,ROI_2,0.35193598,0.34425658
69,2025-04-12,ROI_1,0.33329684,0.3311465
70,2025-04-15,ROI_5,0.34654334,0.34464395
71,2025-04-15,ROI_4,0.33805394,0.3339307
72,2025-04-15,ROI_3,0.38455567,0.37296224
73,2025-04-15,ROI_2,0.34504104,0.3413676
74,2025-04-15,ROI_1,0.33751646,0.3337171
75,2025-04-18,ROI_5,0.35119328,0.34913203
76,2025-04-18,ROI_4,0.33780706,0.33545437
77,2025-04-18,ROI_3,0.39137614,0.38345042
78,2025-04-18,ROI_2,0.34572634,0.3442517
79,2025-04-18,ROI_1,0.33433494,0.3332114
80,2025-04-21,ROI_5,0.35323313,0.35188183
81,2025-04-21,ROI_4,0.3389147,0.33726257
82,2025-04-21,ROI_3,0.38664228,0.37947342
83,2025-04-21,ROI_2,0.34603286,0.34429073
84,2025-04-21,ROI_1,0.3322594,0.3307822
85,2025-04-24,ROI_5,0.35413098,0.35128418
86,2025-04-24,ROI_4,0.34078664,0.33936945
87,2025-04-24,ROI_3,0.38497248,0.37376478
88,2025-04-24,ROI_2,0.34442016,0.34218022
89,2025-04-24,ROI_1,0.3332326,0.33132753
90,2025-04-27,ROI_5,0.35584608,0.35167852
91,2025-04-27,ROI_4,0.34333336,0.34184796
92,2025-04-27,ROI_3,0.38209102,0.36855966
93,2025-04-27,ROI_2,0.34321243,0.3412624
94,2025-04-27,ROI_1,0.33468622,0.33249068
95,2025-04-30,ROI_5,0.3586158,0.35682625
96,2025-04-30,ROI_4,0.3487581,0.34691215
97,2025-04-30,ROI_3,0.38492516,0.37888977
98,2025-04-30,ROI_2,0.34556773,0.34401482
99,2025-04-30,ROI_1,0.33425772,0.3329207
100,2025-05-03,ROI_5,0.36386088,0.3607697
101,2025-05-03,ROI_4,0.35643524,0.35378298
102,2025-05-03,ROI_3,0.38537896,0.3763681
103,2025-05-03,ROI_2,0.3479339,0.34627998
104,2025-05-03,ROI_1,0.33630037,0.33470532
105,2025-05-06,ROI_5,0.36668327,0.36244065
106,2025-05-06,ROI_4,0.36092192,0.3579468
107,2025-05-06,ROI_3,0.39328468,0.37989226
108,2025-05-06,ROI_2,0.3515438,0.3477085
109,2025-05-06,ROI_1,0.33766168,0.33519986
110,2025-05-09,ROI_5,0.3706481,0.36418104
111,2025-05-09,ROI_4,0.36837023,0.36297002
112,2025-05-09,ROI_3,0.3956676,0.37684143
113,2025-05-09,ROI_2,0.35515517,0.35026482
114,2025-05-09,ROI_1,0.3403096,0.3376733
115,2025-05-12,ROI_5,0.37872344,0.3705677
116,2025-05-12,ROI_4,0.38076025,0.37279034
117,2025-05-12,ROI_3,0.3986851,0.37779227
118,2025-05-12,ROI_2,0.36813912,0.35955945
119,2025-05-12,ROI_1,0.34611824,0.34224898
120,2025-05-15,ROI_5,0.38421458,0.37699383
121,2025-05-15,ROI_4,0.38929874,0.3838488
122,2025-05-15,ROI_3,0.40793547,0.38565567
123,2025-05-15,ROI_2,0.38254857,0.3711088
124,2025-05-15,ROI_1,0.3547175,0.34729168
125,2025-05-18,ROI_5,0.39643884,0.3878321
126,2025-05-18,ROI_4,0.40628606,0.3963036
127,2025-05-18,ROI_3,0.41402772,0.39303252
128,2025-05-18,ROI_2,0.39821178,0.38532734
129,2025-05-18,ROI_1,0.37033203,0.3600364
130,2025-05-21,ROI_5,0.40925083,0.3979584
131,2025-05-21,ROI_4,0.4301371,0.41270542
132,2025-05-21,ROI_3,0.42231625,0.39180425
133,2025-05-21,ROI_2,0.41426402,0.40026337
134,2025-05-21,ROI_1,0.3892245,0.3733435
135,2025-05-24,ROI_5,0.41786557,0.40940937
136,2025-05-24,ROI_4,0.43981746,0.42450678
137,2025-05-24,ROI_3,0.4066788,0.39620835
138,2025-05-24,ROI_2,0.4281697,0.41330808
139,2025-05-24,ROI_1,0.4102096,0.39712915
140,2025-05-27,ROI_5,0.42088288,0.40770185
141,2025-05-27,ROI_4,0.4372829,0.4177664
142,2025-05-27,ROI_3,0.42109945,0.39670423
143,2025-05-27,ROI_2,0.42354712,0.4052359
144,2025-05-27,ROI_1,0.42199406,0.3931911
145,2025-05-30,ROI_5,0.42582124,0.4173701
146,2025-05-30,ROI_4,0.44503734,0.43334606
147,2025-05-30,ROI_3,0.4257289,0.4073881
148,2025-05-30,ROI_2,0.43270802,0.42032543
149,2025-05-30,ROI_1,0.43332624,0.40580454
150,2025-06-02,ROI_5,0.43018714,0.4131766
151,2025-06-02,ROI_4,0.4569097,0.42770803
152,2025-06-02,ROI_3,0.42693377,0.40553215
153,2025-06-02,ROI_2,0.44044086,0.41752917
154,2025-06-02,ROI_1,0.4456682,0.39832342
155,2025-06-05,ROI_5,0.43290174,0.4217819
156,2025-06-05,ROI_4,0.45094997,0.43251193
157,2025-06-05,ROI_3,0.42897582,0.4176332
158,2025-06-05,ROI_2,0.4359851,0.42136025
159,2025-06-05,ROI_1,0.45215616,0.41838965
160,2025-06-08,ROI_5,0.43889117,0.42426485
161,2025-06-08,ROI_4,0.44982168,0.43078345
162,2025-06-08,ROI_3,0.45623288,0.42681718
163,2025-06-08,ROI_2,0.43300858,0.41864568
164,2025-06-08,ROI_1,0.4695198,0.42975244
165,2025-06-11,ROI_5,0.4418319,0.43405524
166,2025-06-11,ROI_4,0.45756638,0.4459029
167,2025-06-11,ROI_3,0.440028,0.4263896
168,2025-06-11,ROI_2,0.4399085,0.42808464
169,2025-06-11,ROI_1,0.48450783,0.45860627
170,2025-06-14,ROI_5,0.42913428,0.41492566
171,2025-06-14,ROI_4,0.43353337,0.41587153
172,2025-06-14,ROI_3,0.444385,0.4186171
173,2025-06-14,ROI_2,0.43487188,0.4170363
174,2025-06-14,ROI_1,0.45453295,0.40002665
175,2025-06-17,ROI_5,0.4413855,0.42711395
176,2025-06-17,ROI_4,0.45818546,0.4369407
177,2025-06-17,ROI_3,0.43251386,0.41406313
178,2025-06-17,ROI_2,0.43350548,0.4220446
179,2025-06-17,ROI_1,0.48000324,0.45346886
180,2025-06-20,ROI_5,0.43065977,0.4217607
181,2025-06-20,ROI_4,0.44267914,0.42859906
182,2025-06-20,ROI_3,0.42487788,0.41169643
183,2025-06-20,ROI_2,0.42601788,0.4157502
184,2025-06-20,ROI_1,0.46858054,0.43868342
185,2025-06-23,ROI_5,0.42972445,0.42188784
186,2025-06-23,ROI_4,0.44452327,0.43043095
187,2025-06-23,ROI_3,0.4209873,0.4098619
188,2025-06-23,ROI_2,0.42183158,0.4118766
189,2025-06-23,ROI_1,0.4728991,0.4435721
190,2025-06-26,ROI_5,0.4352442,0.4202028
191,2025-06-26,ROI_4,0.4436614,0.4285704
192,2025-06-26,ROI_3,0.44153205,0.41039023
193,2025-06-26,ROI_2,0.4307808,0.4114502
194,2025-06-26,ROI_1,0.46165708,0.43611377
195,2025-06-29,ROI_5,0.42393532,0.41775364
196,2025-06-29,ROI_4,0.4400318,0.4305802
197,2025-06-29,ROI_3,0.40906528,0.40070498
198,2025-06-29,ROI_2,0.41245472,0.4063725
199,2025-06-29,ROI_1,0.45826668,0.43344593
200,2025-07-02,ROI_5,0.41733733,0.4060699
201,2025-07-02,ROI_4,0.4308784,0.4143844
202,2025-07-02,ROI_3,0.41243672,0.39637455
203,2025-07-02,ROI_2,0.41343954,0.40239275
204,2025-07-02,ROI_1,0.4469124,0.4099233
205,2025-07-05,ROI_5,0.4259616,0.40644938
206,2025-07-05,ROI_4,0.4481007,0.42186847
207,2025-07-05,ROI_3,0.40552592,0.38896352
208,2025-07-05,ROI_2,0.40720913,0.39164212
209,2025-07-05,ROI_1,0.45841894,0.4270377
210,2025-07-08,ROI_5,0.4167559,0.40715426
211,2025-07-08,ROI_4,0.43711472,0.4212857
212,2025-07-08,ROI_3,0.4054528,0.39145702
213,2025-07-08,ROI_2,0.40082407,0.3908231
214,2025-07-08,ROI_1,0.44227445,0.41576958
215,2025-07-11,ROI_5,0.41981307,0.40636113
216,2025-07-11,ROI_4,0.4352479,0.4168965
217,2025-07-11,ROI_3,0.3988561,0.38686517
218,2025-07-11,ROI_2,0.40396082,0.39167005
219,2025-07-11,ROI_1,0.44550368,0.42239597
220,2025-07-14,ROI_5,0.4182432,0.40004212
