,Date,ROI,GCC_90p,GCC_mean
0,2025-03-11,ROI_4,0.35210058,0.3500524
1,2025-03-11,ROI_3,0.36355028,0.35893315
2,2025-03-11,ROI_2,0.3620418,0.35698864
3,2025-03-11,ROI_1,0.3542767,0.350982
4,2025-03-14,ROI_4,0.35060406,0.34691212
5,2025-03-14,ROI_3,0.36303338,0.3529854
6,2025-03-14,ROI_2,0.35079193,0.3454309
7,2025-03-14,ROI_1,0.35840335,0.35221255
8,2025-03-17,ROI_4,0.3501282,0.34827936
9,2025-03-17,ROI_3,0.36116767,0.35680795
10,2025-03-17,ROI_2,0.3562977,0.35313928
11,2025-03-17,ROI_1,0.35537565,0.35045138
12,2025-03-20,ROI_4,0.35204753,0.34928954
13,2025-03-20,ROI_3,0.3627542,0.3584804
14,2025-03-20,ROI_2,0.3621189,0.35825834
15,2025-03-20,ROI_1,0.35284945,0.350071
16,2025-03-23,ROI_4,0.35101545,0.34853718
17,2025-03-23,ROI_3,0.35980356,0.35731512
18,2025-03-23,ROI_2,0.35977492,0.35716558
19,2025-03-23,ROI_1,0.35210982,0.34914637
20,2025-03-26,ROI_4,0.35051662,0.34918937
21,2025-03-26,ROI_3,0.36007562,0.35788256
22,2025-03-26,ROI_2,0.35971183,0.3572411
23,2025-03-26,ROI_1,0.35175782,0.3498916
24,2025-03-29,ROI_4,0.35148886,0.3497066
25,2025-03-29,ROI_3,0.36105585,0.3582199
26,2025-03-29,ROI_2,0.36409476,0.35878858
27,2025-03-29,ROI_1,0.35010803,0.34845147
28,2025-04-01,ROI_4,0.35108078,0.34994674
29,2025-04-01,ROI_3,0.36221322,0.35956752
30,2025-04-01,ROI_2,0.36132866,0.35833135
31,2025-04-01,ROI_1,0.35118645,0.34998125
32,2025-04-04,ROI_4,0.35233042,0.34935385
33,2025-04-04,ROI_3,0.36402622,0.35851806
34,2025-04-04,ROI_2,0.36394224,0.357849
35,2025-04-04,ROI_1,0.35391274,0.34953523
36,2025-04-07,ROI_4,0.3493763,0.34808165
37,2025-04-07,ROI_3,0.35966867,0.35632157
38,2025-04-07,ROI_2,0.3613511,0.35636547
39,2025-04-07,ROI_1,0.35133892,0.34772927
40,2025-04-10,ROI_4,0.3509885,0.34833872
41,2025-04-10,ROI_3,0.36047032,0.35684738
42,2025-04-10,ROI_2,0.35799387,0.3549288
43,2025-04-10,ROI_1,0.35307202,0.34919778
44,2025-04-13,ROI_4,0.35220522,0.34983954
45,2025-04-13,ROI_3,0.36284935,0.35912284
46,2025-04-13,ROI_2,0.35926226,0.35648075
47,2025-04-13,ROI_1,0.35578743,0.35023835
48,2025-04-16,ROI_4,0.35431877,0.35096392
49,2025-04-16,ROI_3,0.3645217,0.36061373
50,2025-04-16,ROI_2,0.36241812,0.35864338
51,2025-04-16,ROI_1,0.3540626,0.35064593
52,2025-04-19,ROI_4,0.35380822,0.35135236
53,2025-04-19,ROI_3,0.36255717,0.3606641
54,2025-04-19,ROI_2,0.3661663,0.3603383
55,2025-04-19,ROI_1,0.35262716,0.35042056
56,2025-04-22,ROI_4,0.353304,0.35113448
57,2025-04-22,ROI_3,0.36214703,0.3599639
58,2025-04-22,ROI_2,0.36118266,0.35882038
59,2025-04-22,ROI_1,0.35194585,0.35050395
60,2025-04-25,ROI_4,0.35633957,0.35031262
61,2025-04-25,ROI_3,0.36717436,0.3600513
62,2025-04-25,ROI_2,0.363881,0.3586554
63,2025-04-25,ROI_1,0.35279217,0.34912577
64,2025-04-28,ROI_4,0.35498175,0.34996298
65,2025-04-28,ROI_3,0.36660993,0.35999814
66,2025-04-28,ROI_2,0.3652474,0.35932854
67,2025-04-28,ROI_1,0.35422876,0.34934372
68,2025-05-01,ROI_4,0.35250247,0.34960473
69,2025-05-01,ROI_3,0.3635859,0.35959652
70,2025-05-01,ROI_2,0.36296,0.35822672
71,2025-05-01,ROI_1,0.35284743,0.35084298
72,2025-05-04,ROI_4,0.3533375,0.3498749
73,2025-05-04,ROI_3,0.3635317,0.35875764
74,2025-05-04,ROI_2,0.36170757,0.35843226
75,2025-05-04,ROI_1,0.351904,0.3490228
76,2025-05-07,ROI_4,0.35094014,0.34960103
77,2025-05-07,ROI_3,0.3610951,0.35835293
78,2025-05-07,ROI_2,0.36075523,0.35811904
79,2025-05-07,ROI_1,0.35211203,0.3498487
80,2025-05-10,ROI_4,0.35296917,0.350657
81,2025-05-10,ROI_3,0.364321,0.35952234
82,2025-05-10,ROI_2,0.3648999,0.3599656
83,2025-05-10,ROI_1,0.35315764,0.35025233
84,2025-05-13,ROI_4,0.35565382,0.35199976
85,2025-05-13,ROI_3,0.3678732,0.3616078
86,2025-05-13,ROI_2,0.36783725,0.36128348
87,2025-05-13,ROI_1,0.3567712,0.35204005
88,2025-05-16,ROI_4,0.3554623,0.3532889
89,2025-05-16,ROI_3,0.368075,0.36240003
90,2025-05-16,ROI_2,0.3678763,0.36035162
91,2025-05-16,ROI_1,0.35810035,0.35398212
92,2025-05-19,ROI_4,0.3611693,0.35792404
93,2025-05-19,ROI_3,0.376834,0.3684102
94,2025-05-19,ROI_2,0.37011513,0.36448807
95,2025-05-19,ROI_1,0.3649695,0.3603688
96,2025-05-22,ROI_4,0.3692937,0.3627402
97,2025-05-22,ROI_3,0.38526884,0.37671682
