,Date,ROI,GCC_90p,GCC_mean
0,2025-03-02,ROI_1,0.38113937,0.3783781
1,2025-03-02,ROI_2,0.36135262,0.35896546
2,2025-03-02,ROI_4,0.3506204,0.3493016
3,2025-03-02,ROI_3,0.34069708,0.3399248
4,2025-03-05,ROI_1,0.3860964,0.37784678
5,2025-03-05,ROI_2,0.36656922,0.3618727
6,2025-03-05,ROI_4,0.35210297,0.34996274
7,2025-03-05,ROI_3,0.34203094,0.34008357
8,2025-03-08,ROI_1,0.38585588,0.37636796
9,2025-03-08,ROI_2,0.3654971,0.36130226
10,2025-03-08,ROI_4,0.35064533,0.34850156
11,2025-03-08,ROI_3,0.34095013,0.33937
12,2025-03-11,ROI_1,0.37918952,0.37571824
13,2025-03-11,ROI_2,0.36243823,0.3583825
14,2025-03-11,ROI_4,0.34845498,0.3472247
15,2025-03-11,ROI_3,0.34038973,0.33948922
16,2025-03-14,ROI_1,0.3876237,0.37080696
17,2025-03-14,ROI_2,0.3636783,0.35576755
18,2025-03-14,ROI_4,0.34905964,0.34534353
19,2025-03-14,ROI_3,0.34002876,0.33751333
20,2025-03-17,ROI_1,0.38836524,0.37495196
21,2025-03-17,ROI_2,0.36467293,0.35880628
22,2025-03-17,ROI_4,0.3495469,0.34685457
23,2025-03-17,ROI_3,0.34143063,0.33900338
24,2025-03-20,ROI_1,0.3842177,0.36940607
25,2025-03-20,ROI_2,0.36130568,0.35512808
26,2025-03-20,ROI_4,0.34787643,0.34549913
27,2025-03-20,ROI_3,0.3396565,0.337488
28,2025-03-23,ROI_1,0.37875625,0.36727455
29,2025-03-23,ROI_2,0.36049947,0.3542047
30,2025-03-23,ROI_4,0.34788913,0.34524295
31,2025-03-23,ROI_3,0.34016958,0.3373592
32,2025-03-26,ROI_1,0.3795154,0.3713031
33,2025-03-26,ROI_2,0.36377245,0.3582233
34,2025-03-26,ROI_4,0.34820497,0.34650207
35,2025-03-26,ROI_3,0.34018955,0.33889803
36,2025-03-29,ROI_1,0.37397778,0.36720285
37,2025-03-29,ROI_2,0.36271197,0.35641995
38,2025-03-29,ROI_4,0.34851858,0.34653705
39,2025-03-29,ROI_3,0.3409441,0.33899656
40,2025-04-01,ROI_1,0.38042685,0.36996692
41,2025-04-01,ROI_2,0.36258042,0.35796964
42,2025-04-01,ROI_4,0.34920606,0.34657302
43,2025-04-01,ROI_3,0.34092435,0.338603
44,2025-04-04,ROI_1,0.37420958,0.36834306
45,2025-04-04,ROI_2,0.36153603,0.35774988
46,2025-04-04,ROI_4,0.3471794,0.34554905
47,2025-04-04,ROI_3,0.34015507,0.3380661
48,2025-04-07,ROI_1,0.3754117,0.3671509
49,2025-04-07,ROI_2,0.36022848,0.35473692
50,2025-04-07,ROI_4,0.34725696,0.34449
51,2025-04-07,ROI_3,0.33985248,0.33759195
52,2025-04-10,ROI_1,0.3730483,0.36408526
53,2025-04-10,ROI_2,0.3635611,0.3589891
54,2025-04-10,ROI_4,0.3475182,0.34534127
55,2025-04-10,ROI_3,0.34113547,0.33912808
56,2025-04-13,ROI_1,0.37871432,0.3707836
57,2025-04-13,ROI_2,0.36383563,0.35858032
58,2025-04-13,ROI_4,0.3484548,0.34621847
59,2025-04-13,ROI_3,0.34201384,0.33927608
60,2025-04-16,ROI_1,0.3775053,0.36907735
61,2025-04-16,ROI_2,0.36560097,0.35883307
62,2025-04-16,ROI_4,0.3492781,0.34640643
63,2025-04-16,ROI_3,0.34250948,0.33925277
64,2025-04-19,ROI_1,0.38221398,0.3728973
65,2025-04-19,ROI_2,0.37035134,0.3638101
66,2025-04-19,ROI_4,0.35172415,0.34905267
67,2025-04-19,ROI_3,0.34306216,0.34177846
68,2025-04-22,ROI_1,0.37524122,0.37237296
69,2025-04-22,ROI_2,0.36550593,0.3629259
70,2025-04-22,ROI_4,0.35088268,0.3494976
71,2025-04-22,ROI_3,0.3429586,0.34204984
72,2025-04-25,ROI_1,0.37412393,0.3683373
73,2025-04-25,ROI_2,0.36610478,0.3590277
74,2025-04-25,ROI_4,0.34921733,0.3477802
75,2025-04-25,ROI_3,0.3431857,0.3400597
76,2025-04-28,ROI_1,0.38554198,0.37263715
77,2025-04-28,ROI_2,0.3694757,0.36144227
78,2025-04-28,ROI_4,0.35214058,0.34859696
79,2025-04-28,ROI_3,0.34521922,0.34085172
80,2025-05-01,ROI_1,0.37769106,0.37302053
81,2025-05-01,ROI_2,0.36577892,0.36208692
82,2025-05-01,ROI_4,0.35087362,0.34860757
83,2025-05-01,ROI_3,0.34303334,0.34178495
84,2025-05-04,ROI_1,0.3736693,0.36992228
85,2025-05-04,ROI_2,0.3679133,0.36383823
86,2025-05-04,ROI_4,0.35089,0.3489525
87,2025-05-04,ROI_3,0.34438238,0.34139124
88,2025-05-07,ROI_1,0.38066158,0.37256446
89,2025-05-07,ROI_2,0.37315717,0.37053138
90,2025-05-07,ROI_4,0.3537517,0.35183927
91,2025-05-07,ROI_3,0.34852102,0.34616494
92,2025-05-10,ROI_1,0.3760651,0.3706805
93,2025-05-10,ROI_2,0.3744051,0.36982292
94,2025-05-10,ROI_4,0.35367423,0.3519237
95,2025-05-10,ROI_3,0.34794116,0.3450357
96,2025-05-13,ROI_1,0.39249223,0.37631673
97,2025-05-13,ROI_2,0.39049864,0.3820753
98,2025-05-13,ROI_4,0.36371866,0.35901943
99,2025-05-13,ROI_3,0.36049837,0.3526913
100,2025-05-16,ROI_1,0.38634348,0.37419656
101,2025-05-16,ROI_2,0.3999375,0.38785508
102,2025-05-16,ROI_4,0.37252584,0.36453742
103,2025-05-16,ROI_3,0.36952063,0.36013594
104,2025-05-19,ROI_1,0.39130482,0.37987217
105,2025-05-19,ROI_2,0.41532922,0.4037436
106,2025-05-19,ROI_4,0.38772923,0.37612748
107,2025-05-19,ROI_3,0.38699454,0.37238958
108,2025-05-22,ROI_1,0.3855499,0.3785605
109,2025-05-22,ROI_2,0.43730074,0.41533762
110,2025-05-22,ROI_4,0.39242107,0.38312858
111,2025-05-22,ROI_3,0.3937265,0.3821111
112,2025-05-25,ROI_1,0.39460284,0.38071817
113,2025-05-25,ROI_2,0.43301904,0.41809845
114,2025-05-25,ROI_4,0.39955375,0.386205
115,2025-05-25,ROI_3,0.40130448,0.3830085
116,2025-05-28,ROI_1,0.3923549,0.38091674
117,2025-05-28,ROI_2,0.43477613,0.42524529
118,2025-05-28,ROI_4,0.40244392,0.39369792
119,2025-05-28,ROI_3,0.40168273,0.39303398
120,2025-05-31,ROI_1,0.40448588,0.38063022
121,2025-05-31,ROI_2,0.4434722,0.43100566
122,2025-05-31,ROI_4,0.41330916,0.3988238
123,2025-05-31,ROI_3,0.4189238,0.39968866
124,2025-06-03,ROI_1,0.4014848,0.38443297
125,2025-06-03,ROI_2,0.44954145,0.438855
126,2025-06-03,ROI_4,0.41842386,0.40515345
127,2025-06-03,ROI_3,0.42145947,0.40487635
128,2025-06-06,ROI_1,0.39980885,0.38261494
129,2025-06-06,ROI_2,0.4450524,0.43102327
130,2025-06-06,ROI_4,0.40938595,0.40101033
131,2025-06-06,ROI_3,0.41482264,0.4032865
132,2025-06-09,ROI_1,0.4022927,0.38754067
133,2025-06-09,ROI_2,0.44225717,0.43174988
134,2025-06-09,ROI_4,0.41336495,0.40319714
135,2025-06-09,ROI_3,0.41507867,0.40220895
136,2025-06-12,ROI_1,0.38922596,0.3831749
137,2025-06-12,ROI_2,0.4438968,0.43229103
138,2025-06-12,ROI_4,0.4092481,0.40077958
139,2025-06-12,ROI_3,0.41781873,0.4026438
140,2025-06-15,ROI_1,0.40785864,0.38897544
141,2025-06-15,ROI_2,0.4456645,0.43590832
142,2025-06-15,ROI_4,0.41784045,0.4043172
143,2025-06-15,ROI_3,0.42175117,0.40188006
144,2025-06-18,ROI_1,0.39158878,0.3779035
145,2025-06-18,ROI_2,0.44249377,0.4289598
146,2025-06-18,ROI_4,0.4069274,0.39617687
147,2025-06-18,ROI_3,0.41184738,0.3991225
148,2025-06-21,ROI_1,0.40322727,0.39003736
149,2025-06-21,ROI_2,0.44580138,0.43277127
150,2025-06-21,ROI_4,0.41129792,0.39978305
151,2025-06-21,ROI_3,0.41927987,0.39764953
152,2025-06-24,ROI_1,0.39268693,0.3867918
153,2025-06-24,ROI_2,0.4332484,0.42376563
154,2025-06-24,ROI_4,0.4014583,0.39408872
155,2025-06-24,ROI_3,0.40072083,0.39369133
156,2025-06-27,ROI_1,0.39877102,0.38613135
157,2025-06-27,ROI_2,0.4361625,0.427978
158,2025-06-27,ROI_4,0.41058064,0.3984982
159,2025-06-27,ROI_3,0.4145138,0.3977403
160,2025-06-30,ROI_1,0.4065014,0.3869938
161,2025-06-30,ROI_2,0.44186118,0.42789045
162,2025-06-30,ROI_4,0.42089647,0.40508
163,2025-06-30,ROI_3,0.43643036,0.4139666
164,2025-07-03,ROI_1,0.38144195,0.3703031
165,2025-07-03,ROI_2,0.42517883,0.41102487
166,2025-07-03,ROI_4,0.39533746,0.38886088
167,2025-07-03,ROI_3,0.4009328,0.38963622
168,2025-07-06,ROI_1,0.38233617,0.37578043
169,2025-07-06,ROI_2,0.42112604,0.4080025
170,2025-07-06,ROI_4,0.40032017,0.3892407
171,2025-07-06,ROI_3,0.40228894,0.39040685
172,2025-07-09,ROI_1,0.3942021,0.3791303
173,2025-07-09,ROI_2,0.43064678,0.41628006
174,2025-07-09,ROI_4,0.4087835,0.3967935
175,2025-07-09,ROI_3,0.41347468,0.3971401
176,2025-07-12,ROI_1,0.385089,0.37705112
177,2025-07-12,ROI_2,0.42298457,0.41216132
178,2025-07-12,ROI_4,0.4061528,0.39641103
179,2025-07-12,ROI_3,0.4092385,0.39785776
180,2025-07-15,ROI_1,0.39934492,0.375275
181,2025-07-15,ROI_2,0.42310256,0.40690154
182,2025-07-15,ROI_4,0.41198048,0.39149767
183,2025-07-15,ROI_3,0.41322595,0.3865218
184,2025-07-18,ROI_1,0.40152276,0.3757367
185,2025-07-18,ROI_2,0.4240617,0.41066793
186,2025-07-18,ROI_4,0.4126671,0.39290765
187,2025-07-18,ROI_3,0.41104499,0.38769963
188,2025-07-21,ROI_1,0.38793236,0.3788976
189,2025-07-21,ROI_2,0.42014685,0.41158786
190,2025-07-21,ROI_4,0.4042013,0.39320102
191,2025-07-21,ROI_3,0.40017316,0.39070642
192,2025-07-24,ROI_1,0.40247908,0.37346068
193,2025-07-24,ROI_2,0.4198443,0.4017712
194,2025-07-24,ROI_4,0.41339433,0.38700852
195,2025-07-24,ROI_3,0.410877,0.37967047
196,2025-07-27,ROI_1,0.4041399,0.37436777
197,2025-07-27,ROI_2,0.4176821,0.40131116
198,2025-07-27,ROI_4,0.41218552,0.38670248
199,2025-07-27,ROI_3,0.41047713,0.38126928
200,2025-07-30,ROI_1,0.38659912,0.37403175
201,2025-07-30,ROI_2,0.41680923,0.4072177
202,2025-07-30,ROI_4,0.39749545,0.38816974
203,2025-07-30,ROI_3,0.4008083,0.38644972
204,2025-08-02,ROI_1,0.3974435,0.37451258
205,2025-08-02,ROI_2,0.41731304,0.40383452
206,2025-08-02,ROI_4,0.4008516,0.3862042
207,2025-08-02,ROI_3,0.4034911,0.38434106
208,2025-08-05,ROI_1,0.38621172,0.37393057
209,2025-08-05,ROI_2,0.40978938,0.39923918
210,2025-08-05,ROI_4,0.3939673,0.3850426
211,2025-08-05,ROI_3,0.40044492,0.38368833
212,2025-08-08,ROI_1,0.3866386,0.37042028
213,2025-08-08,ROI_2,0.4017431,0.39357847
214,2025-08-08,ROI_4,0.39114228,0.38137957
215,2025-08-08,ROI_3,0.39219022,0.37923715
216,2025-08-11,ROI_1,0.3892088,0.3685712
217,2025-08-11,ROI_2,0.40437946,0.3927804
218,2025-08-11,ROI_4,0.38863045,0.38029453
219,2025-08-11,ROI_3,0.38732544,0.3783682
220,2025-08-14,ROI_1,0.3910003,0.36953998
221,2025-08-14,ROI_2,0.40438646,0.3909144
222,2025-08-14,ROI_4,0.39606366,0.37974524
223,2025-08-14,ROI_3,0.39316055,0.3749122
224,2025-08-17,ROI_1,0.38587153,0.36985496
225,2025-08-17,ROI_2,0.40805689,0.3913829
226,2025-08-17,ROI_4,0.39172095,0.3800904
227,2025-08-17,ROI_3,0.39476445,0.37816486
228,2025-08-20,ROI_1,0.37906742,0.367436
229,2025-08-20,ROI_2,0.40029463,0.39171574
230,2025-08-20,ROI_4,0.38862664,0.37816992
231,2025-08-20,ROI_3,0.38559383,0.3757583
232,2025-08-23,ROI_1,0.37633094,0.36675164
233,2025-08-23,ROI_2,0.4024543,0.39142802
234,2025-08-23,ROI_4,0.38960698,0.3767026
235,2025-08-23,ROI_3,0.38370547,0.37426433
236,2025-08-26,ROI_1,0.374142,0.3642339
237,2025-08-26,ROI_2,0.4021949,0.39237237
238,2025-08-26,ROI_4,0.38617393,0.3763972
239,2025-08-26,ROI_3,0.38508126,0.37424883
240,2025-08-29,ROI_1,0.37415314,0.3642878
241,2025-08-29,ROI_2,0.40957317,0.39728686
242,2025-08-29,ROI_4,0.38736096,0.38009536
243,2025-08-29,ROI_3,0.38730973,0.37908018
244,2025-09-01,ROI_1,0.37364453,0.3699829
245,2025-09-01,ROI_2,0.40101153,0.3936601
246,2025-09-01,ROI_4,0.38358533,0.3782998
247,2025-09-01,ROI_3,0.383751,0.3777707
248,2025-09-04,ROI_1,0.37867123,0.36799982
249,2025-09-04,ROI_2,0.40236476,0.39180806
250,2025-09-04,ROI_4,0.3843047,0.37768176
251,2025-09-04,ROI_3,0.38764274,0.37380436
252,2025-09-07,ROI_1,0.37548107,0.36771074
253,2025-09-07,ROI_2,0.3989194,0.39147353
254,2025-09-07,ROI_4,0.3843918,0.37850925
