,Date,ROI,GCC_90p,GCC_mean
0,2025-03-11,ROI_4,0.35789913,0.35552087
1,2025-03-11,ROI_3,0.3410375,0.33882022
2,2025-03-11,ROI_2,0.358989,0.35687742
3,2025-03-11,ROI_1,0.36630112,0.36293322
4,2025-03-14,ROI_4,0.35770682,0.35356787
5,2025-03-14,ROI_3,0.34514147,0.34237158
6,2025-03-14,ROI_2,0.36080664,0.35551268
7,2025-03-14,ROI_1,0.3600129,0.3557079
8,2025-03-17,ROI_4,0.35916948,0.35595798
9,2025-03-17,ROI_3,0.3441007,0.34228653
10,2025-03-17,ROI_2,0.3609572,0.35749328
11,2025-03-17,ROI_1,0.36438635,0.3607651
12,2025-03-20,ROI_4,0.3584707,0.35586175
13,2025-03-20,ROI_3,0.3447147,0.3413197
14,2025-03-20,ROI_2,0.35914066,0.3560706
15,2025-03-20,ROI_1,0.3653739,0.36345205
16,2025-03-23,ROI_4,0.3583644,0.35574093
17,2025-03-23,ROI_3,0.3439412,0.3399664
18,2025-03-23,ROI_2,0.35846907,0.3559096
19,2025-03-23,ROI_1,0.36518326,0.3624228
20,2025-03-26,ROI_4,0.3607183,0.35641545
21,2025-03-26,ROI_3,0.34290496,0.34099433
22,2025-03-26,ROI_2,0.36049116,0.35696405
23,2025-03-26,ROI_1,0.36621,0.3629216
24,2025-03-29,ROI_4,0.36268827,0.35797065
25,2025-03-29,ROI_3,0.35488203,0.34431443
26,2025-03-29,ROI_2,0.3612963,0.35799754
27,2025-03-29,ROI_1,0.36958304,0.36600432
28,2025-04-01,ROI_4,0.35940042,0.3565687
29,2025-04-01,ROI_3,0.34721658,0.34154457
30,2025-04-01,ROI_2,0.3586049,0.3566461
31,2025-04-01,ROI_1,0.36614606,0.36314425
32,2025-04-04,ROI_4,0.35772702,0.35522702
33,2025-04-04,ROI_3,0.3470993,0.34074497
34,2025-04-04,ROI_2,0.35778162,0.35515442
35,2025-04-04,ROI_1,0.36431125,0.36068267
36,2025-04-07,ROI_4,0.35889035,0.35487112
37,2025-04-07,ROI_3,0.34439826,0.33963177
38,2025-04-07,ROI_2,0.35753047,0.35466468
39,2025-04-07,ROI_1,0.3630484,0.35917646
40,2025-04-10,ROI_4,0.3561554,0.3536368
41,2025-04-10,ROI_3,0.34583485,0.34080437
42,2025-04-10,ROI_2,0.35761073,0.3542962
43,2025-04-10,ROI_1,0.3624579,0.35793716
44,2025-04-13,ROI_4,0.35675132,0.35481638
45,2025-04-13,ROI_3,0.34264603,0.33979893
46,2025-04-13,ROI_2,0.35894024,0.35535243
47,2025-04-13,ROI_1,0.362244,0.3591599
48,2025-04-16,ROI_4,0.360989,0.35617268
49,2025-04-16,ROI_3,0.3487928,0.34116736
50,2025-04-16,ROI_2,0.35991734,0.356129
51,2025-04-16,ROI_1,0.36956993,0.36219406
52,2025-04-19,ROI_4,0.35760042,0.3561399
53,2025-04-19,ROI_3,0.35128874,0.34285775
54,2025-04-19,ROI_2,0.35762396,0.3557836
55,2025-04-19,ROI_1,0.36786938,0.36427927
56,2025-04-22,ROI_4,0.35801286,0.3561996
57,2025-04-22,ROI_3,0.34589708,0.3433135
58,2025-04-22,ROI_2,0.35881105,0.35629866
59,2025-04-22,ROI_1,0.37165073,0.36790264
60,2025-04-25,ROI_4,0.36159545,0.35662907
61,2025-04-25,ROI_3,0.34644818,0.34158683
62,2025-04-25,ROI_2,0.36005783,0.35672936
63,2025-04-25,ROI_1,0.36468682,0.36213785
64,2025-04-28,ROI_4,0.36065766,0.3573811
65,2025-04-28,ROI_3,0.34546232,0.34020567
66,2025-04-28,ROI_2,0.36013913,0.35721868
67,2025-04-28,ROI_1,0.3649319,0.36240095
68,2025-05-01,ROI_4,0.35774627,0.35574204
69,2025-05-01,ROI_3,0.34059462,0.33917278
70,2025-05-01,ROI_2,0.35795385,0.3565224
71,2025-05-01,ROI_1,0.36524174,0.3633222
72,2025-05-04,ROI_4,0.3605125,0.3571914
73,2025-05-04,ROI_3,0.34808668,0.34114403
74,2025-05-04,ROI_2,0.3603183,0.35706145
75,2025-05-04,ROI_1,0.37127376,0.363654
76,2025-05-07,ROI_4,0.3580572,0.35625976
77,2025-05-07,ROI_3,0.34312487,0.34009287
78,2025-05-07,ROI_2,0.3580828,0.35623187
79,2025-05-07,ROI_1,0.36990216,0.36604252
80,2025-05-10,ROI_4,0.36135057,0.35730073
81,2025-05-10,ROI_3,0.34659508,0.3409294
82,2025-05-10,ROI_2,0.35801807,0.35631603
83,2025-05-10,ROI_1,0.3680883,0.3644552
84,2025-05-13,ROI_4,0.36326906,0.3605221
85,2025-05-13,ROI_3,0.3467812,0.34127837
86,2025-05-13,ROI_2,0.35946354,0.35764763
87,2025-05-13,ROI_1,0.37529612,0.3708886
88,2025-05-16,ROI_4,0.36494684,0.3625924
89,2025-05-16,ROI_3,0.34809566,0.34385753
90,2025-05-16,ROI_2,0.36098644,0.3579662
91,2025-05-16,ROI_1,0.38435462,0.37573278
92,2025-05-19,ROI_4,0.3713563,0.3667194
93,2025-05-19,ROI_3,0.36522242,0.34798586
94,2025-05-19,ROI_2,0.3631342,0.36053586
95,2025-05-19,ROI_1,0.38953415,0.38207877
96,2025-05-22,ROI_4,0.37939474,0.3723028
97,2025-05-22,ROI_3,0.35448444,0.34843147
98,2025-05-22,ROI_2,0.36635587,0.36320475
99,2025-05-22,ROI_1,0.43732467,0.40015703
100,2025-05-25,ROI_4,0.3804475,0.37523517
101,2025-05-25,ROI_3,0.36472115,0.3513104
102,2025-05-25,ROI_2,0.36827204,0.36447942
103,2025-05-25,ROI_1,0.4381948,0.41482797
104,2025-05-28,ROI_4,0.38333902,0.37984756
105,2025-05-28,ROI_3,0.3636085,0.3508014
106,2025-05-28,ROI_2,0.3706577,0.36709002
107,2025-05-28,ROI_1,0.45600462,0.43409616
108,2025-05-31,ROI_4,0.40029696,0.39158368
109,2025-05-31,ROI_3,0.38222748,0.35877252
110,2025-05-31,ROI_2,0.37928858,0.37463856
111,2025-05-31,ROI_1,0.4741452,0.45688134
112,2025-06-03,ROI_4,0.40164804,0.39278015
113,2025-06-03,ROI_3,0.3759048,0.3622143
114,2025-06-03,ROI_2,0.38191774,0.37642828
115,2025-06-03,ROI_1,0.48819774,0.454485
116,2025-06-06,ROI_4,0.39734694,0.38814873
