,Date,ROI,GCC_90p,GCC_mean
0,2025-02-21,ROI_3,0.35054523,0.34601355
1,2025-02-21,ROI_2,0.3452698,0.34332567
2,2025-02-21,ROI_1,0.35789603,0.34870562
3,2025-03-11,ROI_3,0.33885023,0.33467954
4,2025-03-11,ROI_2,0.33441436,0.33037648
5,2025-03-11,ROI_1,0.344863,0.3427286
6,2025-03-14,ROI_3,0.34315726,0.33768392
7,2025-03-14,ROI_2,0.3473617,0.3376846
8,2025-03-14,ROI_1,0.34162924,0.33572537
9,2025-03-17,ROI_3,0.34283862,0.3395865
10,2025-03-17,ROI_2,0.34718636,0.33959615
11,2025-03-17,ROI_1,0.34572908,0.33670825
12,2025-03-20,ROI_3,0.34290832,0.33925027
13,2025-03-20,ROI_2,0.34635183,0.3403669
14,2025-03-20,ROI_1,0.34119716,0.33447164
15,2025-03-23,ROI_3,0.34344685,0.3400511
16,2025-03-23,ROI_2,0.34743044,0.3407392
17,2025-03-23,ROI_1,0.33923244,0.33445236
18,2025-03-26,ROI_3,0.34097463,0.33703056
19,2025-03-26,ROI_2,0.3421856,0.3358625
20,2025-03-26,ROI_1,0.34223413,0.33717042
21,2025-03-29,ROI_3,0.34157276,0.3388406
22,2025-03-29,ROI_2,0.34396985,0.3388644
23,2025-03-29,ROI_1,0.34182015,0.33640933
24,2025-04-01,ROI_3,0.3408267,0.3378257
25,2025-04-01,ROI_2,0.34127954,0.33751798
26,2025-04-01,ROI_1,0.34168303,0.3368159
27,2025-04-04,ROI_3,0.34346676,0.33942103
28,2025-04-04,ROI_2,0.34689415,0.3405418
29,2025-04-04,ROI_1,0.3379691,0.33465582
30,2025-04-07,ROI_3,0.34219733,0.33881518
31,2025-04-07,ROI_2,0.34525958,0.3404115
32,2025-04-07,ROI_1,0.33509114,0.3322726
33,2025-04-10,ROI_3,0.34322172,0.33821717
34,2025-04-10,ROI_2,0.34788895,0.3393312
35,2025-04-10,ROI_1,0.3525207,0.33726317
36,2025-04-13,ROI_3,0.34317854,0.33922568
37,2025-04-13,ROI_2,0.34448525,0.33921474
38,2025-04-13,ROI_1,0.3527573,0.33871302
39,2025-04-16,ROI_3,0.34231728,0.33854526
40,2025-04-16,ROI_2,0.34641454,0.33907956
41,2025-04-16,ROI_1,0.34670645,0.33602723
42,2025-04-19,ROI_3,0.3413301,0.33937553
43,2025-04-19,ROI_2,0.33832014,0.33555493
44,2025-04-19,ROI_1,0.3548002,0.34994215
45,2025-04-22,ROI_3,0.34324655,0.3386443
46,2025-04-22,ROI_2,0.33890173,0.33470628
47,2025-04-22,ROI_1,0.35860735,0.353268
48,2025-04-25,ROI_3,0.34297678,0.33946028
49,2025-04-25,ROI_2,0.34542185,0.34012756
50,2025-04-25,ROI_1,0.34896392,0.34232172
51,2025-04-28,ROI_3,0.34300515,0.33981246
52,2025-04-28,ROI_2,0.34700114,0.34007198
53,2025-04-28,ROI_1,0.35406557,0.344402
54,2025-05-01,ROI_3,0.34358573,0.3390777
55,2025-05-01,ROI_2,0.33972198,0.3349854
56,2025-05-01,ROI_1,0.3691337,0.35730892
57,2025-05-04,ROI_3,0.34424743,0.3412988
58,2025-05-04,ROI_2,0.34519553,0.33862016
59,2025-05-04,ROI_1,0.37439713,0.35819963
60,2025-05-07,ROI_3,0.3427079,0.3395635
61,2025-05-07,ROI_2,0.33670023,0.33485493
62,2025-05-07,ROI_1,0.37128478,0.36078936
63,2025-05-10,ROI_3,0.34484372,0.34161505
64,2025-05-10,ROI_2,0.3468823,0.33892196
65,2025-05-10,ROI_1,0.3732847,0.3588285
66,2025-05-13,ROI_3,0.34972632,0.34546095
67,2025-05-13,ROI_2,0.3458036,0.34056574
68,2025-05-13,ROI_1,0.3837729,0.36591846
69,2025-05-16,ROI_3,0.3644612,0.35873523
70,2025-05-16,ROI_2,0.36154705,0.35155097
71,2025-05-16,ROI_1,0.40478477,0.39331785
72,2025-05-19,ROI_3,0.3986289,0.38777283
73,2025-05-19,ROI_2,0.39918387,0.38134533
74,2025-05-19,ROI_1,0.46393496,0.44873664
75,2025-05-22,ROI_3,0.4332346,0.4232705
76,2025-05-22,ROI_2,0.43839806,0.4291717
77,2025-05-22,ROI_1,0.51300603,0.48243126
78,2025-05-25,ROI_3,0.47163382,0.45436636
79,2025-05-25,ROI_2,0.50194347,0.47816786
80,2025-05-25,ROI_1,0.52672404,0.5103434
81,2025-05-28,ROI_3,0.5020711,0.48395887
82,2025-05-28,ROI_2,0.52039284,0.5075808
83,2025-05-28,ROI_1,0.5398648,0.5151297
84,2025-05-31,ROI_3,0.5236054,0.50656897
85,2025-05-31,ROI_2,0.5483304,0.5251977
86,2025-05-31,ROI_1,0.53487194,0.5199299
87,2025-06-03,ROI_3,0.5413102,0.5073289
88,2025-06-03,ROI_2,0.56148094,0.52575845
89,2025-06-03,ROI_1,0.5489149,0.5092331
90,2025-06-06,ROI_3,0.52794194,0.5130272
91,2025-06-06,ROI_2,0.5582138,0.5379756
92,2025-06-06,ROI_1,0.5185265,0.49632496
93,2025-06-09,ROI_3,0.53965354,0.5157397
94,2025-06-09,ROI_2,0.55890584,0.537934
95,2025-06-09,ROI_1,0.52520925,0.49335742
96,2025-06-12,ROI_3,0.5285638,0.5178548
97,2025-06-12,ROI_2,0.5502841,0.5360839
98,2025-06-12,ROI_1,0.50761896,0.49065024
99,2025-06-15,ROI_3,0.53511745,0.50783885
100,2025-06-15,ROI_2,0.556378,0.525974
101,2025-06-15,ROI_1,0.52955914,0.4958366
102,2025-06-18,ROI_3,0.5177025,0.5093818
103,2025-06-18,ROI_2,0.53126323,0.5223978
104,2025-06-18,ROI_1,0.49076855,0.4719026
105,2025-06-21,ROI_3,0.5300494,0.50884944
106,2025-06-21,ROI_2,0.5402825,0.52073205
107,2025-06-21,ROI_1,0.49488887,0.47696185
108,2025-06-24,ROI_3,0.5194949,0.5041242
109,2025-06-24,ROI_2,0.5211421,0.50823337
110,2025-06-24,ROI_1,0.5008347,0.47743174
111,2025-06-27,ROI_3,0.5383307,0.51518506
112,2025-06-27,ROI_2,0.5483841,0.52517784
113,2025-06-27,ROI_1,0.50948244,0.48574603
114,2025-06-30,ROI_3,0.53471345,0.50868404
115,2025-06-30,ROI_2,0.5434507,0.5161656
116,2025-06-30,ROI_1,0.51531905,0.4768159
117,2025-07-03,ROI_3,0.52952164,0.50440913
118,2025-07-03,ROI_2,0.5274576,0.5035527
119,2025-07-03,ROI_1,0.50694966,0.47269267
120,2025-07-06,ROI_3,0.5204869,0.50809777
121,2025-07-06,ROI_2,0.5094156,0.49740395
122,2025-07-06,ROI_1,0.49334964,0.4692624
123,2025-07-09,ROI_3,0.5398726,0.5217067
124,2025-07-09,ROI_2,0.54481316,0.5162509
125,2025-07-09,ROI_1,0.50759816,0.48072466
126,2025-07-12,ROI_3,0.5402565,0.51515055
127,2025-07-12,ROI_2,0.52786326,0.5051055
128,2025-07-12,ROI_1,0.5017002,0.47120842
129,2025-07-15,ROI_3,0.5313443,0.51271755
130,2025-07-15,ROI_2,0.5225315,0.5052469
131,2025-07-15,ROI_1,0.5101711,0.48166242
132,2025-07-18,ROI_3,0.5409441,0.5131981
133,2025-07-18,ROI_2,0.5246664,0.5080465
134,2025-07-18,ROI_1,0.50062287,0.47995704
135,2025-07-21,ROI_3,0.5105375,0.5000857
136,2025-07-21,ROI_2,0.51752335,0.49360928
137,2025-07-21,ROI_1,0.4737126,0.45717475
138,2025-07-24,ROI_3,0.5278857,0.5067671
139,2025-07-24,ROI_2,0.5112368,0.5026717
140,2025-07-24,ROI_1,0.5013667,0.474366
141,2025-07-27,ROI_3,0.5271818,0.5076237
142,2025-07-27,ROI_2,0.5181596,0.5039959
143,2025-07-27,ROI_1,0.4932849,0.47342142
144,2025-07-30,ROI_3,0.5221192,0.49830827
145,2025-07-30,ROI_2,0.51217985,0.4944592
146,2025-07-30,ROI_1,0.48958707,0.4643496
147,2025-08-02,ROI_3,0.5137205,0.49473172
148,2025-08-02,ROI_2,0.5075264,0.49221975
149,2025-08-02,ROI_1,0.48703423,0.46335724
150,2025-08-05,ROI_3,0.5278871,0.49548653
151,2025-08-05,ROI_2,0.52739686,0.4973782
152,2025-08-05,ROI_1,0.50294405,0.45974976
153,2025-08-08,ROI_3,0.5397226,0.5064153
154,2025-08-08,ROI_2,0.52810735,0.4999476
155,2025-08-08,ROI_1,0.513545,0.47983748
156,2025-08-11,ROI_3,0.5163444,0.49828407
157,2025-08-11,ROI_2,0.5074631,0.49260336
158,2025-08-11,ROI_1,0.48384315,0.4635306
159,2025-08-14,ROI_3,0.49695668,0.4278321
160,2025-08-14,ROI_2,0.48958606,0.43135583
161,2025-08-14,ROI_1,0.45592278,0.41411486
162,2025-08-17,ROI_3,0.40428033,0.3947446
163,2025-08-17,ROI_2,0.41478336,0.4021447
164,2025-08-17,ROI_1,0.4028805,0.39603788
165,2025-08-20,ROI_3,0.400488,0.3916746
166,2025-08-20,ROI_2,0.41524866,0.39816046
167,2025-08-20,ROI_1,0.40172532,0.39404315
168,2025-08-23,ROI_3,0.40675718,0.39753574
169,2025-08-23,ROI_2,0.4153922,0.40539852
170,2025-08-23,ROI_1,0.4065775,0.3970629
171,2025-08-26,ROI_3,0.40278938,0.39123264
172,2025-08-26,ROI_2,0.41126657,0.39601275
173,2025-08-26,ROI_1,0.413327,0.39601427
174,2025-08-29,ROI_3,0.40023395,0.3865255
175,2025-08-29,ROI_2,0.41135108,0.39132324
176,2025-08-29,ROI_1,0.40074906,0.38657615
177,2025-09-01,ROI_3,0.38634336,0.38116083
