,Date,ROI,GCC_90p,GCC_mean
0,2025-03-11,ROI_2,0.34277427,0.3416594
1,2025-03-11,ROI_1,0.33860365,0.33788085
2,2025-03-14,ROI_2,0.34196424,0.3406253
3,2025-03-14,ROI_1,0.34020954,0.3390286
4,2025-03-17,ROI_2,0.34354416,0.3418212
5,2025-03-17,ROI_1,0.34113488,0.33935064
6,2025-03-20,ROI_2,0.34435207,0.3423669
7,2025-03-20,ROI_1,0.34132144,0.33911005
8,2025-03-23,ROI_2,0.34368005,0.3420992
9,2025-03-23,ROI_1,0.3409506,0.33906475
10,2025-03-26,ROI_2,0.3427845,0.34159914
11,2025-03-26,ROI_1,0.3387184,0.3379106
12,2025-03-29,ROI_2,0.34314466,0.34189814
13,2025-03-29,ROI_1,0.33956733,0.33840966
14,2025-04-01,ROI_2,0.34333,0.34195536
15,2025-04-01,ROI_1,0.3399345,0.3384465
16,2025-04-04,ROI_2,0.34301353,0.34153685
17,2025-04-04,ROI_1,0.33960098,0.33836168
18,2025-04-07,ROI_2,0.3431,0.3418464
19,2025-04-07,ROI_1,0.34053278,0.33893058
20,2025-04-10,ROI_2,0.34167376,0.34067163
21,2025-04-10,ROI_1,0.33944136,0.3380317
22,2025-04-13,ROI_2,0.34335077,0.3416821
23,2025-04-13,ROI_1,0.33982253,0.3386479
24,2025-04-16,ROI_2,0.34292778,0.34195143
25,2025-04-16,ROI_1,0.33972353,0.33859456
26,2025-04-19,ROI_2,0.343874,0.342868
27,2025-04-19,ROI_1,0.33967865,0.33900562
28,2025-04-22,ROI_2,0.3429066,0.34192142
29,2025-04-22,ROI_1,0.33885634,0.33808395
30,2025-04-25,ROI_2,0.34428942,0.3428223
31,2025-04-25,ROI_1,0.3400139,0.33911136
32,2025-04-28,ROI_2,0.34488627,0.34281036
33,2025-04-28,ROI_1,0.33988452,0.33873615
34,2025-05-01,ROI_2,0.34324977,0.34199995
35,2025-05-01,ROI_1,0.33959427,0.338225
36,2025-05-04,ROI_2,0.34390265,0.34228906
37,2025-05-04,ROI_1,0.33995876,0.33870274
38,2025-05-07,ROI_2,0.34372687,0.34245354
39,2025-05-07,ROI_1,0.33976158,0.338835
40,2025-05-10,ROI_2,0.34411848,0.34294719
41,2025-05-10,ROI_1,0.34106454,0.33953783
42,2025-05-13,ROI_2,0.34519792,0.34404948
43,2025-05-13,ROI_1,0.3426697,0.34186482
44,2025-05-16,ROI_2,0.3491395,0.34682694
45,2025-05-16,ROI_1,0.34757945,0.3455935
46,2025-05-19,ROI_2,0.3541538,0.3513475
47,2025-05-19,ROI_1,0.35412878,0.3512177
48,2025-05-22,ROI_2,0.35575783,0.353507
49,2025-05-22,ROI_1,0.3572702,0.3547347
50,2025-05-25,ROI_2,0.3606479,0.35805887
51,2025-05-25,ROI_1,0.3632291,0.35992312
52,2025-05-28,ROI_2,0.3633025,0.35986018
53,2025-05-28,ROI_1,0.36685175,0.36343512
54,2025-05-31,ROI_2,0.3664386,0.36340588
55,2025-05-31,ROI_1,0.37104058,0.36770716
56,2025-06-03,ROI_2,0.3695324,0.36600402
57,2025-06-03,ROI_1,0.37454012,0.37046877
58,2025-06-06,ROI_2,0.37220463,0.36811268
59,2025-06-06,ROI_1,0.37688425,0.37224653
60,2025-06-09,ROI_2,0.37027767,0.36671132
61,2025-06-09,ROI_1,0.37424883,0.37172562
62,2025-06-12,ROI_2,0.37447774,0.3692538
63,2025-06-12,ROI_1,0.37767798,0.37203038
64,2025-06-15,ROI_2,0.36993673,0.3669742
65,2025-06-15,ROI_1,0.37361342,0.370053
66,2025-06-18,ROI_2,0.36723605,0.36483735
67,2025-06-18,ROI_1,0.36968505,0.3664834
68,2025-06-21,ROI_2,0.370261,0.3655699
69,2025-06-21,ROI_1,0.36980036,0.36647162
70,2025-06-24,ROI_2,0.36749938,0.36429304
71,2025-06-24,ROI_1,0.36811358,0.36574835
72,2025-06-27,ROI_2,0.36892512,0.36556792
73,2025-06-27,ROI_1,0.36908057,0.36632136
74,2025-06-30,ROI_2,0.36949033,0.3655392
75,2025-06-30,ROI_1,0.3678241,0.36502892
76,2025-07-03,ROI_2,0.36968225,0.36508465
77,2025-07-03,ROI_1,0.3687723,0.36533988
78,2025-07-06,ROI_2,0.36612105,0.36288956
79,2025-07-06,ROI_1,0.3652824,0.36251208
80,2025-07-09,ROI_2,0.36829007,0.3635809
81,2025-07-09,ROI_1,0.36799115,0.3642556
82,2025-07-12,ROI_2,0.36645007,0.36331257
83,2025-07-12,ROI_1,0.366968,0.3637368
84,2025-07-15,ROI_2,0.36957923,0.36665198
85,2025-07-15,ROI_1,0.36831185,0.3660425
86,2025-07-18,ROI_2,0.36896625,0.36544514
87,2025-07-18,ROI_1,0.367738,0.36479935
88,2025-07-21,ROI_2,0.3671945,0.36350456
89,2025-07-21,ROI_1,0.36688206,0.3638904
90,2025-07-24,ROI_2,0.37072712,0.3658361
91,2025-07-24,ROI_1,0.36875534,0.365298
92,2025-07-27,ROI_2,0.36804667,0.36457092
93,2025-07-27,ROI_1,0.36796442,0.3645041
94,2025-07-30,ROI_2,0.36572313,0.36197996
95,2025-07-30,ROI_1,0.36631113,0.3628878
96,2025-08-02,ROI_2,0.3651045,0.36140874
97,2025-08-02,ROI_1,0.36559117,0.3618382
98,2025-08-05,ROI_2,0.36367467,0.36082554
99,2025-08-05,ROI_1,0.36498863,0.36214155
100,2025-08-08,ROI_2,0.3654602,0.36224523
101,2025-08-08,ROI_1,0.364727,0.3621418
102,2025-08-11,ROI_2,0.36705172,0.36077717
103,2025-08-11,ROI_1,0.36437058,0.3605119
104,2025-08-14,ROI_2,0.36520177,0.36135945
105,2025-08-14,ROI_1,0.3637031,0.3604781
106,2025-08-17,ROI_2,0.3647734,0.35984576
107,2025-08-17,ROI_1,0.36138922,0.35939068
108,2025-08-20,ROI_2,0.3604727,0.35806945
109,2025-08-20,ROI_1,0.36049324,0.35812593
110,2025-08-23,ROI_2,0.3597994,0.3576694
111,2025-08-23,ROI_1,0.36043066,0.35791397
112,2025-08-26,ROI_2,0.3607876,0.35823998
113,2025-08-26,ROI_1,0.36003572,0.35754222
114,2025-08-29,ROI_2,0.3614285,0.35894454
115,2025-08-29,ROI_1,0.36168924,0.35727713
116,2025-09-01,ROI_2,0.36128464,0.3594233
117,2025-09-01,ROI_1,0.36113673,0.35888916
118,2025-09-04,ROI_2,0.36524475,0.36021534
119,2025-09-04,ROI_1,0.36239713,0.35946396
120,2025-09-07,ROI_2,0.364392,0.35990533
121,2025-09-07,ROI_1,0.3631397,0.35846952
122,2025-09-10,ROI_2,0.35990328,0.35650602
123,2025-09-10,ROI_1,0.3602438,0.35619533
124,2025-09-13,ROI_2,0.35673174,0.35443026
125,2025-09-13,ROI_1,0.3555992,0.3536841
126,2025-09-16,ROI_2,0.359005,0.35563034
127,2025-09-16,ROI_1,0.3583024,0.3535668
128,2025-09-19,ROI_2,0.3553512,0.35360855
129,2025-09-19,ROI_1,0.3555662,0.35322326
130,2025-09-22,ROI_2,0.35611457,0.35274118
131,2025-09-22,ROI_1,0.35682312,0.35205328
132,2025-09-25,ROI_2,0.3533333,0.3509551
133,2025-09-25,ROI_1,0.35291547,0.34993377
134,2025-09-28,ROI_2,0.3513964,0.3498372
135,2025-09-28,ROI_1,0.352475,0.34952107
136,2025-10-01,ROI_2,0.352449,0.34979177
137,2025-10-01,ROI_1,0.35282975,0.3500688
138,2025-10-04,ROI_2,0.3483807,0.34768808
139,2025-10-04,ROI_1,0.34956917,0.34871683
140,2025-10-07,ROI_2,0.34915912,0.34693438
141,2025-10-07,ROI_1,0.34785134,0.34517577
142,2025-10-10,ROI_2,0.3456642,0.34441626
143,2025-10-10,ROI_1,0.3416654,0.34033018
