,Date,ROI,GCC_90p,GCC_mean
0,2025-03-11,ROI_2,0.4019124,0.38600618
1,2025-03-11,ROI_3,0.39382556,0.37983254
2,2025-03-11,ROI_1,0.39136857,0.37834024
3,2025-03-14,ROI_2,0.39717373,0.38244328
4,2025-03-14,ROI_3,0.38837603,0.37830368
5,2025-03-14,ROI_1,0.3897241,0.3808681
6,2025-03-17,ROI_2,0.4046636,0.39200044
7,2025-03-17,ROI_3,0.3907331,0.38319537
8,2025-03-17,ROI_1,0.3864184,0.38117245
9,2025-03-20,ROI_2,0.4114263,0.3920152
10,2025-03-20,ROI_3,0.3977584,0.38183254
11,2025-03-20,ROI_1,0.39181042,0.37923315
12,2025-03-23,ROI_2,0.4076789,0.39250886
13,2025-03-23,ROI_3,0.39558542,0.3818897
14,2025-03-23,ROI_1,0.3894875,0.37961498
15,2025-03-26,ROI_2,0.40353394,0.39322376
16,2025-03-26,ROI_3,0.39248705,0.3832187
17,2025-03-26,ROI_1,0.3904912,0.38145986
18,2025-03-29,ROI_2,0.39976814,0.39061308
19,2025-03-29,ROI_3,0.39304864,0.37999487
20,2025-03-29,ROI_1,0.38902745,0.37663212
21,2025-04-01,ROI_2,0.4095877,0.39719608
22,2025-04-01,ROI_3,0.3994921,0.38778642
23,2025-04-01,ROI_1,0.3960062,0.38545227
24,2025-04-04,ROI_2,0.406045,0.3932986
25,2025-04-04,ROI_3,0.4027979,0.38429984
26,2025-04-04,ROI_1,0.3992726,0.38234666
27,2025-04-07,ROI_2,0.40670708,0.39316428
28,2025-04-07,ROI_3,0.39983404,0.38460532
29,2025-04-07,ROI_1,0.39732876,0.38272944
30,2025-04-10,ROI_2,0.39787778,0.3879757
31,2025-04-10,ROI_3,0.3934064,0.3797959
32,2025-04-10,ROI_1,0.39134923,0.37824503
33,2025-04-13,ROI_2,0.41401073,0.39602163
34,2025-04-13,ROI_3,0.4011589,0.3870138
35,2025-04-13,ROI_1,0.39977124,0.38544515
36,2025-04-16,ROI_2,0.4109149,0.3984517
37,2025-04-16,ROI_3,0.40011904,0.3873761
38,2025-04-16,ROI_1,0.39889774,0.38572532
39,2025-04-19,ROI_2,0.40633985,0.3920492
40,2025-04-19,ROI_3,0.39962766,0.38483515
41,2025-04-19,ROI_1,0.39686015,0.38164324
42,2025-04-22,ROI_2,0.39449933,0.38767898
43,2025-04-22,ROI_3,0.38438466,0.37948906
44,2025-04-22,ROI_1,0.3827755,0.37784785
45,2025-04-25,ROI_2,0.41058266,0.39892837
46,2025-04-25,ROI_3,0.4001566,0.38833296
47,2025-04-25,ROI_1,0.399575,0.3867741
48,2025-04-28,ROI_2,0.41142526,0.3992493
49,2025-04-28,ROI_3,0.39858383,0.38788033
50,2025-04-28,ROI_1,0.39858118,0.3864155
51,2025-05-01,ROI_2,0.40029576,0.39155558
52,2025-05-01,ROI_3,0.3869257,0.38186005
53,2025-05-01,ROI_1,0.38499215,0.38049957
54,2025-05-04,ROI_2,0.40762183,0.39830643
55,2025-05-04,ROI_3,0.4001003,0.38786015
56,2025-05-04,ROI_1,0.4006941,0.38721964
57,2025-05-07,ROI_2,0.40051714,0.39362895
58,2025-05-07,ROI_3,0.38928762,0.38322985
59,2025-05-07,ROI_1,0.3885855,0.38240293
60,2025-05-10,ROI_2,0.41266423,0.39820263
61,2025-05-10,ROI_3,0.40171906,0.38706255
62,2025-05-10,ROI_1,0.40143377,0.38592297
63,2025-05-13,ROI_2,0.4135324,0.40236464
64,2025-05-13,ROI_3,0.40495437,0.3926942
65,2025-05-13,ROI_1,0.40471503,0.3919188
66,2025-05-16,ROI_2,0.4248278,0.40356037
67,2025-05-16,ROI_3,0.41057163,0.39506245
68,2025-05-16,ROI_1,0.41074827,0.39430204
69,2025-05-19,ROI_2,0.43142375,0.40760013
70,2025-05-19,ROI_3,0.41662097,0.4000439
71,2025-05-19,ROI_1,0.41685012,0.39933828
72,2025-05-22,ROI_2,0.41004208,0.40289316
73,2025-05-22,ROI_3,0.39943755,0.39339262
74,2025-05-22,ROI_1,0.3976747,0.39099848
75,2025-05-25,ROI_2,0.42822653,0.4125205
76,2025-05-25,ROI_3,0.42040962,0.4050992
77,2025-05-25,ROI_1,0.41882324,0.4041907
78,2025-05-28,ROI_2,0.42088705,0.41334054
79,2025-05-28,ROI_3,0.428381,0.40544045
80,2025-05-28,ROI_1,0.42935863,0.40575632
81,2025-05-31,ROI_2,0.43391845,0.41299137
82,2025-05-31,ROI_3,0.4251367,0.41145006
83,2025-05-31,ROI_1,0.42798182,0.41261593
84,2025-06-03,ROI_2,0.43284366,0.41778076
85,2025-06-03,ROI_3,0.42543566,0.41620508
86,2025-06-03,ROI_1,0.42857522,0.41711444
87,2025-06-06,ROI_2,0.41995978,0.41110563
88,2025-06-06,ROI_3,0.4257,0.41248474
89,2025-06-06,ROI_1,0.4294717,0.41197783
90,2025-06-09,ROI_2,0.42896098,0.4135886
91,2025-06-09,ROI_3,0.4254488,0.41426182
92,2025-06-09,ROI_1,0.42797375,0.4147303
93,2025-06-12,ROI_2,0.43040383,0.417853
94,2025-06-12,ROI_3,0.4222677,0.41641364
95,2025-06-12,ROI_1,0.4246064,0.41581532
96,2025-06-15,ROI_2,0.43384808,0.4206805
97,2025-06-15,ROI_3,0.42373657,0.4183902
98,2025-06-15,ROI_1,0.42797214,0.41936925
99,2025-06-18,ROI_2,0.40404823,0.39992383
100,2025-06-18,ROI_3,0.40342277,0.39868435
101,2025-06-18,ROI_1,0.40235212,0.39837208
102,2025-06-21,ROI_2,0.4261203,0.40310115
103,2025-06-21,ROI_3,0.413021,0.4028177
104,2025-06-21,ROI_1,0.41120216,0.40265486
105,2025-06-24,ROI_2,0.4076568,0.3970599
106,2025-06-24,ROI_3,0.40449694,0.39646316
107,2025-06-24,ROI_1,0.4006669,0.3950028
108,2025-06-27,ROI_2,0.4118851,0.4042118
109,2025-06-27,ROI_3,0.40873483,0.4015025
110,2025-06-27,ROI_1,0.40709507,0.40063617
111,2025-06-30,ROI_2,0.41744035,0.3996853
112,2025-06-30,ROI_3,0.41077873,0.39858502
113,2025-06-30,ROI_1,0.41001382,0.39757884
114,2025-07-03,ROI_2,0.41761366,0.40372077
115,2025-07-03,ROI_3,0.40787497,0.3994795
116,2025-07-03,ROI_1,0.40873587,0.39917758
117,2025-07-06,ROI_2,0.40866524,0.39824048
118,2025-07-06,ROI_3,0.40768808,0.3963462
119,2025-07-06,ROI_1,0.40486562,0.3930313
120,2025-07-09,ROI_2,0.41631776,0.40244302
121,2025-07-09,ROI_3,0.41102812,0.4006306
122,2025-07-09,ROI_1,0.4123562,0.40033725
123,2025-07-12,ROI_2,0.4129135,0.4037065
124,2025-07-12,ROI_3,0.40876913,0.4000881
125,2025-07-12,ROI_1,0.40907633,0.39977017
126,2025-07-15,ROI_2,0.41547072,0.4047967
127,2025-07-15,ROI_3,0.4073271,0.4028649
128,2025-07-15,ROI_1,0.40818468,0.40217733
129,2025-07-18,ROI_2,0.4156862,0.4051186
130,2025-07-18,ROI_3,0.40759763,0.40050614
131,2025-07-18,ROI_1,0.4060422,0.39982927
132,2025-07-21,ROI_2,0.41312805,0.4054718
133,2025-07-21,ROI_3,0.4067893,0.399449
134,2025-07-21,ROI_1,0.40680587,0.39868206
135,2025-07-24,ROI_2,0.40867952,0.40299425
136,2025-07-24,ROI_3,0.40036166,0.3986717
137,2025-07-24,ROI_1,0.40172312,0.39738765
138,2025-07-27,ROI_2,0.4100936,0.40326926
139,2025-07-27,ROI_3,0.4017375,0.39722666
140,2025-07-27,ROI_1,0.40155497,0.39511162
141,2025-07-30,ROI_2,0.40486318,0.39779478
142,2025-07-30,ROI_3,0.3988677,0.39144006
143,2025-07-30,ROI_1,0.39832717,0.38992408
144,2025-08-02,ROI_2,0.40951386,0.40154436
145,2025-08-02,ROI_3,0.4008968,0.39380077
146,2025-08-02,ROI_1,0.39803153,0.3906564
147,2025-08-05,ROI_2,0.40305337,0.39417273
148,2025-08-05,ROI_3,0.39773336,0.38859493
149,2025-08-05,ROI_1,0.395195,0.386612
150,2025-08-08,ROI_2,0.4139128,0.40124005
151,2025-08-08,ROI_3,0.40706834,0.39672437
