,Date,ROI,GCC_90p,GCC_mean
0,2025-03-04,ROI_3,0.3438893,0.34143314
1,2025-03-04,ROI_1,0.3529285,0.34828854
2,2025-03-04,ROI_2,0.35337713,0.3498246
3,2025-03-07,ROI_3,0.3425594,0.3400062
4,2025-03-07,ROI_1,0.35166016,0.3453789
5,2025-03-07,ROI_2,0.3536004,0.34760964
6,2025-03-10,ROI_3,0.3458675,0.34231368
7,2025-03-10,ROI_1,0.34515834,0.3398488
8,2025-03-10,ROI_2,0.34834602,0.33739942
9,2025-03-13,ROI_3,0.34506857,0.3426541
10,2025-03-13,ROI_1,0.33900166,0.33653128
11,2025-03-13,ROI_2,0.33540928,0.33335835
12,2025-03-16,ROI_3,0.34402937,0.34167266
13,2025-03-16,ROI_1,0.33665437,0.33479667
14,2025-03-16,ROI_2,0.33401117,0.33131784
15,2025-03-19,ROI_3,0.34477246,0.34221673
16,2025-03-19,ROI_1,0.33955356,0.33562225
17,2025-03-19,ROI_2,0.33681,0.33173785
18,2025-03-22,ROI_3,0.34218773,0.34081513
19,2025-03-22,ROI_1,0.33381584,0.33256596
20,2025-03-22,ROI_2,0.33232242,0.32864362
21,2025-03-25,ROI_3,0.34344763,0.34066755
22,2025-03-25,ROI_1,0.3387189,0.33548978
23,2025-03-25,ROI_2,0.33637375,0.3322716
24,2025-03-28,ROI_3,0.3447146,0.34090444
25,2025-03-28,ROI_1,0.33892685,0.33487603
26,2025-03-28,ROI_2,0.3376932,0.33264554
27,2025-03-31,ROI_3,0.34196493,0.33967817
28,2025-03-31,ROI_1,0.33719185,0.33450463
29,2025-03-31,ROI_2,0.33375198,0.33163556
30,2025-04-03,ROI_3,0.3434439,0.3402304
31,2025-04-03,ROI_1,0.33620417,0.33402124
32,2025-04-03,ROI_2,0.33401287,0.33110788
33,2025-04-06,ROI_3,0.34195527,0.3395372
34,2025-04-06,ROI_1,0.3358735,0.33410904
35,2025-04-06,ROI_2,0.33344913,0.3315411
36,2025-04-09,ROI_3,0.34268484,0.34079248
37,2025-04-09,ROI_1,0.3377075,0.33443546
38,2025-04-09,ROI_2,0.33341146,0.3319098
39,2025-04-12,ROI_3,0.34325927,0.33984417
40,2025-04-12,ROI_1,0.337997,0.3345504
41,2025-04-12,ROI_2,0.33614352,0.33193222
42,2025-04-15,ROI_3,0.3445243,0.34052792
43,2025-04-15,ROI_1,0.33602256,0.33378118
44,2025-04-15,ROI_2,0.33377597,0.33139935
45,2025-04-18,ROI_3,0.34674004,0.34332472
46,2025-04-18,ROI_1,0.34167993,0.33812183
47,2025-04-18,ROI_2,0.338049,0.33538097
48,2025-04-21,ROI_3,0.34806094,0.3462127
49,2025-04-21,ROI_1,0.3407455,0.33919322
50,2025-04-21,ROI_2,0.33837765,0.33553478
51,2025-04-24,ROI_3,0.34848467,0.3436465
52,2025-04-24,ROI_1,0.34239045,0.33575538
53,2025-04-24,ROI_2,0.33742267,0.33215937
54,2025-04-27,ROI_3,0.3415241,0.33920133
55,2025-04-27,ROI_1,0.33357888,0.33146116
56,2025-04-27,ROI_2,0.33083776,0.3280186
57,2025-04-30,ROI_3,0.34335932,0.3396986
58,2025-04-30,ROI_1,0.33160394,0.32854876
59,2025-04-30,ROI_2,0.3298991,0.3261734
