,Date,ROI,GCC_90p,GCC_mean
0,2025-03-11,ROI_3,0.3430253,0.34199017
1,2025-03-11,ROI_2,0.3412859,0.33904582
2,2025-03-11,ROI_1,0.34549132,0.34432277
3,2025-03-14,ROI_3,0.34839234,0.34437555
4,2025-03-14,ROI_2,0.34664544,0.34217718
5,2025-03-14,ROI_1,0.35316855,0.34491634
6,2025-03-17,ROI_3,0.35212573,0.34531632
7,2025-03-17,ROI_2,0.3467787,0.3412522
8,2025-03-17,ROI_1,0.35094383,0.34570843
9,2025-03-20,ROI_3,0.35115743,0.34494966
10,2025-03-20,ROI_2,0.34373468,0.33989534
11,2025-03-20,ROI_1,0.34779257,0.34355077
12,2025-03-23,ROI_3,0.3512833,0.34516773
13,2025-03-23,ROI_2,0.34780782,0.34034246
14,2025-03-23,ROI_1,0.34800896,0.3437244
15,2025-03-26,ROI_3,0.345047,0.34335175
16,2025-03-26,ROI_2,0.3428356,0.3398816
17,2025-03-26,ROI_1,0.3454099,0.3438929
18,2025-03-29,ROI_3,0.34707204,0.3440372
19,2025-03-29,ROI_2,0.3443916,0.33837864
20,2025-03-29,ROI_1,0.3478153,0.34458196
21,2025-04-01,ROI_3,0.35081816,0.34522685
22,2025-04-01,ROI_2,0.34690914,0.34137514
23,2025-04-01,ROI_1,0.34941468,0.34495887
24,2025-04-04,ROI_3,0.3521328,0.34464347
25,2025-04-04,ROI_2,0.34704596,0.34076825
26,2025-04-04,ROI_1,0.3484567,0.34363294
27,2025-04-07,ROI_3,0.3562732,0.34610486
28,2025-04-07,ROI_2,0.34848177,0.34188807
29,2025-04-07,ROI_1,0.3519001,0.3440636
30,2025-04-10,ROI_3,0.34509107,0.34307188
31,2025-04-10,ROI_2,0.34197268,0.3397622
32,2025-04-10,ROI_1,0.3484406,0.34310746
33,2025-04-13,ROI_3,0.35351932,0.3453492
34,2025-04-13,ROI_2,0.34849548,0.3417895
35,2025-04-13,ROI_1,0.34941489,0.3445208
36,2025-04-16,ROI_3,0.35176912,0.3463285
37,2025-04-16,ROI_2,0.34728488,0.34251413
38,2025-04-16,ROI_1,0.34782773,0.34454125
39,2025-04-19,ROI_3,0.35118127,0.34729618
40,2025-04-19,ROI_2,0.3475164,0.3445006
41,2025-04-19,ROI_1,0.34833154,0.34578878
42,2025-04-22,ROI_3,0.3527582,0.34975556
43,2025-04-22,ROI_2,0.34831655,0.3465544
44,2025-04-22,ROI_1,0.35071674,0.34690127
45,2025-04-25,ROI_3,0.35773107,0.3509001
46,2025-04-25,ROI_2,0.35638732,0.35013413
47,2025-04-25,ROI_1,0.34935674,0.344441
48,2025-04-28,ROI_3,0.35502496,0.35216624
49,2025-04-28,ROI_2,0.3566347,0.35223836
50,2025-04-28,ROI_1,0.34811848,0.34501797
51,2025-05-01,ROI_3,0.35537273,0.35266843
52,2025-05-01,ROI_2,0.35744664,0.35548478
53,2025-05-01,ROI_1,0.3465692,0.3447203
54,2025-05-04,ROI_3,0.36162573,0.35653743
55,2025-05-04,ROI_2,0.3716588,0.3621063
56,2025-05-04,ROI_1,0.34955567,0.3453458
57,2025-05-07,ROI_3,0.3618707,0.35857567
58,2025-05-07,ROI_2,0.37615344,0.37068933
59,2025-05-07,ROI_1,0.34937552,0.3468786
60,2025-05-10,ROI_3,0.36271277,0.35900965
61,2025-05-10,ROI_2,0.37651858,0.37094173
62,2025-05-10,ROI_1,0.34939873,0.34544787
63,2025-05-13,ROI_3,0.3647892,0.3612859
64,2025-05-13,ROI_2,0.3934656,0.38191515
65,2025-05-13,ROI_1,0.3492162,0.34592086
66,2025-05-16,ROI_3,0.37192252,0.36580384
67,2025-05-16,ROI_2,0.40921235,0.39770317
68,2025-05-16,ROI_1,0.35202062,0.3484472
69,2025-05-19,ROI_3,0.37883034,0.37348142
70,2025-05-19,ROI_2,0.43561256,0.4223457
71,2025-05-19,ROI_1,0.36002475,0.35529527
72,2025-05-22,ROI_3,0.39098436,0.38373733
73,2025-05-22,ROI_2,0.4696707,0.45235428
74,2025-05-22,ROI_1,0.3764789,0.36794552
75,2025-05-25,ROI_3,0.40408778,0.3905405
76,2025-05-25,ROI_2,0.4990239,0.4683861
77,2025-05-25,ROI_1,0.38588807,0.37472245
78,2025-05-28,ROI_3,0.4271599,0.41198584
79,2025-05-28,ROI_2,0.53110087,0.5079505
80,2025-05-28,ROI_1,0.41680852,0.39918116
81,2025-05-31,ROI_3,0.45379305,0.4399655
82,2025-05-31,ROI_2,0.5601806,0.537695
83,2025-05-31,ROI_1,0.4405093,0.43040872
84,2025-06-03,ROI_3,0.47340935,0.46159512
85,2025-06-03,ROI_2,0.5786915,0.5660356
86,2025-06-03,ROI_1,0.46730533,0.45368132
87,2025-06-06,ROI_3,0.48351896,0.47207984
88,2025-06-06,ROI_2,0.5935894,0.576499
89,2025-06-06,ROI_1,0.4756481,0.46423498
90,2025-06-09,ROI_3,0.47090307,0.46456483
91,2025-06-09,ROI_2,0.56833446,0.55239916
92,2025-06-09,ROI_1,0.4610739,0.4576292
93,2025-06-12,ROI_3,0.46564507,0.45685363
94,2025-06-12,ROI_2,0.5525532,0.5373692
95,2025-06-12,ROI_1,0.45967278,0.45102805
96,2025-06-15,ROI_3,0.46415594,0.45391405
97,2025-06-15,ROI_2,0.5485577,0.53142715
98,2025-06-15,ROI_1,0.45371506,0.44611073
99,2025-06-18,ROI_3,0.4543207,0.44692823
100,2025-06-18,ROI_2,0.5280406,0.51149315
101,2025-06-18,ROI_1,0.452769,0.444044
102,2025-06-21,ROI_3,0.44268274,0.43603456
103,2025-06-21,ROI_2,0.5154271,0.5051385
104,2025-06-21,ROI_1,0.44020686,0.42883188
105,2025-06-24,ROI_3,0.4503273,0.4416367
106,2025-06-24,ROI_2,0.5186419,0.5066968
107,2025-06-24,ROI_1,0.4524263,0.4391535
108,2025-06-27,ROI_3,0.44196773,0.43343264
109,2025-06-27,ROI_2,0.5133974,0.50087804
110,2025-06-27,ROI_1,0.43784195,0.42735767
111,2025-06-30,ROI_3,0.43457022,0.4228094
112,2025-06-30,ROI_2,0.5130127,0.49657992
113,2025-06-30,ROI_1,0.4258032,0.41388822
114,2025-07-03,ROI_3,0.4271718,0.42009762
115,2025-07-03,ROI_2,0.5095256,0.4895694
116,2025-07-03,ROI_1,0.42181242,0.4123737
117,2025-07-06,ROI_3,0.42655465,0.41995484
118,2025-07-06,ROI_2,0.49226964,0.48138604
119,2025-07-06,ROI_1,0.42686746,0.41601336
120,2025-07-09,ROI_3,0.43516886,0.42368212
121,2025-07-09,ROI_2,0.5117066,0.4889421
122,2025-07-09,ROI_1,0.43009776,0.41610727
123,2025-07-12,ROI_3,0.42823836,0.42095602
124,2025-07-12,ROI_2,0.4953723,0.48444772
125,2025-07-12,ROI_1,0.4242323,0.41311714
126,2025-07-15,ROI_3,0.4283567,0.41854018
127,2025-07-15,ROI_2,0.49049583,0.48894572
128,2025-07-15,ROI_1,0.41739342,0.40768224
129,2025-07-18,ROI_3,0.42586344,0.4144256
130,2025-07-18,ROI_2,0.49179885,0.48469013
131,2025-07-18,ROI_1,0.41403553,0.40409106
132,2025-07-21,ROI_3,0.41986322,0.4133482
133,2025-07-21,ROI_2,0.4847928,0.47933012
134,2025-07-21,ROI_1,0.41325188,0.40566507
135,2025-07-24,ROI_3,0.42404798,0.41400003
136,2025-07-24,ROI_2,0.49108765,0.48560724
137,2025-07-24,ROI_1,0.41334137,0.40295857
138,2025-07-27,ROI_3,0.42143422,0.41301903
139,2025-07-27,ROI_2,0.4937982,0.48588547
140,2025-07-27,ROI_1,0.41340357,0.40254045
141,2025-07-30,ROI_3,0.4205908,0.4138779
142,2025-07-30,ROI_2,0.49136415,0.47941214
143,2025-07-30,ROI_1,0.41565153,0.40580773
144,2025-08-02,ROI_3,0.4218199,0.411544
145,2025-08-02,ROI_2,0.49464947,0.4763467
