,Date,ROI,GCC_90p,GCC_mean
0,2025-03-03,ROI_1,0.3489254,0.34319636
1,2025-03-03,ROI_3,0.35122496,0.34839153
2,2025-03-03,ROI_2,0.34891233,0.34221527
3,2025-03-06,ROI_1,0.35245407,0.34725502
4,2025-03-06,ROI_3,0.35467464,0.348508
5,2025-03-06,ROI_2,0.34223735,0.33868337
6,2025-03-09,ROI_1,0.34799123,0.33872774
7,2025-03-09,ROI_3,0.35147548,0.34592858
8,2025-03-09,ROI_2,0.35083175,0.34139434
9,2025-03-12,ROI_1,0.34795627,0.3423791
10,2025-03-12,ROI_3,0.34746474,0.342655
11,2025-03-12,ROI_2,0.34104463,0.33774784
12,2025-03-15,ROI_1,0.34245515,0.33211175
13,2025-03-15,ROI_3,0.34720773,0.34497115
14,2025-03-15,ROI_2,0.34988412,0.34367433
15,2025-03-18,ROI_1,0.3461765,0.33392966
16,2025-03-18,ROI_3,0.3462671,0.34269106
17,2025-03-18,ROI_2,0.35085574,0.34228334
18,2025-03-21,ROI_1,0.34609026,0.33245087
19,2025-03-21,ROI_3,0.34716123,0.3447806
20,2025-03-21,ROI_2,0.35027155,0.34481606
21,2025-03-24,ROI_1,0.3466613,0.33722505
22,2025-03-24,ROI_3,0.34722057,0.34346068
23,2025-03-24,ROI_2,0.34910902,0.34134972
24,2025-03-27,ROI_1,0.34563574,0.33876395
25,2025-03-27,ROI_3,0.34561262,0.34318298
26,2025-03-27,ROI_2,0.34570682,0.33939606
27,2025-03-30,ROI_1,0.3452292,0.33627486
28,2025-03-30,ROI_3,0.34770563,0.34327167
29,2025-03-30,ROI_2,0.3495663,0.34094986
30,2025-04-02,ROI_1,0.33662552,0.33014673
31,2025-04-02,ROI_3,0.34819257,0.34542778
32,2025-04-02,ROI_2,0.35151035,0.34673086
33,2025-04-05,ROI_1,0.33846256,0.3346735
34,2025-04-05,ROI_3,0.34781787,0.3436915
35,2025-04-05,ROI_2,0.34884915,0.33932397
36,2025-04-08,ROI_1,0.3407426,0.33228338
37,2025-04-08,ROI_3,0.3483664,0.34575495
38,2025-04-08,ROI_2,0.34934393,0.34488168
39,2025-04-11,ROI_1,0.34511298,0.33627295
40,2025-04-11,ROI_3,0.3487828,0.34480408
41,2025-04-11,ROI_2,0.35155535,0.34240517
42,2025-04-14,ROI_1,0.3359725,0.33044732
43,2025-04-14,ROI_3,0.34959668,0.345278
44,2025-04-14,ROI_2,0.3500316,0.3452147
45,2025-04-17,ROI_1,0.3452829,0.33928546
46,2025-04-17,ROI_3,0.3507662,0.34551919
47,2025-04-17,ROI_2,0.34440067,0.33921894
48,2025-04-20,ROI_1,0.35170788,0.34492594
49,2025-04-20,ROI_3,0.3553026,0.350069
50,2025-04-20,ROI_2,0.33986017,0.33699355
51,2025-04-23,ROI_1,0.35065418,0.3416909
52,2025-04-23,ROI_3,0.3545961,0.35037246
53,2025-04-23,ROI_2,0.34853134,0.33993357
54,2025-04-26,ROI_1,0.34866586,0.33795857
55,2025-04-26,ROI_3,0.35743675,0.34943223
56,2025-04-26,ROI_2,0.35461915,0.34118226
57,2025-04-29,ROI_1,0.35316047,0.34171918
58,2025-04-29,ROI_3,0.3554334,0.34947905
59,2025-04-29,ROI_2,0.34504086,0.34016156
60,2025-05-02,ROI_1,0.35139826,0.3452899
61,2025-05-02,ROI_3,0.3568028,0.3501863
62,2025-05-02,ROI_2,0.34110752,0.339115
63,2025-05-05,ROI_1,0.3597125,0.34798437
64,2025-05-05,ROI_3,0.356834,0.35385254
65,2025-05-05,ROI_2,0.34755313,0.34446436
66,2025-05-08,ROI_1,0.36014554,0.3538053
67,2025-05-08,ROI_3,0.3577234,0.35416725
68,2025-05-08,ROI_2,0.34696022,0.34367526
69,2025-05-11,ROI_1,0.35704556,0.348298
70,2025-05-11,ROI_3,0.36072156,0.35752755
71,2025-05-11,ROI_2,0.35562637,0.35212904
72,2025-05-14,ROI_1,0.3823876,0.3689597
73,2025-05-14,ROI_3,0.3697692,0.36191744
74,2025-05-14,ROI_2,0.3592176,0.35342878
75,2025-05-17,ROI_1,0.40967116,0.38197526
76,2025-05-17,ROI_3,0.38360253,0.37253544
77,2025-05-17,ROI_2,0.37044957,0.3667349
78,2025-05-20,ROI_1,0.42031103,0.4054828
79,2025-05-20,ROI_3,0.3926986,0.38657632
80,2025-05-20,ROI_2,0.39223918,0.38525727
81,2025-05-23,ROI_1,0.44651347,0.43397307
82,2025-05-23,ROI_3,0.41290104,0.40467313
83,2025-05-23,ROI_2,0.4081434,0.3983514
84,2025-05-26,ROI_1,0.4353444,0.423162
85,2025-05-26,ROI_3,0.41016164,0.40458462
86,2025-05-26,ROI_2,0.40786877,0.39944172
87,2025-05-29,ROI_1,0.4603411,0.44582877
88,2025-05-29,ROI_3,0.4243207,0.41706622
89,2025-05-29,ROI_2,0.40710416,0.4013633
90,2025-06-01,ROI_1,0.46538946,0.4439731
91,2025-06-01,ROI_3,0.43835723,0.42141783
92,2025-06-01,ROI_2,0.45981452,0.4232282
93,2025-06-04,ROI_1,0.4545451,0.43755633
94,2025-06-04,ROI_3,0.4340876,0.41974998
95,2025-06-04,ROI_2,0.45134026,0.4328081
96,2025-06-07,ROI_1,0.45341054,0.43825832
97,2025-06-07,ROI_3,0.43101108,0.4224343
98,2025-06-07,ROI_2,0.43768194,0.43307444
99,2025-06-10,ROI_1,0.4783376,0.460317
100,2025-06-10,ROI_3,0.45042893,0.43598795
101,2025-06-10,ROI_2,0.42245835,0.41115507
102,2025-06-13,ROI_1,0.4544331,0.43865028
103,2025-06-13,ROI_3,0.4323483,0.42220387
104,2025-06-13,ROI_2,0.39702663,0.38808048
105,2025-06-16,ROI_1,0.4596366,0.44380856
106,2025-06-16,ROI_3,0.43881154,0.42756143
107,2025-06-16,ROI_2,0.4004318,0.3904628
108,2025-06-19,ROI_1,0.45056394,0.43756232
109,2025-06-19,ROI_3,0.44173548,0.4240729
110,2025-06-19,ROI_2,0.41452432,0.3984262
111,2025-06-22,ROI_1,0.4707243,0.43941227
112,2025-06-22,ROI_3,0.448962,0.42400783
113,2025-06-22,ROI_2,0.4004321,0.38693932
114,2025-06-25,ROI_1,0.45723602,0.435928
115,2025-06-25,ROI_3,0.43624145,0.42340693
116,2025-06-25,ROI_2,0.39671698,0.38647944
117,2025-06-28,ROI_1,0.44248798,0.42685452
118,2025-06-28,ROI_3,0.4268054,0.41852972
119,2025-06-28,ROI_2,0.38890833,0.38272327
120,2025-07-01,ROI_1,0.42792213,0.40844095
121,2025-07-01,ROI_3,0.41015527,0.40379348
122,2025-07-01,ROI_2,0.40649524,0.3944761
123,2025-07-04,ROI_1,0.4257068,0.4077359
124,2025-07-04,ROI_3,0.41346124,0.40254655
125,2025-07-04,ROI_2,0.39915398,0.3909633
126,2025-07-07,ROI_1,0.42715672,0.41132012
127,2025-07-07,ROI_3,0.42286995,0.41135678
128,2025-07-07,ROI_2,0.3983466,0.38987234
129,2025-07-10,ROI_1,0.44026446,0.41520256
130,2025-07-10,ROI_3,0.41617593,0.40398407
131,2025-07-10,ROI_2,0.40452087,0.39436486
132,2025-07-13,ROI_1,0.41902244,0.40748936
133,2025-07-13,ROI_3,0.39969367,0.39349738
134,2025-07-13,ROI_2,0.39604026,0.3923344
135,2025-07-16,ROI_1,0.4077434,0.40217608
136,2025-07-16,ROI_3,0.3939386,0.39061284
137,2025-07-16,ROI_2,0.3970708,0.3927015
138,2025-07-19,ROI_1,0.4083635,0.40224507
139,2025-07-19,ROI_3,0.3955186,0.39076343
140,2025-07-19,ROI_2,0.39764354,0.3924823
141,2025-07-22,ROI_1,0.4212477,0.4125224
142,2025-07-22,ROI_3,0.40105572,0.39506134
143,2025-07-22,ROI_2,0.399963,0.3916359
144,2025-07-25,ROI_1,0.40670624,0.40136877
145,2025-07-25,ROI_3,0.39571354,0.39131382
146,2025-07-25,ROI_2,0.39678332,0.39199805
147,2025-07-28,ROI_1,0.43706912,0.4151556
148,2025-07-28,ROI_3,0.41654712,0.3991006
149,2025-07-28,ROI_2,0.39669755,0.39176986
150,2025-07-31,ROI_1,0.42798653,0.41191474
151,2025-07-31,ROI_3,0.40567613,0.394757
152,2025-07-31,ROI_2,0.39878744,0.38921633
153,2025-08-03,ROI_1,0.4119477,0.40269294
154,2025-08-03,ROI_3,0.39851478,0.39026627
155,2025-08-03,ROI_2,0.39248702,0.38453346
156,2025-08-06,ROI_1,0.42723444,0.40804783
157,2025-08-06,ROI_3,0.40721676,0.39400372
158,2025-08-06,ROI_2,0.398805,0.38522756
159,2025-08-09,ROI_1,0.43084735,0.40698704
160,2025-08-09,ROI_3,0.41149303,0.39267427
161,2025-08-09,ROI_2,0.3893355,0.3818518
162,2025-08-12,ROI_1,0.40594092,0.3999801
163,2025-08-12,ROI_3,0.3952827,0.3900039
164,2025-08-12,ROI_2,0.3875329,0.37947148
165,2025-08-15,ROI_1,0.40566486,0.4019635
166,2025-08-15,ROI_3,0.39617896,0.38995242
167,2025-08-15,ROI_2,0.38943875,0.3816211
168,2025-08-18,ROI_1,0.4269964,0.40758565
169,2025-08-18,ROI_3,0.4042342,0.39385128
170,2025-08-18,ROI_2,0.39149034,0.37972847
171,2025-08-21,ROI_1,0.41587096,0.40433583
172,2025-08-21,ROI_3,0.40342036,0.39098176
173,2025-08-21,ROI_2,0.38224798,0.37729874
174,2025-08-24,ROI_1,0.4096984,0.40073222
175,2025-08-24,ROI_3,0.39158446,0.3883226
176,2025-08-24,ROI_2,0.37844053,0.37452495
177,2025-08-27,ROI_1,0.42359418,0.40279087
178,2025-08-27,ROI_3,0.40785715,0.390855
179,2025-08-27,ROI_2,0.38280746,0.37483314
180,2025-08-30,ROI_1,0.42598277,0.41126075
181,2025-08-30,ROI_3,0.407661,0.39594483
