Alue,Kaikki koulutusasteet,Tutkinnon suorittaneita yhteensä,Keskiaste,Alin korkea- ja alempi korkeakouluaste,Ylempi korkeakouluaste ja tutkijakoulutus,Perusaste tai tuntematon
091 10 Kruununhaka,6597,5776,1740,1526,2510,821
091 20 Kluuvi,598,522,167,132,223,76
091 80 Katajanokka,3963,3323,1020,976,1327,640
091 30 Kaartinkaupunki,931,818,265,196,357,113
091 50 Punavuori,8209,7172,2541,1971,2660,1037
091 60 Eira,931,783,219,190,374,148
091 70 Ullanlinna,9467,8361,2673,2219,3469,1106
091 90 Kaivopuisto,412,344,82,127,135,68
091 204 Hernesaari,1111,938,300,306,332,173
091 520 Suomenlinna,540,443,185,116,142,97
091 531 Länsisaaret,..,..,..,..,..,..
091 40 Kamppi,11223,9570,3311,2824,3435,1653
091 130 Etu-Töölö,13521,12027,3618,3363,5046,1494
091 201 Ruoholahti,2547,1952,838,641,473,595
091 202 Lapinlahti,..,..,..,..,..,..
091 203 Jätkäsaari,8898,7548,2913,2348,2287,1350
091 140 Taka-Töölö,14006,12193,3964,3660,4569,1813
091 310 Lauttasaari (Ent.),.,.,.,.,.,.
091 311 Kotkavuori,7406,6469,1871,2031,2567,937
091 312 Vattuniemi,7181,6261,1537,2073,2651,920
091 313 Myllykallio,6100,5287,1551,1596,2140,813
091 314 Koivusaari,..,..,..,..,..,..
091 150 Meilahti,4571,3993,1363,1150,1480,578
091 160 Ruskeasuo (Ent.),.,.,.,.,.,.
091 161 Vanha Ruskeasuo,2641,2288,891,638,759,353
091 162 Pikku Huopalahti,6019,4554,1918,1429,1207,1465
091 180 Laakso,1869,1620,607,512,501,249
091 301 Vanha Munkkiniemi,7582,6486,1903,1935,2648,1096
091 302 Kuusisaari,426,350,75,85,190,76
091 303 Lehtisaari,1075,906,254,256,396,169
091 304 Munkkivuori,4215,3660,1200,1179,1281,555
091 305 Niemenmäki,1155,961,337,334,290,194
091 306 Talinranta,949,731,374,218,139,218
091 291 Etelä-Haaga,11131,9366,3501,2933,2932,1765
091 292 Kivihaka,817,689,254,254,181,128
091 293 Pohjois-Haaga,8496,6354,2730,1954,1670,2142
091 294 Lassila,4134,3144,1298,1084,762,990
091 320 Konala,5576,4085,1958,1310,817,1491
091 461 Pajamäki,1636,1334,533,424,377,302
091 462 Tali,857,619,336,186,97,238
091 463 Reimarla,4333,3053,1481,928,644,1280
091 464 Marttila,270,224,72,58,94,46
091 465 Pitäjänmäen yritysalue,3087,2383,1002,788,593,704
091 331 Kannelmäki,11301,7716,3963,2378,1375,3585
091 332 Maununneva,2156,1716,589,586,541,440
091 333 Malminkartano,7574,5353,2913,1573,867,2221
091 334 Hakuninmaa,2243,1762,752,579,431,481
091 335 Kuninkaantammi,893,756,350,261,145,137
091 336 Honkasuo,269,222,105,81,36,47
091 100 Sörnäinen (Ent.),.,.,.,.,.,.
091 101 Vilhonvuori,6905,5749,2509,1718,1522,1156
091 102 Kalasatama,2468,2131,766,684,681,337
091 103 Sompasaari,..,..,..,..,..,..
091 104 Hanasaari,..,..,..,..,..,..
091 111 Siltasaari,2359,2051,738,584,729,308
091 112 Linjat,9158,7541,3174,2203,2164,1617
091 113 Torkkelinmäki,6882,5925,2624,1701,1600,957
091 121 Harju,7236,5974,2749,1759,1466,1262
091 122 Alppila,4293,3650,1509,1142,999,643
091 210 Hermanni (Ent.),.,.,.,.,.,.
091 211 Hermanninmäki,5236,4312,1826,1330,1156,924
091 212 Hermanninranta,..,..,..,..,..,..
091 213 Kyläsaari,320,303,229,66,8,17
091 220 Vallila,9324,7852,3092,2432,2328,1472
091 171 Länsi-Pasila,5017,4015,1710,1245,1060,1002
091 172 Pohjois-Pasila,..,..,..,..,..,..
091 173 Itä-Pasila,3502,2424,1172,712,540,1078
091 174 Keski-Pasila,..,..,..,..,..,..
091 231 Toukola,1275,990,411,272,307,285
091 232 Arabianranta,6080,5270,1866,1674,1730,810
091 240 Kumpula,3827,3091,1662,775,654,736
091 250 Käpylä,6746,5399,2021,1570,1808,1347
091 260 Koskela,2888,1898,1048,447,403,990
091 270 Vanhakaupunki,631,528,225,148,155,103
091 281 Pirkkola,396,329,107,81,141,67
091 282 Maunula,6389,4422,2190,1168,1064,1967
091 283 Metsälä,907,736,250,233,253,171
091 286 Maunulanpuisto,..,..,..,..,..,..
091 341 Länsi-Pakila,5691,4690,1367,1493,1830,1001
091 351 Paloheinä,4672,3878,1096,1276,1506,794
091 352 Torpparinmäki,2119,1624,642,525,457,495
091 354 Haltiala,..,..,..,..,..,..
091 284 Patola,8684,6840,2612,2167,2061,1844
091 285 Veräjämäki,2421,1863,664,518,681,558
091 287 Veräjälaakso,1047,730,382,216,132,317
091 342 Itä-Pakila,2734,2191,743,757,691,543
091 353 Tuomarinkartano,194,138,73,36,29,56
091 361 Viikinranta,1073,952,252,338,362,121
091 362 Latokartano,7559,5856,2440,1721,1695,1703
091 363 Viikin tiedepuisto,1201,1030,519,312,199,171
091 364 Viikinmäki,2184,1671,763,539,369,513
091 383 Pihlajamäki,6321,4145,2327,1136,682,2176
091 386 Pihlajisto,2193,1431,833,388,210,762
091 370 Pukinmäki,7326,5144,2660,1597,887,2182
091 381 Ylä-Malmi,5566,3620,2191,1003,426,1946
091 382 Ala-Malmi,5154,3443,1962,927,554,1711
091 384 Tattariharju,..,..,..,..,..,..
091 385 Malmin lentokenttä,1830,1379,697,430,252,451
091 391 Tapaninvainio,6737,5283,2120,1927,1236,1454
091 392 Tapanila,5003,3729,1712,1117,900,1274
091 401 Siltamäki,6759,4748,2609,1481,658,2011
091 403 Töyrynummi,2704,2019,933,695,391,685
091 402 Tapulikaupunki,7368,5018,2718,1489,811,2350
091 411 Puistola,5332,4170,1750,1416,1004,1162
091 412 Heikinlaakso,2388,1752,808,559,385,636
091 413 Tattarisuo,..,..,..,..,..,..
091 415 Alppikylä,1366,1025,577,294,154,341
091 414 Jakomäki,4793,2796,2046,520,230,1997
091 190 Mustikkamaa-Korkeasaari,..,..,..,..,..,..
