date,NDVI
2025-03-02,
2025-03-04,
2025-03-07,0.08402683388208546
2025-03-09,0.18295194039924495
2025-03-12,
2025-03-14,0.3958241419734731
2025-03-16,0.5261292702415492
2025-03-17,0.5324317526254044
2025-03-19,0.5884747913932913
2025-03-19,0.5913276172131576
2025-03-22,0.5771535719378068
2025-03-24,
2025-03-26,0.4768046564984373
2025-03-27,0.5487800035660382
2025-03-29,0.5699640617863057
2025-03-29,0.5631139884834847
2025-04-01,0.4320889760328095
2025-04-03,0.48810683908941666
2025-04-05,
2025-04-06,
2025-04-08,
2025-04-08,
2025-04-11,
2025-04-13,
2025-04-15,0.5652296140468177
2025-04-16,
2025-04-18,
2025-04-18,
2025-04-21,
2025-04-23,
2025-04-25,0.4863921612768286
2025-04-26,0.4216147241692872
2025-04-28,0.5703914289825104
2025-04-28,0.5855800498971828
2025-05-01,
2025-05-03,
2025-05-05,0.4173130696944711
2025-05-06,
2025-05-08,0.4384819031607486
2025-05-08,
2025-05-11,0.6552837184033009
2025-05-13,
2025-05-15,
2025-05-16,0.7066072458224645
2025-05-18,
2025-05-18,
2025-05-21,0.10656044465807726
2025-05-23,
2025-05-25,0.8170614909255199
2025-05-28,0.10538672865653893
2025-05-28,0.5381260053681961
2025-05-31,
2025-06-02,
2025-06-04,
2025-06-05,
2025-06-07,0.39910739975405896
2025-06-07,0.736479292618821
2025-06-10,
2025-06-12,
2025-06-14,
2025-06-15,0.8439909826016497
2025-06-17,
2025-06-17,
2025-06-20,0.8454580053107086
2025-06-22,
2025-06-24,
2025-06-25,
2025-06-27,
2025-06-30,
2025-07-02,
2025-07-04,0.8265685773974085
2025-07-05,0.13470028484994248
2025-07-07,
2025-07-07,
2025-07-10,
2025-07-12,0.8340129653102155
2025-07-14,0.8109645998472351
2025-07-15,0.8774066594331493
2025-07-17,0.8306641423632751
2025-07-17,0.8304036416953707
2025-07-20,0.8474641224265124
2025-07-22,
2025-07-24,0.844248320582871
2025-07-25,0.8646976276574765
2025-07-27,0.07343452963242932
2025-07-27,0.8466587884031767
2025-07-30,0.843319281289939
2025-08-01,0.9162489514681008
2025-08-03,
2025-08-04,0.8208778242658171
2025-08-06,
2025-08-06,0.8592614939067964
2025-08-09,0.8281004317758035
2025-08-13,0.8299830118342544
2025-08-14,0.8518677305989917
2025-08-16,
2025-08-16,0.8158217845078357
2025-08-19,0.6245996228265395
2025-08-21,
2025-08-23,
2025-08-24,
2025-08-26,
2025-08-29,
2025-08-31,
2025-09-02,
2025-09-03,
2025-09-05,
2025-09-05,0.08423106009385439
2025-09-08,0.7032670101418702
2025-09-10,0.33340239867334115
2025-09-12,
2025-09-13,
2025-09-15,
2025-09-15,
2025-09-18,
2025-09-20,
2025-09-22,0.7538812602977062
2025-09-23,
2025-09-25,
2025-09-25,
2025-09-28,0.7840243176400425
2025-09-30,0.21922987127545635
2025-10-02,
2025-10-03,
2025-10-05,
2025-10-05,
2025-10-08,
2025-10-10,
2025-10-12,
2025-10-13,
2025-10-15,0.08609476596026372
2025-10-15,0.07226735866186793
2025-10-18,0.6580827283570296
2025-10-20,
