date,NDVI
2025-03-02,
2025-03-04,
2025-03-07,0.06250342665466589
2025-03-09,0.18378126737632136
2025-03-12,
2025-03-14,0.11221630499180019
2025-03-16,
2025-03-17,0.18956806166773135
2025-03-19,0.22158587313979367
2025-03-19,0.22870981555229125
2025-03-22,0.2232977378325538
2025-03-24,
2025-03-26,0.09705596757081668
2025-03-27,0.21341398391297073
2025-03-29,0.2248310837997505
2025-03-29,0.21887431590256848
2025-04-01,0.17571383664158324
2025-04-03,0.20925114659748895
2025-04-05,
2025-04-06,
2025-04-08,0.21480422717463274
2025-04-08,0.20648761259035903
2025-04-11,
2025-04-13,
2025-04-15,0.2191357041136794
2025-04-16,
2025-04-18,
2025-04-18,
2025-04-21,
2025-04-23,
2025-04-25,
2025-04-26,0.28010083250015533
2025-04-28,0.27044009485492393
2025-04-28,0.2866631785827996
2025-05-01,
2025-05-03,
2025-05-05,0.31176029624006096
2025-05-06,
2025-05-08,
2025-05-08,
2025-05-11,0.3366675374027662
2025-05-13,
2025-05-15,
2025-05-16,0.3443069715247012
2025-05-18,
2025-05-18,
2025-05-21,0.09019021893890194
2025-05-23,
2025-05-25,0.5069487637404652
2025-05-28,0.056703362421827726
2025-05-28,0.05641962123886324
2025-05-31,0.30174849897873973
2025-06-02,
2025-06-04,
2025-06-05,
2025-06-07,
2025-06-07,0.10732347925949048
2025-06-10,
2025-06-12,
2025-06-14,
2025-06-15,0.5400575654818942
2025-06-17,
2025-06-17,
2025-06-20,0.5490264119362385
2025-06-22,
2025-06-24,
2025-06-25,
2025-06-27,
2025-06-30,0.08253273964121725
2025-07-02,
2025-07-04,0.027649303150218837
2025-07-05,
2025-07-07,
2025-07-07,
2025-07-10,
2025-07-12,0.5283738189495646
2025-07-14,
2025-07-15,0.5401705792284305
2025-07-17,0.5226080748360223
2025-07-17,0.5255071033433862
2025-07-20,0.5248150977409967
2025-07-22,
2025-07-24,0.5288814663201996
2025-07-25,0.5393311956743508
2025-07-27,0.5496941605709744
2025-07-27,0.5513435861172293
2025-07-30,0.5034252749669399
2025-08-01,0.42364098616238505
2025-08-03,
2025-08-04,0.5129019542888761
2025-08-06,0.5679428589297645
2025-08-06,0.40151349103706996
2025-08-09,0.05879183032923139
2025-08-13,0.5554759082134003
2025-08-14,0.5477770686697981
2025-08-16,0.26722431652567485
2025-08-16,
2025-08-19,
2025-08-21,
2025-08-23,
2025-08-24,
2025-08-26,0.538258089647365
2025-08-29,
2025-08-31,
2025-09-02,
2025-09-03,
2025-09-05,
2025-09-05,
2025-09-08,0.4668776101977626
2025-09-10,0.18967260941077757
2025-09-12,
2025-09-13,
2025-09-15,
2025-09-15,
2025-09-18,
2025-09-20,
2025-09-22,0.5409282174521824
2025-09-23,
2025-09-25,
2025-09-25,
2025-09-28,0.645426455111125
2025-09-30,0.5436808050938486
2025-10-02,
2025-10-03,
2025-10-05,
2025-10-05,
2025-10-08,
2025-10-10,0.4365487583623786
2025-10-12,0.0355063109112699
2025-10-13,
2025-10-15,0.1321472751603363
2025-10-15,0.028460242047032985
2025-10-18,0.5124857789574369
2025-10-20,
