date,NDVI
2025-01-01,
2025-01-08,
2025-01-11,
2025-01-16,0.11861254761402704
2025-01-18,0.48157625737948734
2025-01-21,
2025-01-23,
2025-01-26,
2025-01-28,
2025-01-31,
2025-02-02,
2025-02-05,
2025-02-07,
2025-02-10,0.3143130315423765
2025-02-12,0.017396499471420187
2025-02-15,
2025-02-17,
2025-02-20,0.12646075261225417
2025-02-22,
2025-02-25,0.4304504645947955
2025-02-25,0.3955802339392066
2025-02-27,
2025-03-02,
2025-03-04,
2025-03-07,0.04981027674888092
2025-03-09,0.22585070571232255
2025-03-12,
2025-03-14,0.5005414126762254
2025-03-16,0.582955702247813
2025-03-17,0.60357761943727
2025-03-19,0.634983172402408
2025-03-19,0.665584031441247
2025-03-22,0.6698755586254069
2025-03-24,
2025-03-26,0.3363970152079516
2025-03-27,0.6186252497110781
2025-03-29,0.636385851483323
2025-03-29,0.6377452582765788
2025-04-01,0.5448830834563434
2025-04-03,
2025-04-05,
2025-04-06,
2025-04-08,0.5491130616816676
2025-04-08,0.5368227905795766
2025-04-11,
2025-04-13,
2025-04-15,0.5985405503262853
2025-04-16,
2025-04-18,
2025-04-18,
2025-04-21,
2025-04-23,
2025-04-25,0.4721126070319814
2025-04-26,0.6440171834419949
2025-04-28,0.5981391005020876
2025-04-28,0.6403512959028773
2025-05-01,
2025-05-03,0.0524737509494814
2025-05-05,0.6169047708476972
2025-05-06,
2025-05-08,
2025-05-08,
2025-05-11,0.6539481646719318
2025-05-13,
2025-05-15,0.4202422403442373
2025-05-16,0.6807593318061009
2025-05-18,
2025-05-18,
2025-05-21,
2025-05-23,
2025-05-25,0.8037589462896536
2025-05-28,
2025-05-28,
2025-05-31,0.7605523864883251
2025-06-02,
2025-06-04,
2025-06-05,
2025-06-07,0.41210867807569995
2025-06-07,0.15075711165652395
2025-06-10,
2025-06-12,
2025-06-14,
2025-06-15,0.8489768898187912
2025-06-17,
2025-06-17,
2025-06-20,0.8574053719387953
2025-06-22,
2025-06-24,
2025-06-25,
2025-06-27,
2025-06-30,
2025-07-02,
2025-07-04,0.8313789794750286
2025-07-05,0.05365584911107644
2025-07-07,
2025-07-07,
2025-07-10,
2025-07-12,0.86680878292029
2025-07-14,
2025-07-15,0.8831202331370163
2025-07-17,0.8501433879401243
2025-07-17,0.8371344218862262
2025-07-20,0.8541165357477758
2025-07-22,
2025-07-24,0.8523105671879913
2025-07-25,0.8743917244833034
2025-07-27,0.8738225961683735
2025-07-27,0.8838930215347329
2025-07-30,0.6512492806054958
2025-08-01,0.9427859789417994
2025-08-03,
2025-08-04,0.8406617147123634
2025-08-06,0.8859534777023576
2025-08-06,0.040335729347555374
2025-08-09,0.5648878166610443
2025-08-13,0.8600499253490591
2025-08-14,0.871684757767567
2025-08-16,0.8271634038554357
2025-08-16,0.8505937880463649
2025-08-19,0.10601009352792196
2025-08-21,
2025-08-23,
2025-08-24,
2025-08-26,0.860074752604576
2025-08-29,
2025-08-31,
2025-09-02,
2025-09-03,
2025-09-05,
2025-09-05,0.10665636964906246
2025-09-08,0.4736961474148569
2025-09-10,0.1899606185360408
2025-09-12,
2025-09-13,
2025-09-15,
2025-09-15,
2025-09-18,
2025-09-20,
2025-09-22,0.6337535314537402
2025-09-23,
2025-09-25,0.721991252313766
2025-09-25,
2025-09-28,0.8088311046341768
2025-09-30,0.7616763663750306
2025-10-02,
2025-10-03,
2025-10-05,
2025-10-05,
2025-10-08,
2025-10-10,0.559941818086062
2025-10-12,
2025-10-13,
2025-10-15,0.06308384408608239
2025-10-15,0.0439020961888549
2025-10-18,0.6829204544216328
2025-10-20,
