date,NDVI
2025-03-02,
2025-03-04,
2025-03-07,0.08932577388878853
2025-03-09,0.26118769034005546
2025-03-12,
2025-03-14,0.6795783074418134
2025-03-16,0.7060950387075955
2025-03-17,0.7474958868686061
2025-03-19,0.7341115802674982
2025-03-19,0.7515434907229382
2025-03-22,0.7260559692583728
2025-03-24,
2025-03-26,0.2614918898459956
2025-03-27,0.6694215810537125
2025-03-29,0.6807927722890457
2025-03-29,0.6852631632538515
2025-04-01,0.5888245014369592
2025-04-03,
2025-04-05,
2025-04-06,
2025-04-08,0.6158026666714845
2025-04-08,0.6463001255149214
2025-04-11,
2025-04-13,
2025-04-15,0.6801992700288897
2025-04-16,
2025-04-18,
2025-04-18,
2025-04-21,
2025-04-23,
2025-04-25,
2025-04-26,
2025-04-28,0.654564890487699
2025-04-28,0.6814188058623198
2025-05-01,
2025-05-03,0.09180842392610297
2025-05-05,0.6830033707967995
2025-05-06,
2025-05-08,
2025-05-08,
2025-05-11,0.6746171400250567
2025-05-13,
2025-05-15,0.30014283516020784
2025-05-16,0.6799322318474206
2025-05-18,
2025-05-18,
2025-05-21,
2025-05-23,
2025-05-25,0.7276517854847041
2025-05-28,
2025-05-28,
2025-05-31,
2025-06-02,
2025-06-04,
2025-06-05,
2025-06-07,0.662596816086876
2025-06-07,0.13938683093449428
2025-06-10,
2025-06-12,
2025-06-14,
2025-06-15,0.794163389405045
2025-06-17,
2025-06-17,
2025-06-20,0.8066599075004731
2025-06-22,
2025-06-24,
2025-06-25,
2025-06-27,
2025-06-30,0.4682159184022724
2025-07-02,
2025-07-04,0.7994381068716794
2025-07-05,
2025-07-07,
2025-07-07,
2025-07-10,
2025-07-12,0.810606787157402
2025-07-14,0.8067876063139139
2025-07-15,0.8181556947330042
2025-07-17,0.7921956370013324
2025-07-17,0.797007031866374
2025-07-20,0.8055167503231043
2025-07-22,
2025-07-24,0.8077660328040503
2025-07-25,0.8234476258873679
2025-07-27,0.8180672936452471
2025-07-27,0.8381678625632645
2025-07-30,0.16310805836678394
2025-08-01,
2025-08-03,
2025-08-04,0.7905485898081903
2025-08-06,0.20045203690977537
2025-08-06,0.4166415240415252
2025-08-09,0.6360650757654206
2025-08-13,0.05919427683566767
2025-08-14,0.802278174108143
2025-08-16,0.8136104133459121
2025-08-16,
2025-08-19,
2025-08-21,
2025-08-23,0.7102138933310502
2025-08-24,
2025-08-26,0.8092569737490984
2025-08-29,
2025-08-31,
2025-09-02,
2025-09-03,
2025-09-05,
2025-09-05,0.49502704025495153
2025-09-08,0.4190786893872465
2025-09-10,
2025-09-12,
2025-09-13,
2025-09-15,
2025-09-15,
2025-09-18,0.10455455823920837
2025-09-20,
2025-09-22,
2025-09-23,
2025-09-25,
2025-09-25,0.5403772393954441
2025-09-28,0.1382119242145977
2025-09-30,0.6886861945935998
2025-10-02,
2025-10-03,
2025-10-05,
2025-10-05,
2025-10-08,
2025-10-10,
2025-10-12,
2025-10-13,
2025-10-15,0.04945507821299341
2025-10-15,
2025-10-18,0.7552502020281566
2025-10-20,
