date,NDVI
2025-03-02,
2025-03-04,
2025-03-07,0.0354298690085223
2025-03-09,0.23977025083982284
2025-03-12,
2025-03-14,0.14620304497572645
2025-03-16,0.488881340528616
2025-03-17,0.4831652136672374
2025-03-19,0.46255797274438176
2025-03-19,0.45496499697329873
2025-03-22,0.4513961892696678
2025-03-24,
2025-03-26,0.3452478452037778
2025-03-27,0.4262260021790601
2025-03-29,0.44781477428533223
2025-03-29,0.4417773187773778
2025-04-01,0.38673730080372715
2025-04-03,0.4195096253992668
2025-04-05,
2025-04-06,
2025-04-08,0.4321848405338119
2025-04-08,
2025-04-11,
2025-04-13,
2025-04-15,0.4402442368698294
2025-04-16,
2025-04-18,
2025-04-18,
2025-04-21,
2025-04-23,
2025-04-25,
2025-04-26,0.4734089652950559
2025-04-28,0.4838320857263397
2025-04-28,0.49573052993008676
2025-05-01,
2025-05-03,
2025-05-05,0.48230664864403505
2025-05-06,
2025-05-08,
2025-05-08,
2025-05-11,0.5679576547264542
2025-05-13,
2025-05-15,0.1860236408765398
2025-05-16,0.6329824165962997
2025-05-18,
2025-05-18,
2025-05-21,0.5918982306081418
2025-05-23,
2025-05-25,0.7545214618510531
2025-05-28,0.07937188064267857
2025-05-28,0.17514219933514324
2025-05-31,0.1188441500566384
2025-06-02,
2025-06-04,
2025-06-05,
2025-06-07,
2025-06-07,0.024562203727952765
2025-06-10,
2025-06-12,
2025-06-14,
2025-06-15,0.8040670145259978
2025-06-17,
2025-06-17,
2025-06-20,0.8088607193676484
2025-06-22,
2025-06-24,
2025-06-25,
2025-06-27,
2025-06-30,
2025-07-02,
2025-07-04,
2025-07-05,
2025-07-07,
2025-07-07,
2025-07-10,
2025-07-12,0.79264332817888
2025-07-14,0.7815673639255758
2025-07-15,0.8296974951411091
2025-07-17,0.794797112678126
2025-07-17,0.8007710740062354
2025-07-20,0.8012344306470351
2025-07-22,
2025-07-24,0.7954706430767353
2025-07-25,0.8039423172035173
2025-07-27,0.7908802865554003
2025-07-27,0.804202055297093
2025-07-30,0.7864250916189074
2025-08-01,0.8071695823598614
2025-08-03,
2025-08-04,0.7668694752521923
2025-08-06,0.7933479657317256
2025-08-06,0.8279530511981484
2025-08-09,0.7976832948663913
2025-08-13,0.7832727131433183
2025-08-14,0.8003776114118277
2025-08-16,
2025-08-16,0.7583676696206562
2025-08-19,
2025-08-21,
2025-08-23,
2025-08-24,
2025-08-26,0.2174708272547152
2025-08-29,
2025-08-31,
2025-09-02,
2025-09-03,
2025-09-05,
2025-09-05,
2025-09-08,0.7396949739240474
2025-09-10,0.005809063739426778
2025-09-12,
2025-09-13,
2025-09-15,
2025-09-15,
2025-09-18,
2025-09-20,
2025-09-22,0.7525236714363008
2025-09-23,
2025-09-25,
2025-09-25,
2025-09-28,0.7856950403112515
2025-09-30,0.3437260578195616
2025-10-02,
2025-10-03,
2025-10-05,
2025-10-05,
2025-10-08,
2025-10-10,0.5949773063045295
2025-10-12,
2025-10-13,
2025-10-15,0.055401194382034516
2025-10-15,0.054473382119342294
2025-10-18,0.6539029526223741
2025-10-20,
