date,NDVI
2025-01-01,
2025-01-08,
2025-01-11,
2025-01-16,0.17531561862208347
2025-01-18,0.24022564241877814
2025-01-21,
2025-01-23,
2025-01-26,
2025-01-28,
2025-01-31,
2025-02-02,
2025-02-05,
2025-02-07,
2025-02-10,0.3682753309295638
2025-02-12,0.06096287774254967
2025-02-15,
2025-02-17,0.022899695255807123
2025-02-20,
2025-02-22,
2025-02-25,0.1686455296361858
2025-02-25,0.15798743681431784
2025-02-27,
2025-03-02,
2025-03-04,
2025-03-07,0.05645967627630083
2025-03-09,0.18402247554622728
2025-03-12,
2025-03-14,0.1289467357211943
2025-03-16,0.29247544318188023
2025-03-17,0.3882479323970429
2025-03-19,0.40103122304829114
2025-03-19,0.39711701685681844
2025-03-22,0.3943053883050367
2025-03-24,
2025-03-26,0.2677189966518588
2025-03-27,0.3708606037991507
2025-03-29,0.4013284354727082
2025-03-29,0.3929551231167661
2025-04-01,0.33092496467737814
2025-04-03,0.3074872400871594
2025-04-05,
2025-04-06,
2025-04-08,
2025-04-08,0.3474717537997744
2025-04-11,
2025-04-13,
2025-04-15,0.3883255967647166
2025-04-16,
2025-04-18,
2025-04-18,
2025-04-21,
2025-04-23,
2025-04-25,0.43882428866790063
2025-04-26,0.4588887754852018
2025-04-28,0.4533192539669177
2025-04-28,0.4648423640194178
2025-05-01,
2025-05-03,0.4756717037703481
2025-05-05,0.5051162277186045
2025-05-06,
2025-05-08,
2025-05-08,0.2063237718275119
2025-05-11,0.5441150146235952
2025-05-13,
2025-05-15,
2025-05-16,0.5848642827493558
2025-05-18,
2025-05-18,
2025-05-21,0.6762700850843381
2025-05-23,
2025-05-25,0.7614615267177224
2025-05-28,0.16567602956589608
2025-05-28,
2025-05-31,0.7382710651681399
2025-06-02,
2025-06-04,
2025-06-05,
2025-06-07,0.2618826013054017
2025-06-07,0.4626904545612006
2025-06-10,
2025-06-12,
2025-06-14,
2025-06-15,0.8543441712772377
2025-06-17,
2025-06-17,
2025-06-20,0.8653317414801487
2025-06-22,
2025-06-24,
2025-06-25,
2025-06-27,
2025-06-30,
2025-07-02,
2025-07-04,0.8367972417060529
2025-07-05,0.05434159282601482
2025-07-07,
2025-07-07,
2025-07-10,
2025-07-12,0.8486409167969088
2025-07-14,0.8449268738027148
2025-07-15,0.8710137233898138
2025-07-17,0.8398527807436273
2025-07-17,0.8409666454173397
2025-07-20,0.8380811743349063
2025-07-22,
2025-07-24,0.8482792874443192
2025-07-25,0.8573582898389935
2025-07-27,0.8531812360682104
2025-07-27,0.869801023370353
2025-07-30,0.8288577349384338
2025-08-01,0.8930059982335183
2025-08-03,
2025-08-04,0.8254689332958359
2025-08-06,0.925887501826121
2025-08-06,0.34174431567947844
2025-08-09,0.6270500458030476
2025-08-13,0.8498056266082967
2025-08-14,0.8262200681939056
2025-08-16,0.8549220989973483
2025-08-16,0.867863344429909
2025-08-19,
2025-08-21,
2025-08-23,
2025-08-24,
2025-08-26,0.8450810785044033
2025-08-29,
2025-08-31,
2025-09-02,
2025-09-03,
2025-09-05,
2025-09-05,
2025-09-08,0.763170280390741
2025-09-10,0.19737624823475
2025-09-12,
2025-09-13,
2025-09-15,
2025-09-15,
2025-09-18,
2025-09-20,
2025-09-22,0.8219710271585391
2025-09-23,
2025-09-25,
2025-09-25,
2025-09-28,0.641156133813016
2025-09-30,0.544865424620198
2025-10-02,
2025-10-03,
2025-10-05,
2025-10-05,
2025-10-08,
2025-10-10,
2025-10-12,
2025-10-13,
2025-10-15,0.05870660996906424
2025-10-15,0.05774024325829171
2025-10-18,0.7494111750538968
2025-10-20,
