date,NDVI
2025-03-02,
2025-03-04,
2025-03-07,0.059329415578904546
2025-03-09,0.10809778803355324
2025-03-12,
2025-03-14,0.1088814113572755
2025-03-16,0.18418452437390267
2025-03-17,0.22042136331304776
2025-03-19,0.3662453404756174
2025-03-19,0.37350941531705145
2025-03-22,0.3670793120920726
2025-03-24,
2025-03-26,0.11782708860967148
2025-03-27,0.3508146911456769
2025-03-29,0.37766903494067017
2025-03-29,0.36705605501751676
2025-04-01,0.3331326060680332
2025-04-03,0.38732568348231305
2025-04-05,
2025-04-06,
2025-04-08,0.38698187450216526
2025-04-08,0.3786482930308536
2025-04-11,
2025-04-13,
2025-04-15,0.4253287700514622
2025-04-16,
2025-04-18,
2025-04-18,
2025-04-21,
2025-04-23,
2025-04-25,
2025-04-26,
2025-04-28,0.5140602139335164
2025-04-28,0.5252378172330641
2025-05-01,
2025-05-03,
2025-05-05,0.5817616636524839
2025-05-06,
2025-05-08,
2025-05-08,
2025-05-11,0.6231714955102708
2025-05-13,
2025-05-15,
2025-05-16,0.6502584863938614
2025-05-18,
2025-05-18,
2025-05-21,0.6011838982576094
2025-05-23,
2025-05-25,0.7728822531215152
2025-05-28,0.35463343858820123
2025-05-28,0.02845003442416725
2025-05-31,0.7635189083825981
2025-06-02,
2025-06-04,
2025-06-05,
2025-06-07,
2025-06-07,
2025-06-10,
2025-06-12,
2025-06-14,
2025-06-15,0.8059370692579934
2025-06-17,
2025-06-17,
2025-06-20,0.821093708190801
2025-06-22,
2025-06-24,
2025-06-25,
2025-06-27,
2025-06-30,0.09092334414506315
2025-07-02,
2025-07-04,0.7692800692271838
2025-07-05,
2025-07-07,
2025-07-07,
2025-07-10,
2025-07-12,0.7934623633791862
2025-07-14,
2025-07-15,0.8350871563080492
2025-07-17,0.7941847447769096
2025-07-17,0.7890646399372506
2025-07-20,0.7884648931723215
2025-07-22,
2025-07-24,0.8060335286767447
2025-07-25,0.8299038657628881
2025-07-27,0.8221359602839925
2025-07-27,0.8111729297185284
2025-07-30,0.750729287160904
2025-08-01,
2025-08-03,
2025-08-04,0.7724763019980515
2025-08-06,0.8320239257756421
2025-08-06,0.8402605872389406
2025-08-09,0.3623966959013459
2025-08-13,0.818156080144872
2025-08-14,0.8243728501915271
2025-08-16,0.13601539433439
2025-08-16,
2025-08-19,
2025-08-21,
2025-08-23,
2025-08-24,
2025-08-26,0.6661225050133311
2025-08-29,
2025-08-31,
2025-09-02,
2025-09-03,
2025-09-05,0.08037959535796814
2025-09-05,0.04817506513937762
2025-09-08,0.6930703327135758
2025-09-10,0.2138770127177639
2025-09-12,
2025-09-13,
2025-09-15,
2025-09-15,
2025-09-18,
2025-09-20,
2025-09-22,0.7854389358795011
2025-09-23,
2025-09-25,0.7225792849806841
2025-09-25,
2025-09-28,0.794245405098992
2025-09-30,0.7428444859642496
2025-10-02,
2025-10-03,
2025-10-05,
2025-10-05,
2025-10-08,
2025-10-10,0.613258577614648
2025-10-12,0.09496177269553163
2025-10-13,
2025-10-15,0.052362289893271775
2025-10-15,0.030164204754400036
2025-10-18,0.6568333715367083
2025-10-20,
