date,temperature
2025-02-20,2.6666666666666665
2025-03-02,3.8333333333333335
2025-03-03,4.142857142857143
2025-03-04,4.428571428571429
2025-03-05,5.571428571428571
2025-03-06,7.857142857142857
2025-03-07,5.714285714285714
2025-03-08,8.714285714285714
2025-03-09,5.285714285714286
2025-03-10,6.428571428571429
2025-03-11,1.1428571428571428
2025-03-12,-1.2857142857142858
2025-03-13,-0.7142857142857143
2025-03-14,-0.2857142857142857
2025-03-15,4.428571428571429
2025-03-16,1.2857142857142858
2025-03-17,2.0
2025-03-18,6.285714285714286
2025-03-19,8.142857142857142
2025-03-20,4.857142857142857
2025-03-21,5.285714285714286
2025-03-22,5.0
2025-03-23,6.285714285714286
2025-03-24,3.7142857142857144
2025-03-25,5.714285714285714
2025-03-26,8.428571428571429
2025-03-27,8.714285714285714
2025-03-28,5.571428571428571
2025-03-29,10.142857142857142
2025-03-30,8.0
2025-03-31,9.8
2025-04-01,11.2
2025-04-02,15.2
2025-04-03,15.4
2025-04-04,9.0
2025-04-05,1.4
2025-04-06,3.2
2025-04-07,6.8
2025-04-08,5.2
2025-04-09,4.8
2025-04-10,1.6
2025-04-11,0.6
2025-04-12,5.4
2025-04-13,12.4
2025-04-14,11.2
2025-04-15,14.0
2025-04-16,15.8
2025-04-17,12.4
2025-04-18,11.8
2025-04-19,18.6
2025-04-20,8.4
2025-04-21,6.4
2025-04-22,6.6
2025-04-23,8.6
2025-04-24,7.8
2025-04-25,6.6
2025-04-26,8.2
2025-04-27,8.0
2025-04-28,12.6
2025-04-29,13.6
2025-04-30,7.2
2025-05-01,9.4
2025-05-02,11.4
2025-05-03,12.4
2025-05-04,10.2
2025-05-05,8.8
2025-05-06,7.6
2025-05-07,7.4
2025-05-08,7.4
2025-05-09,9.4
2025-05-10,11.4
2025-05-11,12.8
2025-05-12,16.2
2025-05-13,15.2
2025-05-14,10.4
2025-05-15,12.4
2025-05-16,18.8
2025-05-17,14.0
2025-05-18,16.6
2025-05-19,18.8
2025-05-20,19.8
2025-05-21,15.0
2025-05-22,15.6
2025-05-23,10.6
2025-05-24,13.2
2025-05-25,15.2
2025-05-26,17.4
2025-05-27,18.0
2025-05-28,17.0
2025-05-29,18.6
2025-05-30,18.8
2025-05-31,16.4
2025-06-01,18.8
2025-06-02,13.8
2025-06-03,19.0
2025-06-04,18.0
2025-06-05,13.8
2025-06-06,16.4
2025-06-07,16.2
2025-06-08,18.4
2025-06-09,16.2
2025-06-10,17.75
2025-06-11,12.333333333333334
2025-06-12,16.0
2025-06-13,19.2
2025-06-14,20.6
2025-06-15,23.0
2025-06-16,21.6
2025-06-17,17.2
2025-06-18,18.5
2025-06-19,15.2
2025-06-20,18.8
2025-06-21,13.6
2025-06-22,17.4
2025-06-23,16.5
2025-06-24,13.333333333333334
2025-06-25,15.2
2025-06-26,16.2
2025-06-27,17.8
2025-06-28,14.4
2025-06-29,16.4
2025-06-30,19.4
2025-07-01,23.4
2025-07-02,22.8
2025-07-03,20.6
2025-07-04,18.6
2025-07-05,16.4
2025-07-06,15.0
2025-07-07,16.8
2025-07-08,16.5
2025-07-09,20.0
2025-07-10,19.6
2025-07-11,18.0
2025-07-12,25.4
2025-07-13,24.0
2025-07-14,25.0
2025-07-15,28.4
2025-07-16,27.4
2025-07-17,27.2
2025-07-18,25.6
2025-07-19,26.0
2025-07-20,27.4
2025-07-21,26.2
2025-07-22,23.6
2025-07-23,26.8
2025-07-24,28.8
2025-07-25,28.4
2025-07-26,27.4
2025-07-27,27.0
2025-07-28,26.6
2025-07-29,24.6
2025-07-30,27.2
2025-07-31,28.4
2025-08-01,24.8
2025-08-02,22.0
2025-08-03,25.0
2025-08-04,27.6
2025-08-05,21.2
2025-08-06,19.8
2025-08-07,20.25
2025-08-08,17.75
2025-08-09,20.8
2025-08-10,19.8
2025-08-11,21.4
2025-08-12,16.8
2025-08-13,20.4
2025-08-14,21.0
2025-08-15,21.8
2025-08-16,17.2
2025-08-17,17.2
2025-08-18,19.0
2025-08-19,19.0
2025-08-20,14.8
2025-08-21,14.8
2025-08-22,14.6
2025-08-23,16.0
2025-08-24,14.4
2025-08-25,14.2
2025-08-26,15.6
2025-08-27,15.8
2025-08-28,16.8
2025-08-29,14.6
2025-08-30,16.8
2025-08-31,16.2
2025-09-01,15.4
2025-09-02,16.4
2025-09-03,18.2
2025-09-04,18.0
2025-09-05,18.6
2025-09-06,19.6
2025-09-07,20.0
2025-09-08,20.2
2025-09-09,21.2
2025-09-10,20.8
2025-09-11,21.6
2025-09-12,16.0
2025-09-13,17.0
2025-09-14,15.0
2025-09-15,13.8
2025-09-16,15.4
2025-09-17,15.2
2025-09-18,15.8
2025-09-19,14.6
2025-09-20,16.8
2025-09-21,19.2
2025-09-22,14.6
2025-09-23,10.6
2025-09-24,10.4
2025-09-25,12.8
2025-09-26,13.8
2025-09-27,13.6
2025-09-28,13.4
2025-09-29,10.0
2025-09-30,9.8
2025-10-01,11.0
2025-10-02,9.2
2025-10-03,7.6
2025-10-04,10.0
2025-10-05,11.2
2025-10-06,11.6
2025-10-07,13.6
2025-10-08,13.0
2025-10-09,13.0
2025-10-10,11.0
2025-10-11,11.8
2025-10-12,8.4
2025-10-13,7.8
2025-10-14,7.8
2025-10-15,7.8
2025-10-16,10.0
2025-10-17,6.2
2025-10-18,4.4
2025-10-19,6.0
2025-10-20,7.2
2025-10-21,7.75
2025-10-22,6.6
2025-10-23,7.0
2025-10-24,8.8
2025-10-25,11.0
2025-10-26,10.571428571428571
2025-10-27,8.0
