date,NDVI
2024-01-04,0.03279150784346268
2024-01-07,0.09939437037259295
2024-01-14,-0.006660936059813255
2024-01-17,0.10531620815989377
2024-01-19,0.054640684870943194
2024-01-22,0.03225695001485802
2024-01-24,0.03157165980088637
2024-01-27,0.03832758787546751
2024-01-29,0.07569427312063963
2024-02-01,0.21124167915133255
2024-02-03,0.05259111999950283
2024-02-06,0.016905672784154474
2024-02-08,0.03254994669146039
2024-02-11,0.18402535316818988
2024-02-13,
2024-02-16,
2024-02-18,0.9202182892929924
2024-02-21,
2024-02-23,
2024-02-26,
2024-02-28,
2024-03-02,
2024-03-04,
2024-03-07,
2024-03-09,
2024-03-12,0.832118130784201
2024-03-14,
2024-03-17,
2024-03-19,
2024-03-22,
2024-03-24,
2024-03-27,
2024-03-29,0.5196588267721577
2024-04-01,0.35858100283998556
2024-04-03,
2024-04-06,
2024-04-08,0.8780899191671643
2024-04-11,
2024-04-13,0.4717390684761115
2024-04-16,
2024-04-18,
2024-04-21,
2024-04-23,
2024-04-26,
2024-04-28,
2024-05-01,0.7008501467634745
2024-05-03,0.6710341229739292
2024-05-06,
2024-05-08,0.6999400092864838
2024-05-11,0.7162757103457246
2024-05-13,0.1554856397803077
2024-05-16,0.779137796186006
2024-05-18,0.8184454989879567
2024-05-21,0.847879838300632
2024-05-23,0.8476559907998279
2024-05-26,
2024-05-28,0.8656117352321239
2024-05-31,0.8560141835230306
2024-06-02,
2024-06-05,0.9018749218606513
2024-06-07,
2024-06-10,0.8849304428987049
2024-06-12,0.8618361067561036
2024-06-15,0.9099237948186669
2024-06-17,0.8746554253819607
2024-06-20,
2024-06-22,0.4696704376317288
2024-06-25,0.9030759663212388
2024-06-27,0.8920466678788851
2024-06-30,
2024-07-02,0.16616597761142451
2024-07-05,
2024-07-07,
2024-07-10,0.8986357470233934
2024-07-12,
2024-07-15,0.7833627276015737
2024-07-17,
2024-07-20,
2024-07-22,0.8734381897926412
2024-07-25,0.5412357406191913
2024-07-27,0.8131973222824355
2024-07-30,0.6601518843510283
2024-08-01,
2024-08-04,
2024-08-06,
2024-08-09,0.8486825937094248
2024-08-11,
2024-08-14,0.8957980184841353
2024-08-16,
2024-08-19,0.8770526139969125
2024-08-21,0.791999778946104
2024-08-24,0.7194970816770642
2024-08-26,0.8473834664225511
2024-08-29,0.7982527542338337
2024-08-31,
