date,NDVI
2024-01-04,0.015050469926364916
2024-01-07,-0.03883439678224733
2024-01-14,-0.01597532525867066
2024-01-17,-0.047397702498540084
2024-01-19,0.06689559784026142
2024-01-22,0.036821037031272555
2024-01-24,0.025821970250228938
2024-01-27,0.029936450278532083
2024-01-29,0.03838390470981659
2024-02-01,0.002228359359002159
2024-02-03,0.038198859521344296
2024-02-06,0.011902489176515105
2024-02-08,0.019842984783490086
2024-02-11,
2024-02-13,
2024-02-16,
2024-02-18,0.16540390952798678
2024-02-21,
2024-02-23,
2024-02-26,
2024-02-28,
2024-03-02,
2024-03-04,
2024-03-07,
2024-03-09,
2024-03-12,0.1602954354452708
2024-03-14,
2024-03-17,
2024-03-19,
2024-03-22,
2024-03-24,
2024-03-27,
2024-03-29,
2024-04-01,
2024-04-03,
2024-04-06,
2024-04-08,0.18935916490768528
2024-04-11,
2024-04-13,
2024-04-16,
2024-04-18,
2024-04-21,
2024-04-23,
2024-04-26,
2024-04-28,
2024-05-01,0.2156335001425094
2024-05-03,0.15467161218520398
2024-05-06,
2024-05-08,0.2532503701142646
2024-05-11,0.2795018804596194
2024-05-13,0.05978502345180583
2024-05-16,0.3272425591895321
2024-05-18,0.40775926533986057
2024-05-21,0.4593971599817534
2024-05-23,0.48510981360885086
2024-05-26,
2024-05-28,0.5246515968114601
2024-05-31,0.5355494927442086
2024-06-02,
2024-06-05,0.5249459944876345
2024-06-07,0.22086584698866438
2024-06-10,0.5411318983805353
2024-06-12,0.5487467008533642
2024-06-15,0.5535608536398438
2024-06-17,0.5147787821418086
2024-06-20,
2024-06-22,0.537605701424088
2024-06-25,0.5165711925429618
2024-06-27,0.5203807378767161
2024-06-30,0.5163667496550071
2024-07-02,
2024-07-05,
2024-07-07,
2024-07-10,0.5285762238309978
2024-07-12,
2024-07-15,0.5112890818856118
2024-07-17,
2024-07-20,
2024-07-22,0.5180982075597063
2024-07-25,0.5296869767231284
2024-07-27,0.5156722036280608
2024-07-30,
2024-08-01,
2024-08-04,-0.03854945801004923
2024-08-06,
2024-08-09,0.4498326970176827
2024-08-11,0.24769311552692833
2024-08-14,0.5266964954110614
2024-08-16,
2024-08-19,0.5176328540594575
2024-08-21,0.5176567619497676
2024-08-24,
2024-08-26,0.5198627644340374
2024-08-29,
2024-08-31,
2024-09-03,
2024-09-05,0.4820009779832171
2024-09-08,0.47546580262073657
2024-09-10,
2024-09-13,
2024-09-15,
2024-09-18,
2024-09-20,0.5359772630968207
2024-09-23,
2024-09-23,
2024-09-25,
2024-09-28,
2024-09-30,0.5728784868469449
2024-10-03,0.5541823018587219
2024-10-05,0.5273075847889984
2024-10-08,
2024-10-10,
2024-10-13,
2024-10-15,
2024-10-18,0.23416953861103781
2024-10-20,
2024-10-23,0.34571639242768387
2024-10-25,0.23544881139137078
2024-10-28,
2024-10-30,
2024-11-02,0.014683411643718216
2024-11-04,
2024-11-07,
2024-11-09,
2024-11-12,
2024-11-14,
2024-11-17,0.17483596047948638
2024-11-19,0.11934446019416493
2024-11-22,
2024-11-24,0.01364498885033356
2024-11-24,0.015582026372905414
2024-11-27,-0.008779534871258363
2024-11-29,
2024-12-09,
2024-12-12,-0.018201903674146834
2024-12-19,
2024-12-22,
2024-12-29,
2025-01-01,
2025-01-08,
2025-01-11,
2025-01-16,-0.002052428352178435
2025-01-18,0.074051047522711
2025-01-21,
2025-01-23,
2025-01-26,
2025-01-28,
2025-01-31,
2025-02-02,
2025-02-05,
2025-02-07,
2025-02-10,0.020468952526082235
2025-02-12,0.0013440015722394
2025-02-15,
2025-02-17,
2025-02-20,
2025-02-22,
2025-02-25,0.09857349650194817
2025-02-25,0.08809187947412526
2025-02-27,
2025-03-02,
2025-03-04,
2025-03-07,0.06250342665466589
2025-03-09,0.18378126737632136
2025-03-12,
2025-03-14,0.11221630499180019
2025-03-16,
2025-03-17,0.18956806166773135
2025-03-19,0.22158587313979367
2025-03-19,0.22870981555229125
2025-03-22,0.2232977378325538
2025-03-24,
2025-03-26,0.09705596757081668
2025-03-27,0.21341398391297073
2025-03-29,0.2248310837997505
2025-03-29,0.21887431590256848
2025-04-01,0.17571383664158324
2025-04-03,0.20925114659748895
2025-04-05,
2025-04-06,
2025-04-08,0.21480422717463274
2025-04-08,0.20648761259035903
2025-04-11,
2025-04-13,
2025-04-15,0.2191357041136794
2025-04-16,
2025-04-18,
2025-04-18,
2025-04-21,
2025-04-23,
2025-04-25,
2025-04-26,0.28010083250015533
2025-04-28,0.27044009485492393
2025-04-28,0.2866631785827996
2025-05-01,
2025-05-03,
2025-05-05,0.31176029624006096
2025-05-06,
2025-05-08,
2025-05-08,
2025-05-11,0.3366675374027662
2025-05-13,
2025-05-15,
2025-05-16,0.3443069715247012
2025-05-18,
2025-05-18,
2025-05-21,0.09019021893890194
2025-05-23,
2025-05-25,0.5069487637404652
2025-05-28,0.056703362421827726
2025-05-28,0.05641962123886324
2025-05-31,0.30174849897873973
2025-06-02,
2025-06-04,
2025-06-05,
2025-06-07,
2025-06-07,0.10732347925949048
2025-06-10,
2025-06-12,
2025-06-14,
2025-06-15,0.5400575654818942
2025-06-17,
2025-06-17,
2025-06-20,0.5490264119362385
2025-06-22,
2025-06-24,
2025-06-25,
2025-06-27,
2025-06-30,0.08253273964121725
2025-07-02,
2025-07-04,0.027649303150218837
2025-07-05,
2025-07-07,
2025-07-07,
2025-07-10,
2025-07-12,0.5283738189495646
2025-07-14,
2025-07-15,0.5401705792284305
2025-07-17,0.5226080748360223
2025-07-17,0.5255071033433862
2025-07-20,0.5248150977409967
2025-07-22,
2025-07-24,0.5288814663201996
2025-07-25,0.5393311956743508
2025-07-27,0.5496941605709744
2025-07-27,0.5513435861172293
2025-07-30,0.5034252749669399
2025-08-01,0.42364098616238505
2025-08-03,
2025-08-04,0.5129019542888761
2025-08-06,0.5679428589297645
2025-08-06,0.40151349103706996
2025-08-09,0.05879183032923139
2025-08-13,0.5554759082134003
2025-08-14,0.5477770686697981
2025-08-16,0.26722431652567485
2025-08-16,
2025-08-19,
2025-08-21,
2025-08-23,
2025-08-24,
2025-08-26,0.538258089647365
2025-08-29,
2025-08-31,
2025-09-02,
2025-09-03,
2025-09-05,
2025-09-05,
2025-09-08,0.4668776101977626
2025-09-10,0.18967260941077757
2025-09-12,
2025-09-13,
2025-09-15,
2025-09-15,
2025-09-18,
2025-09-20,
2025-09-22,0.5409282174521824
2025-09-23,
2025-09-25,
2025-09-25,
2025-09-28,0.645426455111125
2025-09-30,0.5436808050938486
2025-10-02,
2025-10-03,
2025-10-05,
2025-10-05,
2025-10-08,
2025-10-10,0.4365487583623786
2025-10-12,0.0355063109112699
2025-10-13,
2025-10-15,0.1321472751603363
2025-10-15,0.028460242047032985
