date,NDVI
2024-01-04,0.05253393993685135
2024-01-07,0.157686673948067
2024-01-14,0.033127875080075066
2024-01-17,0.1636588326444042
2024-01-19,0.17107774849233903
2024-01-22,0.031752472247263394
2024-01-24,0.03497881115186583
2024-01-27,0.036346169400602056
2024-01-29,0.06000986784144837
2024-02-01,0.13982143089714047
2024-02-03,0.07415099320053324
2024-02-06,0.020812661480547362
2024-02-08,0.06837495281101007
2024-02-11,
2024-02-13,
2024-02-16,
2024-02-18,0.5179080282360515
2024-02-21,
2024-02-23,
2024-02-26,
2024-02-28,
2024-03-02,
2024-03-04,
2024-03-07,
2024-03-09,
2024-03-12,0.4139312699205374
2024-03-14,
2024-03-17,
2024-03-19,
2024-03-22,
2024-03-24,
2024-03-27,0.07388869362293872
2024-03-29,
2024-04-01,0.3033580779586229
2024-04-03,
2024-04-06,
2024-04-08,0.5259252570808826
2024-04-11,
2024-04-13,
2024-04-16,
2024-04-18,
2024-04-21,
2024-04-23,
2024-04-26,
2024-04-28,
2024-05-01,0.6448697677844368
2024-05-03,0.5199334798342573
2024-05-06,
2024-05-08,0.5910180016856614
2024-05-11,0.6247623300591427
2024-05-13,0.3368239022283606
2024-05-16,0.7020781766667841
2024-05-18,0.7632048065093567
2024-05-21,0.819111386654419
2024-05-23,0.8216351052882004
2024-05-26,
2024-05-28,0.8526783477172275
2024-05-31,0.8803046626677701
2024-06-02,
2024-06-05,0.8907328625585316
2024-06-07,
2024-06-10,0.8920947094530426
2024-06-12,0.896741508441179
2024-06-15,0.8982909450081952
2024-06-17,0.8645231453325419
2024-06-20,
2024-06-22,0.8847494462349469
2024-06-25,0.8986585424810452
2024-06-27,0.8920270752624984
2024-06-30,0.8655099656762107
2024-07-02,
2024-07-05,
2024-07-07,
2024-07-10,0.8895780294391218
2024-07-12,
2024-07-15,0.8909889950960809
2024-07-17,
2024-07-20,
2024-07-22,0.8961587077934471
2024-07-25,0.910908667137431
2024-07-27,0.9078522221995511
2024-07-30,0.7822685554949814
2024-08-01,
2024-08-04,
2024-08-06,
2024-08-09,0.5239653650305917
2024-08-11,0.799007998366632
2024-08-14,0.8844422323749545
2024-08-16,
2024-08-19,0.884406835542793
2024-08-21,0.8677523357893466
2024-08-24,0.21112286546951234
2024-08-26,0.6766824408885102
2024-08-29,0.8364410045849112
2024-08-31,
2024-09-03,
2024-09-05,0.8400969981328726
2024-09-08,0.830057422056151
2024-09-10,
2024-09-13,
2024-09-15,
2024-09-18,
2024-09-20,0.8611996523363614
2024-09-23,
2024-09-23,
2024-09-25,
2024-09-28,
2024-09-30,0.8458867615759157
2024-10-03,0.8409363174776177
2024-10-05,0.23261844708832904
2024-10-08,
2024-10-10,
2024-10-13,
2024-10-15,
2024-10-18,0.5730119202602956
2024-10-20,
2024-10-23,0.6527236294573721
2024-10-25,
2024-10-28,
2024-10-30,
2024-11-02,0.04327583318658302
2024-11-04,
2024-11-07,
2024-11-09,
2024-11-12,-0.03808614718858177
2024-11-14,
2024-11-17,0.6278571783090579
2024-11-19,0.5696132843451176
2024-11-22,
2024-11-24,0.42343421945865256
2024-11-24,-0.14100997391575226
2024-11-27,0.020312937895174937
2024-11-29,
2024-12-09,
2024-12-12,0.4237703905327278
2024-12-19,
2024-12-22,
2024-12-29,
2025-01-01,
2025-01-08,
2025-01-11,
2025-01-16,0.11861254761402704
2025-01-18,0.48157625737948734
2025-01-21,
2025-01-23,
2025-01-26,
2025-01-28,
2025-01-31,
2025-02-02,
2025-02-05,
2025-02-07,
2025-02-10,0.3143130315423765
2025-02-12,0.017396499471420187
2025-02-15,
2025-02-17,
2025-02-20,0.12646075261225417
2025-02-22,
2025-02-25,0.4304504645947955
2025-02-25,0.3955802339392066
2025-02-27,
2025-03-02,
2025-03-04,
2025-03-07,0.04981027674888092
2025-03-09,0.22585070571232255
2025-03-12,
2025-03-14,0.5005414126762254
2025-03-16,0.582955702247813
2025-03-17,0.60357761943727
2025-03-19,0.634983172402408
2025-03-19,0.665584031441247
2025-03-22,0.6698755586254069
2025-03-24,
2025-03-26,0.3363970152079516
2025-03-27,0.6186252497110781
2025-03-29,0.636385851483323
2025-03-29,0.6377452582765788
2025-04-01,0.5448830834563434
2025-04-03,
2025-04-05,
2025-04-06,
2025-04-08,0.5491130616816676
2025-04-08,0.5368227905795766
2025-04-11,
2025-04-13,
2025-04-15,0.5985405503262853
2025-04-16,
2025-04-18,
2025-04-18,
2025-04-21,
2025-04-23,
2025-04-25,0.4721126070319814
2025-04-26,0.6440171834419949
2025-04-28,0.5981391005020876
2025-04-28,0.6403512959028773
2025-05-01,
2025-05-03,0.0524737509494814
2025-05-05,0.6169047708476972
2025-05-06,
2025-05-08,
2025-05-08,
2025-05-11,0.6539481646719318
2025-05-13,
2025-05-15,0.4202422403442373
2025-05-16,0.6807593318061009
2025-05-18,
2025-05-18,
2025-05-21,
2025-05-23,
2025-05-25,0.8037589462896536
2025-05-28,
2025-05-28,
2025-05-31,0.7605523864883251
2025-06-02,
2025-06-04,
2025-06-05,
2025-06-07,0.41210867807569995
2025-06-07,0.15075711165652395
2025-06-10,
2025-06-12,
2025-06-14,
2025-06-15,0.8489768898187912
2025-06-17,
2025-06-17,
2025-06-20,0.8574053719387953
2025-06-22,
2025-06-24,
2025-06-25,
2025-06-27,
2025-06-30,
2025-07-02,
2025-07-04,0.8313789794750286
2025-07-05,0.05365584911107644
2025-07-07,
2025-07-07,
2025-07-10,
2025-07-12,0.86680878292029
2025-07-14,
2025-07-15,0.8831202331370163
2025-07-17,0.8501433879401243
2025-07-17,0.8371344218862262
2025-07-20,0.8541165357477758
2025-07-22,
2025-07-24,0.8523105671879913
2025-07-25,0.8743917244833034
2025-07-27,0.8738225961683735
2025-07-27,0.8838930215347329
2025-07-30,0.6512492806054958
2025-08-01,0.9427859789417994
2025-08-03,
2025-08-04,0.8406617147123634
2025-08-06,0.8859534777023576
2025-08-06,0.040335729347555374
2025-08-09,0.5648878166610443
2025-08-13,0.8600499253490591
2025-08-14,0.871684757767567
2025-08-16,0.8271634038554357
2025-08-16,0.8505937880463649
2025-08-19,0.10601009352792196
2025-08-21,
2025-08-23,
2025-08-24,
2025-08-26,0.860074752604576
2025-08-29,
2025-08-31,
2025-09-02,
2025-09-03,
2025-09-05,
2025-09-05,0.10665636964906246
2025-09-08,0.4736961474148569
2025-09-10,0.1899606185360408
2025-09-12,
2025-09-13,
2025-09-15,
2025-09-15,
2025-09-18,
2025-09-20,
2025-09-22,0.6337535314537402
2025-09-23,
2025-09-25,0.721991252313766
2025-09-25,
2025-09-28,0.8088311046341768
2025-09-30,0.7616763663750306
2025-10-02,
2025-10-03,
2025-10-05,
2025-10-05,
2025-10-08,
2025-10-10,0.559941818086062
2025-10-12,
2025-10-13,
2025-10-15,0.06308384408608239
2025-10-15,0.0439020961888549
