date,NDVI
2024-01-04,0.014635397401005834
2024-01-07,0.16338927750285345
2024-01-14,0.03262288476763965
2024-01-17,0.09766810778059602
2024-01-19,0.12446556192519269
2024-01-22,0.0383699910666836
2024-01-24,0.038121981044025186
2024-01-27,0.03341707054193224
2024-01-29,0.07200573083597663
2024-02-01,0.03888748809708934
2024-02-03,0.05606434620317121
2024-02-06,0.030113419329384616
2024-02-08,0.030248603148418107
2024-02-11,0.1281293605188995
2024-02-13,
2024-02-16,
2024-02-18,0.5441495366978045
2024-02-21,
2024-02-23,
2024-02-26,
2024-02-28,
2024-03-02,
2024-03-04,
2024-03-07,
2024-03-09,
2024-03-12,0.6230435161683433
2024-03-14,
2024-03-17,
2024-03-19,
2024-03-22,
2024-03-24,
2024-03-27,
2024-03-29,
2024-04-01,0.3836331030381875
2024-04-03,
2024-04-06,
2024-04-08,0.7107144908373332
2024-04-11,
2024-04-13,
2024-04-16,
2024-04-18,
2024-04-21,
2024-04-23,
2024-04-26,
2024-04-28,
2024-05-01,0.6747840589269314
2024-05-03,0.6476009284583265
2024-05-06,
2024-05-08,0.6671036366481832
2024-05-11,0.6819302851130125
2024-05-13,
2024-05-16,0.6767802274066778
2024-05-18,0.7324168595361137
2024-05-21,0.7706908328621107
2024-05-23,0.7792691055621528
2024-05-26,
2024-05-28,0.7984850580913839
2024-05-31,0.8139700733030487
2024-06-02,
2024-06-05,0.8262043130948147
2024-06-07,
2024-06-10,0.8339334856274732
2024-06-12,0.7972978432946031
2024-06-15,0.8436624284678317
2024-06-17,0.7164368440804886
2024-06-20,
2024-06-22,0.8116582125176042
2024-06-25,0.8260889728751156
2024-06-27,0.8011465826583054
2024-06-30,
2024-07-02,0.4002649143250875
2024-07-05,
2024-07-07,
2024-07-10,0.83625698825432
2024-07-12,0.3650318387355119
2024-07-15,0.7886252712491757
2024-07-17,
2024-07-20,
2024-07-22,0.8030424428817753
2024-07-25,0.8442602136081199
2024-07-27,
2024-07-30,
2024-08-01,
2024-08-04,0.6074371032528104
2024-08-06,
2024-08-09,0.27290007845243247
2024-08-11,
2024-08-14,0.8252628818924069
2024-08-16,
2024-08-19,0.7967047525508993
2024-08-21,0.785728894767073
2024-08-24,0.5434720094520619
2024-08-26,0.7749512205356431
2024-08-29,0.774092861061401
2024-08-31,
2024-09-03,
2024-09-05,0.7754582287918865
2024-09-08,0.7579796442118756
2024-09-10,
2024-09-13,
2024-09-15,
2024-09-18,
2024-09-20,0.7965057200750028
2024-09-23,
2024-09-23,
2024-09-25,
2024-09-28,0.08332580551752368
2024-09-30,0.8217288730617891
2024-10-03,0.7866935351309188
2024-10-05,0.785623024465397
2024-10-08,
2024-10-10,
2024-10-13,
2024-10-15,
2024-10-18,0.6025674643410832
2024-10-20,
2024-10-23,0.7764008017665317
2024-10-25,0.029737029988657092
2024-10-28,
2024-10-30,
2024-11-02,0.11511355427785372
2024-11-04,
2024-11-07,
2024-11-09,
2024-11-12,0.04777451675490019
2024-11-14,
2024-11-17,0.645803976727446
2024-11-19,0.5674278515724791
2024-11-22,
2024-11-24,0.21605223501326748
2024-11-27,0.0321631458457159
2024-11-29,
2024-12-09,
2024-12-12,0.31432458001269187
2024-12-19,
2024-12-22,
2024-12-29,
2025-01-01,
2025-01-08,
2025-01-11,
2025-01-16,-0.012112663747415705
2025-01-18,0.49596079184752817
2025-01-21,
2025-01-23,
2025-01-26,
2025-01-28,
2025-01-31,
2025-02-02,
2025-02-05,
2025-02-07,
2025-02-10,0.1741083744804443
2025-02-12,0.06448158203505633
2025-02-15,
2025-02-17,0.04836182080977638
2025-02-20,
2025-02-22,
2025-02-25,0.5701439257053181
2025-02-25,0.5135406396579765
2025-02-27,
2025-03-02,
2025-03-04,
2025-03-07,0.08932577388878853
2025-03-09,0.26118769034005546
2025-03-12,
2025-03-14,0.6795783074418134
2025-03-16,0.7060950387075955
2025-03-17,0.7474958868686061
2025-03-19,0.7341115802674982
2025-03-19,0.7515434907229382
2025-03-22,0.7260559692583728
2025-03-24,
2025-03-26,0.2614918898459956
2025-03-27,0.6694215810537125
2025-03-29,0.6807927722890457
2025-03-29,0.6852631632538515
2025-04-01,0.5888245014369592
2025-04-03,
2025-04-05,
2025-04-06,
2025-04-08,0.6158026666714845
2025-04-08,0.6463001255149214
2025-04-11,
2025-04-13,
2025-04-15,0.6801992700288897
2025-04-16,
2025-04-18,
2025-04-18,
2025-04-21,
2025-04-23,
2025-04-25,
2025-04-26,
2025-04-28,0.654564890487699
2025-04-28,0.6814188058623198
2025-05-01,
2025-05-03,0.09180842392610297
2025-05-05,0.6830033707967995
2025-05-06,
2025-05-08,
2025-05-08,
