date,NDVI
2024-01-04,0.04843026299309376
2024-01-07,0.13590226137616712
2024-01-14,0.0004904452144655898
2024-01-17,0.04301147980716769
2024-01-19,0.09943402319331868
2024-01-22,0.040090770688937544
2024-01-24,0.028210405861844406
2024-01-27,0.03336362851674845
2024-01-29,0.04062016514234565
2024-02-01,0.05226445243571148
2024-02-03,0.04180007302388525
2024-02-06,0.010903463325995615
2024-02-08,0.051379791361389905
2024-02-11,
2024-02-13,
2024-02-16,
2024-02-18,0.1374304576834765
2024-02-21,
2024-02-23,
2024-02-26,
2024-02-28,
2024-03-02,
2024-03-04,
2024-03-07,
2024-03-09,
2024-03-12,0.18813632546547804
2024-03-14,
2024-03-17,
2024-03-19,
2024-03-22,
2024-03-24,
2024-03-27,
2024-03-29,-0.006611612182029071
2024-04-01,
2024-04-03,
2024-04-06,
2024-04-08,0.4609406382146735
2024-04-11,
2024-04-13,0.17738889265259195
2024-04-16,
2024-04-18,
2024-04-21,
2024-04-23,
2024-04-26,
2024-04-28,
2024-05-01,0.4500243218382697
2024-05-03,0.4467104101864656
2024-05-06,
2024-05-08,0.5011613810361581
2024-05-11,0.5387879895610654
2024-05-13,0.4963911724924794
2024-05-16,0.6094652278706175
2024-05-18,0.6530720204057607
2024-05-21,0.7077313372924426
2024-05-23,0.7115969359730447
2024-05-26,0.7137625250288373
2024-05-28,0.7235108023604716
2024-05-31,0.7893915988928891
2024-06-02,
2024-06-05,0.7944222715461491
2024-06-07,0.3791356143378743
2024-06-10,0.8068820172042799
2024-06-12,0.7888947340756753
2024-06-15,0.8079692215108174
2024-06-17,0.7641498687819869
2024-06-20,
2024-06-22,0.7805045496281672
2024-06-25,0.7874857539717754
2024-06-27,0.7684612581692727
2024-06-30,0.7587922764123465
2024-07-02,
2024-07-05,
2024-07-07,
2024-07-10,0.8033454281403061
2024-07-12,
2024-07-15,0.8153507682735284
2024-07-17,
2024-07-20,
2024-07-22,0.8042061873101578
2024-07-25,0.3575667959491296
2024-07-27,0.8006349782747061
2024-07-30,0.11376058456305373
2024-08-01,
2024-08-04,
2024-08-06,0.6034383964826633
2024-08-09,0.7735997447527643
2024-08-11,0.8086480580187858
2024-08-14,0.8129051936537266
2024-08-16,
2024-08-19,0.8055703893619566
2024-08-21,0.7745943302626652
2024-08-24,
2024-08-26,0.7601311242013239
2024-08-29,
2024-08-31,
2024-09-03,0.27107271531957267
2024-09-05,0.7623416662371411
2024-09-08,
2024-09-10,
2024-09-13,
2024-09-15,
2024-09-18,
2024-09-20,0.7687873980446455
2024-09-23,
2024-09-23,
2024-09-25,
2024-09-28,
2024-09-30,0.769036196129722
2024-10-03,0.7595204352305571
2024-10-05,0.7426452475357225
2024-10-08,0.04672897196261682
2024-10-10,
2024-10-13,
2024-10-15,
2024-10-18,0.24022762255446967
2024-10-20,
2024-10-23,0.582993788181406
2024-10-25,
2024-10-28,0.4363024839453964
2024-10-30,
2024-11-02,0.03679420730914483
2024-11-04,
2024-11-07,0.010028340645563355
2024-11-09,
2024-11-12,0.006105380809009565
2024-11-14,
2024-11-17,0.5455171504634664
2024-11-19,0.4971608302444513
2024-11-22,
2024-11-24,0.22693913296327725
2024-11-27,
2024-11-29,
2024-12-09,
2024-12-12,0.24591650323816783
2024-12-19,
2024-12-22,
2024-12-29,
2025-01-01,
2025-01-08,
2025-01-11,
2025-01-16,0.2049589679784808
2025-01-18,0.34385997372700317
2025-01-21,
2025-01-23,
2025-01-26,
2025-01-28,
2025-01-31,
2025-02-02,
2025-02-05,
2025-02-07,
2025-02-10,0.35169370405302114
2025-02-12,0.01671797124376991
2025-02-15,
2025-02-17,
2025-02-20,
2025-02-22,
2025-02-25,0.24301292634694915
2025-02-25,0.2374414065062812
2025-02-27,
2025-03-02,
2025-03-04,
2025-03-07,0.0354298690085223
2025-03-09,0.23977025083982284
2025-03-12,
2025-03-14,0.14620304497572645
2025-03-16,0.488881340528616
2025-03-17,0.4831652136672374
2025-03-19,0.46255797274438176
2025-03-19,0.45496499697329873
2025-03-22,0.4513961892696678
2025-03-24,
2025-03-26,0.3452478452037778
2025-03-27,0.4262260021790601
2025-03-29,0.44781477428533223
2025-03-29,0.4417773187773778
2025-04-01,0.38673730080372715
2025-04-03,0.4195096253992668
2025-04-05,
2025-04-06,
2025-04-08,0.4321848405338119
2025-04-08,
2025-04-11,
2025-04-13,
2025-04-15,0.4402442368698294
2025-04-16,
2025-04-18,
2025-04-18,
2025-04-21,
2025-04-23,
2025-04-25,
2025-04-26,0.4734089652950559
2025-04-28,0.4838320857263397
2025-04-28,0.49573052993008676
2025-05-01,
2025-05-03,
2025-05-05,0.48230664864403505
2025-05-06,
2025-05-08,
2025-05-08,
2025-05-11,0.5679576547264542
2025-05-13,
2025-05-15,0.1860236408765398
2025-05-16,0.6329824165962997
2025-05-18,
2025-05-18,
2025-05-21,0.5918982306081418
2025-05-23,
2025-05-25,0.7545214618510531
2025-05-28,0.07937188064267857
2025-05-28,0.17514219933514324
2025-05-31,0.1188441500566384
2025-06-02,
2025-06-04,
2025-06-05,
2025-06-07,
2025-06-07,0.024562203727952765
2025-06-10,
2025-06-12,
2025-06-14,
2025-06-15,0.8040670145259978
2025-06-17,
2025-06-17,
2025-06-20,0.8088607193676484
2025-06-22,
2025-06-24,
2025-06-25,
2025-06-27,
2025-06-30,
2025-07-02,
2025-07-04,
2025-07-05,
2025-07-07,
2025-07-07,
2025-07-10,
2025-07-12,0.79264332817888
2025-07-14,0.7815673639255758
2025-07-15,0.8296974951411091
2025-07-17,0.794797112678126
2025-07-17,0.8007710740062354
2025-07-20,0.8012344306470351
2025-07-22,
2025-07-24,0.7954706430767353
2025-07-25,0.8039423172035173
2025-07-27,0.7908802865554003
2025-07-27,0.804202055297093
2025-07-30,0.7864250916189074
2025-08-01,0.8071695823598614
2025-08-03,
2025-08-04,0.7668694752521923
2025-08-06,0.7933479657317256
2025-08-06,0.8279530511981484
2025-08-09,0.7976832948663913
2025-08-13,0.7832727131433183
2025-08-14,0.8003776114118277
2025-08-16,
2025-08-16,0.7583676696206562
2025-08-19,
2025-08-21,
2025-08-23,
2025-08-24,
2025-08-26,0.2174708272547152
2025-08-29,
2025-08-31,
2025-09-02,
2025-09-03,
2025-09-05,
2025-09-05,
