date,NDVI
2024-01-04,0.023754083437293218
2024-01-07,0.06087175336695961
2024-01-14,-0.04273963833224338
2024-01-17,0.013182570113682386
2024-01-19,0.08580340770901114
2024-01-22,0.03207186698526845
2024-01-24,0.02596734281173171
2024-01-27,0.035414598077456075
2024-01-29,0.042143593156194606
2024-02-01,0.03098337154587545
2024-02-03,0.04039385464809467
2024-02-06,0.02958116012647809
2024-02-08,0.0632268118916302
2024-02-11,
2024-02-13,
2024-02-16,
2024-02-18,0.12219468670548266
2024-02-21,
2024-02-23,
2024-02-26,
2024-02-28,
2024-03-02,
2024-03-04,
2024-03-07,
2024-03-09,
2024-03-12,0.1657386506385607
2024-03-14,
2024-03-17,
2024-03-19,
2024-03-22,
2024-03-24,
2024-03-27,
2024-03-29,
2024-04-01,
2024-04-03,
2024-04-06,
2024-04-08,0.39034651076421734
2024-04-11,
2024-04-13,0.19224956712323324
2024-04-16,
2024-04-18,
2024-04-21,
2024-04-23,
2024-04-26,
2024-04-28,
2024-05-01,0.44109113862298566
2024-05-03,0.4379097694730574
2024-05-06,
2024-05-08,0.4957262966248999
2024-05-11,0.5385861048142455
2024-05-13,0.27978821388337966
2024-05-16,0.6379418371947778
2024-05-18,0.729058678931086
2024-05-21,0.8044893880959578
2024-05-23,0.8152726322931506
2024-05-26,
2024-05-28,0.8411873358688715
2024-05-31,0.872851451392711
2024-06-02,
2024-06-05,0.8642855085246155
2024-06-07,
2024-06-10,0.8669898712238587
2024-06-12,0.8531742515877391
2024-06-15,0.8719416433071624
2024-06-17,0.8342999334719304
2024-06-20,
2024-06-22,0.6849469049833727
2024-06-25,0.862807067970183
2024-06-27,0.8393525770182604
2024-06-30,0.8242191471666607
2024-07-02,0.7564447199204687
2024-07-05,
2024-07-07,
2024-07-10,0.8681097812069085
2024-07-12,
2024-07-15,0.8640958175733431
2024-07-17,
2024-07-20,
2024-07-22,0.8625663062374496
2024-07-25,0.8888509662814136
2024-07-27,0.7552456863611884
2024-07-30,0.8097381253685536
2024-08-01,
2024-08-04,
2024-08-06,
2024-08-09,0.8362077543759748
2024-08-11,
2024-08-14,0.8709173497488808
2024-08-16,
2024-08-19,0.8623064500786468
2024-08-21,0.4320770874346054
2024-08-24,
2024-08-26,0.8299831536995063
2024-08-29,0.8310565566060165
2024-08-31,
2024-09-03,
2024-09-05,0.8378077760518491
2024-09-08,0.8260838904211895
2024-09-10,
2024-09-13,
2024-09-15,
2024-09-18,
2024-09-20,0.8440695771024993
2024-09-23,
2024-09-23,
2024-09-25,
2024-09-28,0.1434479345221683
2024-09-30,0.847858753078074
2024-10-03,0.8393847706335047
2024-10-05,
2024-10-08,
2024-10-10,
2024-10-13,
2024-10-15,
2024-10-18,0.4650156800360646
2024-10-20,
2024-10-23,0.5497130458349424
2024-10-25,0.2557545688040506
2024-10-28,
2024-10-30,
2024-11-02,0.04554428109019949
2024-11-04,
2024-11-07,0.00702485819972329
2024-11-09,
2024-11-12,-0.005053762720513666
2024-11-14,
2024-11-17,0.43912125425525933
2024-11-19,0.3655716980039589
2024-11-22,
2024-11-24,0.14408412887206543
2024-11-27,0.014122167862467047
2024-11-29,
2024-12-09,
2024-12-12,0.12105025102774969
2024-12-19,
2024-12-22,
2024-12-29,
2025-01-01,
2025-01-08,
2025-01-11,
2025-01-16,0.17531561862208347
2025-01-18,0.24022564241877814
2025-01-21,
2025-01-23,
2025-01-26,
2025-01-28,
2025-01-31,
2025-02-02,
2025-02-05,
2025-02-07,
2025-02-10,0.3682753309295638
2025-02-12,0.06096287774254967
2025-02-15,
2025-02-17,0.022899695255807123
2025-02-20,
2025-02-22,
2025-02-25,0.1686455296361858
2025-02-25,0.15798743681431784
2025-02-27,
2025-03-02,
2025-03-04,
2025-03-07,0.05645967627630083
2025-03-09,0.18402247554622728
2025-03-12,
2025-03-14,0.1289467357211943
2025-03-16,0.29247544318188023
2025-03-17,0.3882479323970429
2025-03-19,0.40103122304829114
2025-03-19,0.39711701685681844
2025-03-22,0.3943053883050367
2025-03-24,
2025-03-26,0.2677189966518588
2025-03-27,0.3708606037991507
2025-03-29,0.4013284354727082
2025-03-29,0.3929551231167661
2025-04-01,0.33092496467737814
2025-04-03,0.3074872400871594
2025-04-05,
2025-04-06,
2025-04-08,
2025-04-08,0.3474717537997744
2025-04-11,
2025-04-13,
2025-04-15,0.3883255967647166
2025-04-16,
2025-04-18,
2025-04-18,
2025-04-21,
2025-04-23,
2025-04-25,0.43882428866790063
2025-04-26,0.4588887754852018
2025-04-28,0.4533192539669177
2025-04-28,0.4648423640194178
2025-05-01,
2025-05-03,0.4756717037703481
2025-05-05,0.5051162277186045
2025-05-06,
2025-05-08,
2025-05-08,0.2063237718275119
2025-05-11,0.5441150146235952
2025-05-13,
2025-05-15,
2025-05-16,0.5848642827493558
2025-05-18,
2025-05-18,
2025-05-21,0.6762700850843381
2025-05-23,
2025-05-25,0.7614615267177224
2025-05-28,0.16567602956589608
2025-05-28,
2025-05-31,0.7382710651681399
2025-06-02,
2025-06-04,
2025-06-05,
2025-06-07,0.2618826013054017
2025-06-07,0.4626904545612006
2025-06-10,
2025-06-12,
2025-06-14,
2025-06-15,0.8543441712772377
2025-06-17,
2025-06-17,
2025-06-20,0.8653317414801487
2025-06-22,
2025-06-24,
2025-06-25,
2025-06-27,
2025-06-30,
2025-07-02,
2025-07-04,0.8367972417060529
2025-07-05,0.05434159282601482
2025-07-07,
2025-07-07,
2025-07-10,
2025-07-12,0.8486409167969088
2025-07-14,0.8449268738027148
2025-07-15,0.8710137233898138
2025-07-17,0.8398527807436273
2025-07-17,0.8409666454173397
2025-07-20,0.8380811743349063
2025-07-22,
2025-07-24,0.8482792874443192
2025-07-25,0.8573582898389935
2025-07-27,0.8531812360682104
2025-07-27,0.869801023370353
2025-07-30,0.8288577349384338
2025-08-01,0.8930059982335183
2025-08-03,
2025-08-04,0.8254689332958359
2025-08-06,0.925887501826121
2025-08-06,0.34174431567947844
2025-08-09,0.6270500458030476
2025-08-13,0.8498056266082967
2025-08-14,0.8262200681939056
2025-08-16,0.8549220989973483
2025-08-16,0.867863344429909
2025-08-19,
2025-08-21,
2025-08-23,
2025-08-24,
2025-08-26,0.8450810785044033
2025-08-29,
2025-08-31,
2025-09-02,
2025-09-03,
2025-09-05,
2025-09-05,
2025-09-08,0.763170280390741
2025-09-10,0.19737624823475
2025-09-12,
2025-09-13,
2025-09-15,
2025-09-15,
2025-09-18,
2025-09-20,
2025-09-22,0.8219710271585391
2025-09-23,
2025-09-25,
2025-09-25,
2025-09-28,0.641156133813016
2025-09-30,0.544865424620198
2025-10-02,
2025-10-03,
2025-10-05,
2025-10-05,
2025-10-08,
2025-10-10,
2025-10-12,
2025-10-13,
2025-10-15,0.05870660996906424
2025-10-15,0.05774024325829171
