Alue,Tyottomyysaste
091 10 Kruununhaka,6.1
091 20 Kluuvi,5.1
091 80 Katajanokka,6.4
091 30 Kaartinkaupunki,5.3
091 50 Punavuori,7.2
091 60 Eira,6.9
091 70 Ullanlinna,6.1
091 90 Kaivopuisto,5
091 204 Hernesaari,6.7
091 520 Suomenlinna,9
091 531 Länsisaaret,..
091 40 Kamppi,6.9
091 130 Etu-Töölö,6
091 201 Ruoholahti,9.5
091 202 Lapinlahti,..
091 203 Jätkäsaari,6.5
091 140 Taka-Töölö,6.2
091 310 Lauttasaari (Ent.),.
091 311 Kotkavuori,6.4
091 312 Vattuniemi,5.4
091 313 Myllykallio,6.2
091 314 Koivusaari,..
091 150 Meilahti,7.5
091 160 Ruskeasuo (Ent.),.
091 161 Vanha Ruskeasuo,6.5
091 162 Pikku Huopalahti,11.5
091 180 Laakso,8.5
091 301 Vanha Munkkiniemi,6.7
091 302 Kuusisaari,4.1
091 303 Lehtisaari,6.7
091 304 Munkkivuori,7.3
091 305 Niemenmäki,4.2
091 306 Talinranta,10.2
091 291 Etelä-Haaga,8.5
091 292 Kivihaka,9.1
091 293 Pohjois-Haaga,10.6
091 294 Lassila,10.8
091 320 Konala,10.6
091 461 Pajamäki,11.4
091 462 Tali,16.4
091 463 Reimarla,11.5
091 464 Marttila,3.8
091 465 Pitäjänmäen yritysalue,11.1
091 331 Kannelmäki,13.3
091 332 Maununneva,5.9
091 333 Malminkartano,11.4
091 334 Hakuninmaa,6.9
091 335 Kuninkaantammi,8
091 336 Honkasuo,9.5
091 100 Sörnäinen (Ent.),.
091 101 Vilhonvuori,9
091 102 Kalasatama,4.6
091 103 Sompasaari,..
091 104 Hanasaari,..
091 111 Siltasaari,8.1
091 112 Linjat,10.6
091 113 Torkkelinmäki,10.4
091 121 Harju,10.9
091 122 Alppila,10
091 210 Hermanni (Ent.),.
091 211 Hermanninmäki,9.2
091 212 Hermanninranta,..
091 213 Kyläsaari,..
091 220 Vallila,9
091 171 Länsi-Pasila,9.7
091 172 Pohjois-Pasila,..
091 173 Itä-Pasila,13
091 174 Keski-Pasila,11.4
091 231 Toukola,10.1
091 232 Arabianranta,5
091 240 Kumpula,10.6
091 250 Käpylä,9.7
091 260 Koskela,12.6
091 270 Vanhakaupunki,11.6
091 281 Pirkkola,7
091 282 Maunula,14.5
091 283 Metsälä,6.2
091 286 Maunulanpuisto,..
091 341 Länsi-Pakila,5.8
091 351 Paloheinä,5.1
091 352 Torpparinmäki,7.1
091 354 Haltiala,..
091 284 Patola,7.6
091 285 Veräjämäki,8.2
091 287 Veräjälaakso,13.2
091 342 Itä-Pakila,7.3
091 353 Tuomarinkartano,8.2
091 361 Viikinranta,4.6
091 362 Latokartano,8.3
091 363 Viikin tiedepuisto,5.2
091 364 Viikinmäki,11.7
091 383 Pihlajamäki,14.9
091 386 Pihlajisto,14.8
091 370 Pukinmäki,12.3
091 381 Ylä-Malmi,15.4
091 382 Ala-Malmi,14.4
091 384 Tattariharju,..
091 385 Malmin lentokenttä,8.7
091 391 Tapaninvainio,7.1
091 392 Tapanila,10.4
091 401 Siltamäki,8.9
091 403 Töyrynummi,8.3
091 402 Tapulikaupunki,13.1
091 411 Puistola,6.4
091 412 Heikinlaakso,7.6
091 413 Tattarisuo,..
091 415 Alppikylä,8.4
091 414 Jakomäki,18.4
091 190 Mustikkamaa-Korkeasaari,..
091 420 Kulosaari,7.1
091 431 Länsi-Herttoniemi,12.6
091 432 Roihuvuori,15.6
091 433 Herttoniemen yritysalue,8
091 434 Herttoniemenranta,12.1
091 440 Tammisalo,5.2
091 480 Vartiosaari,..
091 491 Yliskylä,10.2
091 492 Jollas,7.9
091 493 Tullisaari,9.6
091 494 Kruunuvuorenranta,6.9
091 495 Hevossalmi,11.1
091 500 Villinki,..
091 510 Santahamina,2.9
091 532 Itäsaaret,..
091 451 Vartioharju,9
091 452 Puotila,13.2
091 453 Puotinharju,19.2
091 455 Marjaniemi,6.8
091 456 Roihupelto,..
091 457 Itäkeskus,19.9
091 454 Myllypuro,12.9
091 471 Kontula,19.9
091 472 Vesala,15.5
091 473 Mellunmäki,14.9
091 474 Kivikko,15.7
091 475 Kurkimäki,14.7
091 541 Keski-Vuosaari,14
091 542 Nordsjön kartano,..
091 543 Uutela,..
091 544 Meri-Rastila,18.4
091 545 Kallahti,21.3
091 546 Aurinkolahti,9.4
091 547 Rastila,11.9
091 548 Niinisaari,..
091 549 Mustavuori,..
091 550 Östersundom,9.3
091 560 Salmenkallio,..
091 570 Talosaari,..
091 580 Karhusaari,5.6
091 591 Landbo,3.8
091 592 Puroniitty,8.8
091 999 Muut,27.7
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
