Alue,Tyottomyysaste
092 10 Linnainen,3
092 11 Hämevaara,6.9
092 12 Hämeenkylä,10.7
092 13 Vapaala,9.4
092 14 Varisto,11
092 15 Myyrmäki,12
092 16 Kaivoksela,10
092 17 Martinlaakso,12.1
092 18 Vantaanlaakso,5.7
092 20 Askisto,6.8
092 21 Piispankylä,9.9
092 22 Keimola,8.7
092 23 Kivistö,5.3
092 24 Lapinkylä,5.2
092 25 Myllymäki,5.4
092 26 Petikko,4.4
092 30 Vestra,11.2
092 31 Luhtaanmäki,7.2
092 32 Riipilä,3.3
092 33 Seutula,7.6
092 34 Kiila,4.4
092 40 Ylästö,4.3
092 41 Viinikkala,..
092 50 Tammisto,6
092 51 Pakkala,8.4
092 52 Veromies,18
092 53 Lentokenttä,..
092 60 Hiekkaharju,7.9
092 61 Tikkurila,11.4
092 62 Jokiniemi,10.5
092 63 Viertola,6.8
092 64 Kuninkaala,8.5
092 65 Simonkylä,11.3
092 66 Hakkila,7
092 67 Ruskeasanta,5.7
092 68 Koivuhaka,7.8
092 69 Helsingin pitäjän kk.,8.2
092 70 Koivukylä,8.1
092 71 Ilola,5.9
092 72 Asola,14.5
092 73 Rekola,6.7
092 74 Havukoski,17
092 75 Päiväkumpu,7.7
092 80 Matari,4.8
092 81 Korso,11.2
092 82 Mikkola,14.8
092 83 Metsola,11.9
092 84 Leppäkorpi,5.5
092 85 Jokivarsi,3.9
092 86 Nikinmäki,5
092 87 Vierumäki,5.9
092 88 Vallinoja,10.6
092 90 Länsisalmi,..
092 91 Länsimäki,16.5
092 92 Ojanko,..
092 93 Vaarala,7.4
092 94 Hakunila,16.5
092 95 Rajakylä,5.8
092 96 Itä-Hakkila,5.1
092 97 Kuninkaanmäki,6.3
092 98 Sotunki,5.1
092 99 Muut,27.8
