alue,Yhteensä,SDP,PS,KOK,KESK,VIHR,VAS,RKP,KD,SIN,Piraattip.,STL,KP,FP,LIBE,SKP,EOP,IP,SKE,KTP,Muut
049 001  Muurala,2036,360,349,386,106,276,75,207,96,41,19,9,1,3,6,3,4,5,1,-,89
049 002  Jouppi-Kirstinsyrjä,1284,314,254,130,38,198,104,60,45,27,23,11,-,5,7,7,5,-,3,3,50
049 003  Tuomarila,2002,310,229,517,100,393,89,127,61,35,16,11,-,1,10,8,6,2,1,2,84
049 004  Nuuksio-Nupuri,1850,290,321,433,98,245,95,170,39,32,6,8,1,2,7,7,7,-,2,1,86
049 005  Bemböle-Kunnarla,2782,349,441,683,160,429,85,230,102,57,29,23,1,3,9,11,3,8,4,-,155
049 006  Kuurinniitty-Ymmersta,2196,233,256,779,72,354,55,181,68,29,20,6,2,4,5,1,1,5,-,2,123
049 007  Sokinvuori-Kirstinmäki,1000,251,183,127,47,166,56,37,38,15,20,10,-,4,8,3,2,3,5,-,25
049 008  Suna,1269,284,189,221,59,231,64,66,56,19,12,2,1,2,8,1,-,1,1,-,52
049 009  Kirkkojärvi,1537,278,265,264,77,243,77,90,62,35,29,8,1,8,5,2,5,2,3,-,83
049 010  Kauklahti-Espoonkartano,2806,401,430,641,135,502,122,227,79,39,29,12,3,4,9,9,6,10,5,2,141
049 011  Kurttila,2207,235,265,693,93,365,60,248,53,40,13,6,-,2,7,4,-,1,2,-,120
049 012  Saunalahti,2553,336,358,757,109,387,108,192,66,55,22,12,-,4,9,4,2,4,3,1,124
049 013  Kaupunginkallio,1886,327,264,425,59,333,93,134,78,31,30,9,1,5,8,7,1,1,4,1,75
049 020  Kalajärvi,2135,338,419,455,152,293,90,103,57,59,11,14,-,-,9,6,8,2,5,1,113
049 022  Niipperi,2632,406,449,705,189,341,74,109,56,75,21,8,1,1,9,6,7,2,4,3,166
049 023  Järvenperä,2624,370,362,743,137,426,88,188,69,53,11,16,-,2,16,6,4,1,5,1,126
049 030  Laajalahti,1995,182,160,782,70,450,60,99,52,27,15,5,-,6,16,1,1,2,-,-,67
049 031  Pohjois-Leppävaara,2170,334,345,445,88,472,124,72,65,34,41,9,-,5,16,8,3,4,8,1,96
049 032  Mäkkylä,3686,500,380,1099,179,815,122,162,78,52,49,11,1,12,20,4,7,1,3,1,190
049 033  Lintuvaara,3164,390,364,1090,150,619,100,121,85,55,21,10,-,5,7,1,5,6,2,-,133
049 034  Vallikallio,2178,340,297,529,116,424,92,79,85,52,41,9,-,6,19,2,3,2,2,-,80
049 035  Perkkaa,2197,348,319,450,95,492,133,72,57,44,40,9,-,11,23,5,1,2,2,-,94
049 036  Kilonpuisto,1348,251,209,273,50,281,71,58,52,19,18,2,1,7,5,3,3,2,1,-,42
049 037  Lansa-Sepänkylä,2664,386,321,734,103,465,98,280,77,40,13,6,1,6,10,3,8,1,5,-,107
049 038  Karakallio,2291,419,320,592,101,323,117,120,101,49,17,8,1,7,14,3,2,4,4,1,88
049 039  Rastaspuisto,2176,319,306,635,87,379,76,107,105,27,17,7,3,8,10,6,2,2,5,-,75
049 040  Jupperi,2679,229,244,1188,146,395,59,148,73,52,11,6,-,5,9,-,5,2,-,-,107
